"geneId"	"seqnames"	"start"	"end"	"geneStrand"	"annotation"	"group"	"gene_name"
"ENSMUSG00000056815.1"	"chrX"	68902793	68902984	2	"Distal Intergenic"	"sidd"	"Gm6812"
"ENSMUSG00000056836.8"	"chr7"	40167153	40167266	1	"Distal Intergenic"	"sidd"	"Gm6851"
"ENSMUSG00000056854.4"	"chrX"	110840724	110840839	1	"Distal Intergenic"	"sidd"	"Pou3f4"
"ENSMUSG00000056856.13"	"chr7"	138941587	138941706	1	"Promoter (<=1kb)"	"sidd"	"Jakmip3"
"ENSMUSG00000056863.5"	"chr7"	106834855	106835020	2	"Promoter (<=1kb)"	"sidd"	"Olfr702"
"ENSMUSG00000056877.2"	"chr10"	106257607	106257765	2	"Distal Intergenic"	"sidd"	"Rps15a-ps1"
"ENSMUSG00000056880.12"	"chr9"	115859908	115860053	1	"Distal Intergenic"	"sidd"	"Gadl1"
"ENSMUSG00000056883.5"	"chr7"	140467464	140467636	1	"Promoter (1-2kb)"	"sidd"	"Olfr533"
"ENSMUSG00000056900.13"	"chr3"	32792847	32792983	1	"Distal Intergenic"	"sidd"	"Usp13"
"ENSMUSG00000056946.4"	"chr7"	108728848	108728974	1	"Distal Intergenic"	"sidd"	"Olfr512"
"ENSMUSG00000056972.6"	"chr7"	62393336	62393508	1	"Intron (ENSMUST00000207232.1/ENSMUSG00000108986.1, intron 1 of 2)"	"sidd"	"Magel2"
"ENSMUSG00000056973.6"	"chr8"	93168710	93168849	2	"Promoter (1-2kb)"	"sidd"	"Ces1d"
"ENSMUSG00000057036.7"	"chr3"	24295410	24295589	1	"Intron (ENSMUST00000203414.1/ENSMUSG00000102758.3, intron 5 of 13)"	"sidd"	"Gm7536"
"ENSMUSG00000057037.8"	"chr1"	139577371	139577550	2	"Distal Intergenic"	"sidd"	"Cfhr1"
"ENSMUSG00000057060.8"	"chr8"	126160262	126160416	1	"Intron (ENSMUST00000238518.1/ENSMUSG00000057060.8, intron 2 of 7)"	"sidd"	"Slc35f3"
"ENSMUSG00000057116.5"	"chr8"	13830366	13830498	2	"Distal Intergenic"	"sidd"	"AF366264"
"ENSMUSG00000057133.14"	"chr2"	161034978	161035126	2	"Exon (ENSMUST00000125179.1/ENSMUSG00000057133.14, exon 5 of 5)"	"sidd"	"Chd6"
"ENSMUSG00000057147.13"	"chr2"	114524406	114524523	2	"Intron (ENSMUST00000028640.13/ENSMUSG00000057147.13, intron 6 of 7)"	"sidd"	"Dph6"
"ENSMUSG00000057177.12"	"chr7"	25244033	25244104	2	"3' UTR"	"sidd"	"Gsk3a"
"ENSMUSG00000057182.15"	"chr2"	65562017	65562110	2	"Intron (ENSMUST00000066432.11/ENSMUSG00000057182.15, intron 1 of 26)"	"sidd"	"Scn3a"
"ENSMUSG00000057228.6"	"chr8"	60555098	60555225	1	"Distal Intergenic"	"sidd"	"Aadat"
"ENSMUSG00000057234.9"	"chr2"	109259326	109259441	2	"Intron (ENSMUST00000081631.9/ENSMUSG00000057234.9, intron 2 of 5)"	"sidd"	"Mettl15"
"ENSMUSG00000057246.16"	"chr17"	34425278	34425421	1	"Intron (ENSMUST00000114175.7/ENSMUSG00000057246.16, intron 8 of 23)"	"sidd"	"BC051142"
"ENSMUSG00000057335.11"	"chr1"	176791914	176792077	2	"Promoter (1-2kb)"	"sidd"	"Cep170"
"ENSMUSG00000057378.15"	"chr2"	112734317	112734464	2	"Intron (ENSMUST00000208151.1/ENSMUSG00000057378.15, intron 60 of 101)"	"sidd"	"Ryr3"
"ENSMUSG00000057406.16"	"chr5"	33810084	33810273	1	"Distal Intergenic"	"sidd"	"Nsd2"
"ENSMUSG00000057440.8"	"chr18"	7345042	7345124	2	"Distal Intergenic"	"sidd"	"Mpp7"
"ENSMUSG00000057444.3"	"chr9"	38635702	38635874	2	"Distal Intergenic"	"sidd"	"Olfr915"
"ENSMUSG00000057446.3"	"chr13"	61250172	61250313	2	"Intron (ENSMUST00000021891.4/ENSMUSG00000057446.3, intron 6 of 7)"	"sidd"	"Cts8"
"ENSMUSG00000057455.12"	"chr18"	31330645	31330789	2	"Distal Intergenic"	"sidd"	"Rit2"
"ENSMUSG00000057457.11"	"chrX"	157154996	157155225	2	"Distal Intergenic"	"sidd"	"Phex"
"ENSMUSG00000057464.4"	"chr1"	92506084	92506202	2	"Distal Intergenic"	"sidd"	"Olfr1415"
"ENSMUSG00000057513.3"	"chr7"	23862207	23862329	2	"Distal Intergenic"	"sidd"	"Vmn1r177"
"ENSMUSG00000057596.13"	"chr7"	104510909	104511045	2	"Distal Intergenic"	"sidd"	"Trim30d"
"ENSMUSG00000057605.4"	"chr19"	45496606	45496733	2	"Intron (ENSMUST00000223764.1/ENSMUSG00000025217.15, intron 1 of 2)"	"sidd"	"Gm6807"
"ENSMUSG00000057654.6"	"chr11"	58557546	58557674	2	"Promoter (1-2kb)"	"sidd"	"Olfr328"
"ENSMUSG00000057685.8"	"chr13"	88466270	88466434	1	"Distal Intergenic"	"sidd"	"Gm8526"
"ENSMUSG00000057716.7"	"chr6"	39871204	39871322	1	"Promoter (<=1kb)"	"sidd"	"Tmem178b"
"ENSMUSG00000057719.11"	"chr18"	42072572	42072777	1	"Intron (ENSMUST00000072008.10/ENSMUSG00000057719.11, intron 1 of 8)"	"sidd"	"Sh3rf2"
"ENSMUSG00000057726.3"	"chr13"	33454890	33455047	1	"Distal Intergenic"	"sidd"	"Serpinb9g"
"ENSMUSG00000057751.14"	"chr4"	154170015	154170094	1	"Promoter (<=1kb)"	"sidd"	"Megf6"
"ENSMUSG00000057766.14"	"chr18"	12262528	12262644	2	"Intron (ENSMUST00000118525.8/ENSMUSG00000057766.14, intron 7 of 9)"	"sidd"	"Ankrd29"
"ENSMUSG00000057777.4"	"chr3"	86591340	86591561	2	"Intron (ENSMUST00000192145.5/ENSMUSG00000028080.16, intron 40 of 50)"	"sidd"	"Mab21l2"
"ENSMUSG00000057897.14"	"chr11"	5980319	5980469	2	"Intron (ENSMUST00000109813.8/ENSMUSG00000057897.14, intron 16 of 20)"	"sidd"	"Camk2b"
"ENSMUSG00000057967.12"	"chr11"	33116947	33117180	2	"Distal Intergenic"	"sidd"	"Fgf18"
"ENSMUSG00000058005.3"	"chr3"	93816944	93817097	1	"Distal Intergenic"	"sidd"	"Tdpoz3"
"ENSMUSG00000058019.13"	"chr8"	93505473	93505718	2	"Promoter (1-2kb)"	"sidd"	"Ces5a"
"ENSMUSG00000058030.5"	"chr17"	21309974	21310092	1	"Promoter (1-2kb)"	"sidd"	"Vmn1r237"
"ENSMUSG00000058101.3"	"chr15"	33430914	33431121	2	"Intron (ENSMUST00000042167.9/ENSMUSG00000039007.10, intron 5 of 7)"	"sidd"	"1700084J12Rik"
"ENSMUSG00000058124.4"	"chr17"	36349695	36349831	2	"Distal Intergenic"	"sidd"	"H2-M10.3"
"ENSMUSG00000058126.7"	"chr14"	113336618	113336753	1	"Distal Intergenic"	"sidd"	"Tpm3-rs7"
"ENSMUSG00000058152.8"	"chr18"	59213086	59213230	1	"Intron (ENSMUST00000238155.1/ENSMUSG00000058152.8, intron 2 of 8)"	"sidd"	"Chsy3"
"ENSMUSG00000058153.15"	"chr5"	112483483	112483619	2	"Intron (ENSMUST00000079491.13/ENSMUSG00000058153.15, intron 1 of 16)"	"sidd"	"Sez6l"
"ENSMUSG00000058183.14"	"chr4"	154894835	154894915	1	"Promoter (2-3kb)"	"sidd"	"Mmel1"
"ENSMUSG00000058188.3"	"chr14"	50660617	50660712	1	"Distal Intergenic"	"sidd"	"Olfr746"
"ENSMUSG00000058194.3"	"chr2"	87447069	87447206	1	"Distal Intergenic"	"sidd"	"Olfr1126"
"ENSMUSG00000058248.12"	"chr1"	192174498	192174623	1	"Distal Intergenic"	"sidd"	"Kcnh1"
"ENSMUSG00000058297.16"	"chr10"	60106120	60106214	1	"Promoter (<=1kb)"	"sidd"	"Spock2"
"ENSMUSG00000058317.12"	"chr14"	18656470	18656608	2	"Intron (ENSMUST00000176555.7/ENSMUSG00000058317.12, intron 2 of 3)"	"sidd"	"Ube2e2"
"ENSMUSG00000058441.7"	"chr15"	89059599	89059697	1	"Promoter (<=1kb)"	"sidd"	"Panx2"
"ENSMUSG00000058443.5"	"chr9"	50397081	50397244	2	"Distal Intergenic"	"sidd"	"Rpl10-ps3"
"ENSMUSG00000058444.8"	"chr9"	63273126	63273309	2	"Intron (ENSMUST00000034920.10/ENSMUSG00000058444.8, intron 13 of 21)"	"sidd"	"Map2k5"
"ENSMUSG00000058503.11"	"chr5"	3532416	3532521	1	"Distal Intergenic"	"sidd"	"Fam133b"
"ENSMUSG00000058523.2"	"chr4"	61827471	61827578	2	"Distal Intergenic"	"sidd"	"Mup5"
"ENSMUSG00000058589.14"	"chr10"	90829925	90830035	1	"Promoter (<=1kb)"	"sidd"	"Anks1b"
"ENSMUSG00000058620.5"	"chr2"	127391951	127392081	1	"Distal Intergenic"	"sidd"	"Adra2b"
"ENSMUSG00000058631.6"	"chr7"	5794716	5794848	2	"Distal Intergenic"	"sidd"	"Vmn1r63"
"ENSMUSG00000058656.13"	"chr15"	53903749	53903862	2	"Promoter (1-2kb)"	"sidd"	"Samd12"
"ENSMUSG00000058665.8"	"chr1"	120569879	120570127	1	"Distal Intergenic"	"sidd"	"En1"
"ENSMUSG00000058669.7"	"chr12"	56614896	56615001	2	"Promoter (1-2kb)"	"sidd"	"Nkx2-9"
"ENSMUSG00000058692.4"	"chr9"	19355224	19355364	2	"Distal Intergenic"	"sidd"	"Olfr846"
"ENSMUSG00000058704.9"	"chr17"	74230033	74230185	2	"Promoter (<=1kb)"	"sidd"	"Memo1"
"ENSMUSG00000058740.14"	"chr2"	25884624	25884802	1	"Intron (ENSMUST00000198204.4/ENSMUSG00000058740.14, intron 1 of 29)"	"sidd"	"Kcnt1"
"ENSMUSG00000058745.4"	"chr14"	70367951	70368097	1	"Distal Intergenic"	"sidd"	"Gm9174"
"ENSMUSG00000058799.16"	"chr10"	111418814	111418947	1	"Distal Intergenic"	"sidd"	"Nap1l1"
"ENSMUSG00000058806.15"	"chr10"	61978640	61978712	2	"Promoter (<=1kb)"	"sidd"	"Col13a1"
"ENSMUSG00000058809.8"	"chr11"	41503700	41503835	1	"Distal Intergenic"	"sidd"	"Hspd1-ps3"
"ENSMUSG00000058816.5"	"chr19"	30539799	30539927	2	"Promoter (<=1kb)"	"sidd"	"Ppp1r2-ps3"
"ENSMUSG00000058838.9"	"chr9"	83411474	83411636	1	"Promoter (1-2kb)"	"sidd"	"Rps27a-ps2"
"ENSMUSG00000058897.18"	"chr3"	130342541	130342708	1	"Intron (ENSMUST00000143830.2/ENSMUSG00000058897.18, intron 2 of 19)"	"sidd"	"Col25a1"
"ENSMUSG00000058904.3"	"chr1"	92555007	92555123	1	"Distal Intergenic"	"sidd"	"Olfr1413"
"ENSMUSG00000058933.5"	"chr12"	62984909	62985052	2	"Distal Intergenic"	"sidd"	"Gm5185"
"ENSMUSG00000058935.14"	"chr4"	63619106	63619261	2	"Intron (ENSMUST00000102861.7/ENSMUSG00000058935.14, intron 1 of 4)"	"sidd"	"Tex48"
"ENSMUSG00000058975.7"	"chr7"	46395981	46396163	1	"Promoter (<=1kb)"	"sidd"	"Kcnc1"
"ENSMUSG00000058981.4"	"chr1"	173171667	173171811	2	"Distal Intergenic"	"sidd"	"Olfr1406"
"ENSMUSG00000058997.8"	"chr14"	79128986	79129128	1	"Intron (ENSMUST00000040990.6/ENSMUSG00000058997.8, intron 37 of 44)"	"sidd"	"Vwa8"
"ENSMUSG00000059003.12"	"chr16"	9594503	9594632	2	"Intron (ENSMUST00000199708.4/ENSMUSG00000059003.12, intron 12 of 13)"	"sidd"	"Grin2a"
"ENSMUSG00000059043.2"	"chr16"	3803758	3803986	1	"Distal Intergenic"	"sidd"	"Olfr15"
"ENSMUSG00000059049.14"	"chr4"	83041330	83041452	2	"Intron (ENSMUST00000170248.8/ENSMUSG00000059049.14, intron 1 of 36)"	"sidd"	"Frem1"
"ENSMUSG00000059060.15"	"chr12"	79556708	79556822	1	"Intron (ENSMUST00000171210.2/ENSMUSG00000059060.15, intron 7 of 10)"	"sidd"	"Rad51b"
"ENSMUSG00000059087.4"	"chr7"	106760301	106760457	2	"Distal Intergenic"	"sidd"	"Olfr698"
"ENSMUSG00000059146.12"	"chr7"	78502133	78502244	2	"Intron (ENSMUST00000039431.13/ENSMUSG00000059146.12, intron 3 of 16)"	"sidd"	"Ntrk3"
"ENSMUSG00000059173.19"	"chr2"	79973389	79973537	2	"Intron (ENSMUST00000102655.9/ENSMUSG00000059173.19, intron 1 of 14)"	"sidd"	"Pde1a"
"ENSMUSG00000059179.6"	"chr5"	16675171	16675391	2	"Distal Intergenic"	"sidd"	"Gm8991"
"ENSMUSG00000059182.7"	"chr6"	51872768	51872878	2	"Promoter (<=1kb)"	"sidd"	"Skap2"
"ENSMUSG00000059201.12"	"chr6"	29054130	29054340	1	"Distal Intergenic"	"sidd"	"Lep"
"ENSMUSG00000059203.10"	"chrX"	137449749	137449951	1	"Distal Intergenic"	"sidd"	"Il1rapl2"
"ENSMUSG00000059248.13"	"chr11"	117371752	117371885	1	"Distal Intergenic"	"sidd"	"Septin9"
"ENSMUSG00000059251.1"	"chr2"	36604958	36605082	1	"Distal Intergenic"	"sidd"	"Olfr345"
"ENSMUSG00000059252.5"	"chr9"	37703882	37704039	1	"Distal Intergenic"	"sidd"	"Tpt1-ps5"
"ENSMUSG00000059303.6"	"chr9"	19090143	19090285	1	"Distal Intergenic"	"sidd"	"Olfr836"
"ENSMUSG00000059325.14"	"chr5"	77104159	77104291	2	"Intron (ENSMUST00000081964.6/ENSMUSG00000059325.14, intron 1 of 2)"	"sidd"	"Hopx"
"ENSMUSG00000059326.7"	"chr19"	61205535	61205698	2	"Distal Intergenic"	"sidd"	"Csf2ra"
"ENSMUSG00000059334.6"	"chrX"	53778595	53778758	2	"Promoter (2-3kb)"	"sidd"	"Zfp36l3"
"ENSMUSG00000059336.14"	"chr18"	78155329	78155458	2	"Intron (ENSMUST00000237290.1/ENSMUSG00000024552.16, intron 8 of 10)"	"sidd"	"Slc14a1"
"ENSMUSG00000059343.4"	"chr4"	72737284	72737459	2	"Distal Intergenic"	"sidd"	"Aldoart1"
"ENSMUSG00000059411.6"	"chr6"	43220502	43220647	1	"Distal Intergenic"	"sidd"	"Olfr434"
"ENSMUSG00000059422.5"	"chr9"	78852786	78852997	2	"Distal Intergenic"	"sidd"	"Gm8116"
"ENSMUSG00000059439.15"	"chr11"	85448519	85448667	1	"Intron (ENSMUST00000108056.7/ENSMUSG00000059439.15, intron 8 of 15)"	"sidd"	"Bcas3"
"ENSMUSG00000059456.13"	"chr14"	66205920	66206091	2	"Intron (ENSMUST00000022622.13/ENSMUSG00000059456.13, intron 2 of 30)"	"sidd"	"Ptk2b"
"ENSMUSG00000059460.7"	"chr15"	98239221	98239315	2	"Distal Intergenic"	"sidd"	"Olfr286"
"ENSMUSG00000059482.15"	"chr4"	10886033	10886240	1	"Intron (ENSMUST00000080517.13/ENSMUSG00000059482.15, intron 4 of 5)"	"sidd"	"2610301B20Rik"
"ENSMUSG00000059488.3"	"chr14"	50120715	50120865	1	"Promoter (2-3kb)"	"sidd"	"Olfr727"
"ENSMUSG00000059503.2"	"chr1"	174400686	174400870	1	"Distal Intergenic"	"sidd"	"Olfr248"
"ENSMUSG00000059547.3"	"chr9"	109739558	109739769	2	"Intron (ENSMUST00000071917.3/ENSMUSG00000059547.3, intron 4 of 9)"	"sidd"	"Fbxw26"
"ENSMUSG00000059585.4"	"chr7"	61569252	61569389	2	"Intron (ENSMUST00000209115.1/ENSMUSG00000109006.2, intron 2 of 4)"	"sidd"	"Ube2nl"
"ENSMUSG00000059602.14"	"chr10"	86509323	86509429	2	"Distal Intergenic"	"sidd"	"Syn3"
"ENSMUSG00000059606.3"	"chr14"	51158060	51158209	1	"Distal Intergenic"	"sidd"	"Rnase2b"
"ENSMUSG00000059623.6"	"chr9"	20275748	20275907	1	"Distal Intergenic"	"sidd"	"Olfr39"
"ENSMUSG00000059639.2"	"chr6"	123000710	123000846	1	"Intron (ENSMUST00000079379.2/ENSMUSG00000059639.2, intron 2 of 5)"	"sidd"	"Clec4a4"
"ENSMUSG00000059654.7"	"chr6"	78440628	78440779	1	"Distal Intergenic"	"sidd"	"Reg1"
"ENSMUSG00000059658.5"	"chr9"	14847426	14847594	2	"Promoter (1-2kb)"	"sidd"	"Gm16379"
"ENSMUSG00000059674.7"	"chr14"	54632711	54632854	2	"Intron (ENSMUST00000067784.7/ENSMUSG00000059674.7, intron 11 of 11)"	"sidd"	"Cdh24"
"ENSMUSG00000059687.4"	"chr17"	37447685	37447802	1	"Promoter (2-3kb)"	"sidd"	"Olfr108"
"ENSMUSG00000059695.4"	"chr12"	96056891	96057041	2	"Distal Intergenic"	"sidd"	"1700019M22Rik"
"ENSMUSG00000059751.7"	"chr13"	108729957	108730097	1	"Intron (ENSMUST00000133929.7/ENSMUSG00000021699.17, intron 3 of 3)"	"sidd"	"Rps3a3"
"ENSMUSG00000059821.6"	"chr9"	19379123	19379263	2	"Promoter (<=1kb)"	"sidd"	"Olfr847"
"ENSMUSG00000059827.5"	"chr14"	22562363	22562501	2	"Intron (ENSMUST00000075639.10/ENSMUSG00000063458.13, intron 2 of 6)"	"sidd"	"Gm5670"
"ENSMUSG00000059852.7"	"chr18"	80387235	80387409	2	"Distal Intergenic"	"sidd"	"Kcng2"
"ENSMUSG00000059854.8"	"chr8"	110259770	110259900	1	"Distal Intergenic"	"sidd"	"Hydin"
"ENSMUSG00000059857.15"	"chr3"	109750640	109750784	2	"Distal Intergenic"	"sidd"	"Ntng1"
"ENSMUSG00000059877.3"	"chr13"	106574140	106574288	2	"Distal Intergenic"	"sidd"	"Dph3b-ps"
"ENSMUSG00000059898.9"	"chr18"	19932058	19932213	2	"Distal Intergenic"	"sidd"	"Dsc3"
"ENSMUSG00000059908.9"	"chr6"	121798283	121798433	1	"Distal Intergenic"	"sidd"	"Mug1"
"ENSMUSG00000059912.4"	"chr17"	55906364	55906501	2	"Distal Intergenic"	"sidd"	"Rpl21-ps6"
"ENSMUSG00000059921.15"	"chr3"	141346495	141346653	1	"Distal Intergenic"	"sidd"	"Unc5c"
"ENSMUSG00000059939.13"	"chr4"	156100287	156100422	1	"Distal Intergenic"	"sidd"	"9430015G10Rik"
"ENSMUSG00000059964.9"	"chr17"	37698755	37698923	1	"Promoter (2-3kb)"	"sidd"	"Olfr119"
"ENSMUSG00000059972.7"	"chrX"	91090232	91090361	1	"Distal Intergenic"	"sidd"	"Gm14773"
"ENSMUSG00000059974.10"	"chr9"	29412901	29413047	2	"Promoter (<=1kb)"	"sidd"	"Ntm"
"ENSMUSG00000059991.7"	"chr5"	144547725	144547961	1	"Promoter (1-2kb)"	"sidd"	"Nptx2"
"ENSMUSG00000060063.9"	"chr5"	149266290	149266433	1	"Promoter (<=1kb)"	"sidd"	"Alox5ap"
"ENSMUSG00000060105.2"	"chr7"	108556409	108556507	2	"Distal Intergenic"	"sidd"	"Olfr504"
"ENSMUSG00000060114.4"	"chr9"	38546202	38546362	1	"Distal Intergenic"	"sidd"	"Olfr910"
"ENSMUSG00000060131.11"	"chr2"	126407804	126407913	2	"Intron (ENSMUST00000040128.11/ENSMUSG00000060131.11, intron 10 of 27)"	"sidd"	"Atp8b4"
"ENSMUSG00000060149.7"	"chr17"	16987492	16987649	1	"Distal Intergenic"	"sidd"	"BC002059"
"ENSMUSG00000060204.6"	"chr5"	72587721	72587955	2	"Promoter (<=1kb)"	"sidd"	"Slc10a4l"
"ENSMUSG00000060205.3"	"chr10"	79044051	79044190	1	"Distal Intergenic"	"sidd"	"Olfr57"
"ENSMUSG00000060212.13"	"chr8"	125792397	125792539	2	"Intron (ENSMUST00000047239.12/ENSMUSG00000060212.13, intron 23 of 33)"	"sidd"	"Pcnx2"
"ENSMUSG00000060245.5"	"chr17"	20763581	20763729	2	"Distal Intergenic"	"sidd"	"Vmn1r228"
"ENSMUSG00000060260.13"	"chr7"	139247043	139247155	1	"Promoter (1-2kb)"	"sidd"	"Pwwp2b"
"ENSMUSG00000060275.14"	"chr18"	36017717	36017858	2	"3' UTR"	"sidd"	"Nrg2"
"ENSMUSG00000060317.9"	"chr4"	49372203	49372341	2	"Distal Intergenic"	"sidd"	"Acnat2"
"ENSMUSG00000060371.12"	"chr5"	130415857	130415985	1	"Intron (ENSMUST00000086029.9/ENSMUSG00000060371.12, intron 2 of 6)"	"sidd"	"Caln1"
"ENSMUSG00000060402.8"	"chr7"	34707454	34707582	2	"Intron (ENSMUST00000238947.1/ENSMUSG00000060402.8, intron 2 of 3)"	"sidd"	"Chst8"
"ENSMUSG00000060424.14"	"chr1"	42621549	42621657	2	"Intron (ENSMUST00000181660.7/ENSMUSG00000060424.14, intron 3 of 3)"	"sidd"	"Pantr1"
"ENSMUSG00000060459.14"	"chr16"	23004243	23004474	2	"Intron (ENSMUST00000115349.8/ENSMUSG00000060459.14, intron 4 of 10)"	"sidd"	"Kng2"
"ENSMUSG00000060499.7"	"chr12"	66299010	66299252	2	"Distal Intergenic"	"sidd"	"Rpl10l"
"ENSMUSG00000060508.16"	"chr7"	19991924	19992060	1	"Promoter (<=1kb)"	"sidd"	"Nlrp9b"
"ENSMUSG00000060523.5"	"chr14"	50083283	50083471	2	"Promoter (1-2kb)"	"sidd"	"Olfr726"
"ENSMUSG00000060534.16"	"chr18"	71957995	71958123	2	"Intron (ENSMUST00000114943.10/ENSMUSG00000060534.16, intron 1 of 28)"	"sidd"	"Dcc"
"ENSMUSG00000060548.13"	"chr14"	60887637	60887796	2	"Intron (ENSMUST00000063562.8/ENSMUSG00000021993.10, intron 18 of 18)"	"sidd"	"Tnfrsf19"
"ENSMUSG00000060579.13"	"chr14"	11093973	11094118	2	"Intron (ENSMUST00000162278.7/ENSMUSG00000060579.13, intron 2 of 8)"	"sidd"	"Fhit"
"ENSMUSG00000060613.10"	"chr19"	40143731	40143975	2	"Distal Intergenic"	"sidd"	"Cyp2c70"
"ENSMUSG00000060615.5"	"chr14"	51768772	51768909	2	"Intron (ENSMUST00000073860.5/ENSMUSG00000060615.5, intron 1 of 1)"	"sidd"	"Ang4"
"ENSMUSG00000060630.7"	"chr11"	73677291	73677462	1	"Distal Intergenic"	"sidd"	"Zfp735"
"ENSMUSG00000060673.2"	"chrX"	81567079	81567230	2	"Distal Intergenic"	"sidd"	"4930595M18Rik"
"ENSMUSG00000060679.14"	"chr1"	42810859	42810993	1	"Distal Intergenic"	"sidd"	"Mrps9"
"ENSMUSG00000060680.2"	"chr14"	55404087	55404220	2	"Distal Intergenic"	"sidd"	"Gm8894"
"ENSMUSG00000060724.2"	"chr6"	90008715	90008837	1	"Distal Intergenic"	"sidd"	"Vmn1r47"
"ENSMUSG00000060733.13"	"chr10"	71394524	71394656	1	"Intron (ENSMUST00000141984.1/ENSMUSG00000060733.13, intron 1 of 2)"	"sidd"	"Ipmk"
"ENSMUSG00000060816.3"	"chr6"	90189035	90189174	1	"Intron (ENSMUST00000204789.1/ENSMUSG00000092247.2, intron 2 of 3)"	"sidd"	"Vmn1r52"
"ENSMUSG00000060843.11"	"chr10"	63625447	63625634	1	"Intron (ENSMUST00000105441.7/ENSMUSG00000060843.11, intron 5 of 17)"	"sidd"	"Ctnna3"
"ENSMUSG00000060879.3"	"chr5"	23010844	23010972	2	"Intron (ENSMUST00000197992.1/ENSMUSG00000106379.1, intron 1 of 3)"	"sidd"	"Gm6564"
"ENSMUSG00000060924.15"	"chr8"	17272954	17273079	2	"Intron (ENSMUST00000082104.6/ENSMUSG00000060924.15, intron 1 of 69)"	"sidd"	"Csmd1"
"ENSMUSG00000060961.16"	"chr5"	88913192	88913343	1	"Intron (ENSMUST00000239214.1/ENSMUSG00000060961.16, intron 1 of 25)"	"sidd"	"Slc4a4"
"ENSMUSG00000060962.12"	"chr7"	30776772	30776905	1	"Promoter (<=1kb)"	"sidd"	"Dmkn"
"ENSMUSG00000060967.6"	"chrX"	53452072	53452233	1	"Distal Intergenic"	"sidd"	"Etd"
"ENSMUSG00000060969.9"	"chr13"	72032291	72032412	2	"Distal Intergenic"	"sidd"	"Irx1"
"ENSMUSG00000060974.3"	"chr7"	140380282	140380407	2	"Distal Intergenic"	"sidd"	"Olfr530"
"ENSMUSG00000060985.15"	"chr1"	156300467	156300624	2	"Promoter (2-3kb)"	"sidd"	"Tdrd5"
"ENSMUSG00000061080.11"	"chr16"	41861163	41861273	1	"Intron (ENSMUST00000187695.6/ENSMUSG00000061080.11, intron 3 of 8)"	"sidd"	"Lsamp"
"ENSMUSG00000061100.5"	"chr16"	48839325	48839486	1	"Distal Intergenic"	"sidd"	"Retnla"
"ENSMUSG00000061136.16"	"chr2"	53019607	53019799	2	"Intron (ENSMUST00000155586.8/ENSMUSG00000036053.17, intron 2 of 26)"	"sidd"	"Prpf40a"
"ENSMUSG00000061143.15"	"chr3"	51800866	51801024	2	"Intron (ENSMUST00000121440.3/ENSMUSG00000061143.15, intron 2 of 4)"	"sidd"	"Maml3"
"ENSMUSG00000061184.8"	"chr5"	86294215	86294355	2	"Distal Intergenic"	"sidd"	"Tmprss11c"
"ENSMUSG00000061246.6"	"chr11"	73658495	73658631	1	"Promoter (1-2kb)"	"sidd"	"Olfr387-ps1"
"ENSMUSG00000061292.10"	"chr5"	146119405	146119533	1	"Distal Intergenic"	"sidd"	"Cyp3a59"
"ENSMUSG00000061298.14"	"chr4"	110380230	110380345	1	"Distal Intergenic"	"sidd"	"Agbl4"
"ENSMUSG00000061361.2"	"chr16"	19538978	19539113	2	"Distal Intergenic"	"sidd"	"Olfr168"
"ENSMUSG00000061367.3"	"chr10"	129155360	129155517	2	"Distal Intergenic"	"sidd"	"Olfr771"
"ENSMUSG00000061371.7"	"chr10"	82068883	82069026	1	"Distal Intergenic"	"sidd"	"Zfp873"
"ENSMUSG00000061411.12"	"chr2"	153435427	153435536	2	"Intron (ENSMUST00000035346.13/ENSMUSG00000061411.12, intron 5 of 10)"	"sidd"	"Nol4l"
"ENSMUSG00000061462.18"	"chr11"	58999505	58999653	2	"Promoter (<=1kb)"	"sidd"	"Obscn"
"ENSMUSG00000061486.7"	"chr9"	101535469	101535651	2	"Distal Intergenic"	"sidd"	"Gm5161"
"ENSMUSG00000061490.6"	"chr15"	58839832	58839938	2	"Distal Intergenic"	"sidd"	"Ube2d4"
"ENSMUSG00000061524.8"	"chr14"	122479307	122479523	1	"Promoter (1-2kb)"	"sidd"	"Zic2"
"ENSMUSG00000061535.11"	"chr5"	43505089	43505228	1	"Distal Intergenic"	"sidd"	"C1qtnf7"
"ENSMUSG00000061576.15"	"chr5"	27044113	27044231	1	"Intron (ENSMUST00000071500.12/ENSMUSG00000061576.15, intron 1 of 25)"	"sidd"	"Dpp6"
"ENSMUSG00000061601.15"	"chr5"	14430896	14431040	1	"Distal Intergenic"	"sidd"	"Pclo"
"ENSMUSG00000061603.8"	"chr12"	52690250	52690372	1	"Distal Intergenic"	"sidd"	"Akap6"
"ENSMUSG00000061653.4"	"chr6"	89964411	89964537	1	"Distal Intergenic"	"sidd"	"Vmn1r46"
"ENSMUSG00000061669.6"	"chr13"	116205559	116205707	1	"Distal Intergenic"	"sidd"	"Rpl34-ps2"
"ENSMUSG00000061689.15"	"chr2"	156702088	156702235	1	"Promoter (1-2kb)"	"sidd"	"Dlgap4"
"ENSMUSG00000061701.11"	"chr9"	109244335	109244474	2	"Distal Intergenic"	"sidd"	"Fbxw20"
"ENSMUSG00000061731.9"	"chr15"	53057793	53058011	2	"Distal Intergenic"	"sidd"	"Ext1"
