"geneId"	"annotation"	"group"	"gene_name"
"ENSMUSG00000041798.15"	"Promoter (<=1kb)"	"quadruplex"	"Gck"
"ENSMUSG00000041817.14"	"Promoter (<=1kb)"	"quadruplex"	"Fam169a"
"ENSMUSG00000041842.15"	"Promoter (<=1kb)"	"quadruplex"	"Fhdc1"
"ENSMUSG00000041845.11"	"Promoter (<=1kb)"	"quadruplex"	"Rhod"
"ENSMUSG00000041852.15"	"Promoter (<=1kb)"	"quadruplex"	"Tcf20"
"ENSMUSG00000041907.9"	"Promoter (<=1kb)"	"quadruplex"	"Gpr45"
"ENSMUSG00000041911.3"	"Promoter (<=1kb)"	"quadruplex"	"Dlx1"
"ENSMUSG00000041923.15"	"Promoter (<=1kb)"	"quadruplex"	"Nol4"
"ENSMUSG00000041930.7"	"Promoter (2-3kb)"	"quadruplex"	"Fam222a"
"ENSMUSG00000041936.18"	"Promoter (<=1kb)"	"quadruplex"	"Agrn"
"ENSMUSG00000041961.14"	"Promoter (<=1kb)"	"quadruplex"	"Znrf3"
"ENSMUSG00000041986.16"	"Promoter (<=1kb)"	"quadruplex"	"Elmod1"
"ENSMUSG00000042002.11"	"Promoter (<=1kb)"	"quadruplex"	"Foxn4"
"ENSMUSG00000042035.11"	"Promoter (<=1kb)"	"quadruplex"	"Igsf3"
"ENSMUSG00000042050.8"	"Promoter (1-2kb)"	"quadruplex"	"Wdr60"
"ENSMUSG00000042066.16"	"Promoter (<=1kb)"	"quadruplex"	"Tmcc2"
"ENSMUSG00000042078.14"	"Promoter (<=1kb)"	"quadruplex"	"Svop"
"ENSMUSG00000042092.5"	"Promoter (1-2kb)"	"quadruplex"	"Lce1c"
"ENSMUSG00000042096.15"	"Promoter (<=1kb)"	"quadruplex"	"Dao"
"ENSMUSG00000042115.4"	"Promoter (<=1kb)"	"quadruplex"	"Klhdc8a"
"ENSMUSG00000042116.3"	"Promoter (<=1kb)"	"quadruplex"	"Vwa1"
"ENSMUSG00000042155.3"	"Promoter (<=1kb)"	"quadruplex"	"Klhl23"
"ENSMUSG00000042156.16"	"Promoter (<=1kb)"	"quadruplex"	"Dzip1"
"ENSMUSG00000042182.16"	"Promoter (<=1kb)"	"quadruplex"	"Bend6"
"ENSMUSG00000042213.17"	"Promoter (1-2kb)"	"quadruplex"	"Zfand4"
"ENSMUSG00000042216.13"	"Promoter (<=1kb)"	"quadruplex"	"Sgsm1"
"ENSMUSG00000042249.11"	"Promoter (<=1kb)"	"quadruplex"	"Grk3"
"ENSMUSG00000042256.5"	"Promoter (<=1kb)"	"quadruplex"	"Ptchd4"
"ENSMUSG00000042269.15"	"Promoter (<=1kb)"	"quadruplex"	"Fam92b"
"ENSMUSG00000042272.17"	"Promoter (<=1kb)"	"quadruplex"	"Sestd1"
"ENSMUSG00000042331.13"	"Promoter (<=1kb)"	"quadruplex"	"Specc1"
"ENSMUSG00000042359.18"	"Promoter (<=1kb)"	"quadruplex"	"Osbpl6"
"ENSMUSG00000042372.5"	"Promoter (<=1kb)"	"quadruplex"	"Dmrt3"
"ENSMUSG00000042386.7"	"Promoter (<=1kb)"	"quadruplex"	"Tex13b"
"ENSMUSG00000042388.14"	"Promoter (<=1kb)"	"quadruplex"	"Dlgap3"
"ENSMUSG00000042401.8"	"Promoter (<=1kb)"	"quadruplex"	"Crtac1"
"ENSMUSG00000042417.5"	"Promoter (<=1kb)"	"quadruplex"	"Ccno"
"ENSMUSG00000042428.6"	"Promoter (<=1kb)"	"quadruplex"	"Mgat3"
"ENSMUSG00000042429.8"	"Promoter (<=1kb)"	"quadruplex"	"Adora1"
"ENSMUSG00000042439.13"	"Promoter (<=1kb)"	"quadruplex"	"Zfp532"
"ENSMUSG00000042448.5"	"Promoter (<=1kb)"	"quadruplex"	"Hoxd1"
"ENSMUSG00000042453.14"	"Promoter (<=1kb)"	"quadruplex"	"Reln"
"ENSMUSG00000042477.7"	"Promoter (<=1kb)"	"quadruplex"	"Tfap2e"
"ENSMUSG00000042499.13"	"Promoter (<=1kb)"	"quadruplex"	"Hoxd11"
"ENSMUSG00000042500.11"	"Promoter (<=1kb)"	"quadruplex"	"Ago4"
"ENSMUSG00000042529.14"	"Promoter (<=1kb)"	"quadruplex"	"Kcnj12"
"ENSMUSG00000042532.14"	"Promoter (<=1kb)"	"quadruplex"	"Golga7b"
"ENSMUSG00000042564.13"	"Promoter (<=1kb)"	"quadruplex"	"Fam227a"
"ENSMUSG00000042581.14"	"Promoter (<=1kb)"	"quadruplex"	"Thsd7b"
"ENSMUSG00000042589.18"	"Promoter (2-3kb)"	"quadruplex"	"Cux2"
"ENSMUSG00000042604.5"	"Promoter (<=1kb)"	"quadruplex"	"Kcna4"
"ENSMUSG00000042631.7"	"Promoter (<=1kb)"	"quadruplex"	"Xkr7"
"ENSMUSG00000042655.5"	"Promoter (<=1kb)"	"quadruplex"	"Shisal2b"
"ENSMUSG00000042659.15"	"Promoter (<=1kb)"	"quadruplex"	"Arrdc4"
"ENSMUSG00000042662.16"	"Promoter (1-2kb)"	"quadruplex"	"Dusp15"
"ENSMUSG00000042671.12"	"Promoter (<=1kb)"	"quadruplex"	"Rgs8"
"ENSMUSG00000042672.15"	"Promoter (<=1kb)"	"quadruplex"	"Dcst1"
"ENSMUSG00000042678.17"	"Promoter (<=1kb)"	"quadruplex"	"Myo15"
"ENSMUSG00000042686.5"	"Promoter (<=1kb)"	"quadruplex"	"Jph1"
"ENSMUSG00000042734.6"	"Promoter (<=1kb)"	"quadruplex"	"Ttc9"
"ENSMUSG00000042743.13"	"Promoter (<=1kb)"	"quadruplex"	"Sgtb"
"ENSMUSG00000042745.9"	"Promoter (1-2kb)"	"quadruplex"	"Id1"
"ENSMUSG00000042751.14"	"Promoter (<=1kb)"	"quadruplex"	"Nmnat2"
"ENSMUSG00000042757.16"	"Promoter (2-3kb)"	"quadruplex"	"Tmem108"
"ENSMUSG00000042759.12"	"Promoter (<=1kb)"	"quadruplex"	"Apobr"
"ENSMUSG00000042761.14"	"Promoter (<=1kb)"	"quadruplex"	"Mrap2"
"ENSMUSG00000042763.9"	"Promoter (<=1kb)"	"quadruplex"	"Maneal"
"ENSMUSG00000042766.17"	"Promoter (<=1kb)"	"quadruplex"	"Trim46"
"ENSMUSG00000042793.13"	"Promoter (<=1kb)"	"quadruplex"	"Lgr6"
"ENSMUSG00000042804.13"	"Promoter (<=1kb)"	"quadruplex"	"Gpr153"
"ENSMUSG00000042807.15"	"Promoter (<=1kb)"	"quadruplex"	"Hecw2"
"ENSMUSG00000042812.5"	"Promoter (<=1kb)"	"quadruplex"	"Foxf1"
"ENSMUSG00000042821.7"	"Promoter (<=1kb)"	"quadruplex"	"Snai1"
"ENSMUSG00000042826.13"	"Promoter (<=1kb)"	"quadruplex"	"Fgf11"
"ENSMUSG00000042834.15"	"Promoter (<=1kb)"	"quadruplex"	"Nrep"
"ENSMUSG00000042873.11"	"Promoter (<=1kb)"	"quadruplex"	"Lhfpl4"
"ENSMUSG00000042918.17"	"Promoter (<=1kb)"	"quadruplex"	"Mamstr"
"ENSMUSG00000042942.18"	"Promoter (<=1kb)"	"quadruplex"	"Greb1l"
"ENSMUSG00000042976.6"	"Promoter (<=1kb)"	"quadruplex"	"9930038B18Rik"
"ENSMUSG00000042978.11"	"Promoter (<=1kb)"	"quadruplex"	"Sbk1"
"ENSMUSG00000042985.7"	"Promoter (<=1kb)"	"quadruplex"	"Upk3b"
"ENSMUSG00000042988.10"	"Promoter (<=1kb)"	"quadruplex"	"Notum"
"ENSMUSG00000043003.14"	"Promoter (<=1kb)"	"quadruplex"	"Rasef"
"ENSMUSG00000043008.9"	"Promoter (1-2kb)"	"quadruplex"	"Klhl6"
"ENSMUSG00000043013.10"	"Promoter (<=1kb)"	"quadruplex"	"Onecut1"
"ENSMUSG00000043068.6"	"Promoter (<=1kb)"	"quadruplex"	"Fam89a"
"ENSMUSG00000043079.17"	"Promoter (1-2kb)"	"quadruplex"	"Synpo"
"ENSMUSG00000043085.14"	"Promoter (<=1kb)"	"quadruplex"	"Tmem82"
"ENSMUSG00000043088.16"	"Promoter (<=1kb)"	"quadruplex"	"Il17re"
"ENSMUSG00000043099.4"	"Promoter (<=1kb)"	"quadruplex"	"Hic1"
"ENSMUSG00000043168.12"	"Promoter (<=1kb)"	"quadruplex"	"4930426D05Rik"
"ENSMUSG00000043219.9"	"Promoter (<=1kb)"	"quadruplex"	"Hoxa6"
"ENSMUSG00000043259.15"	"Promoter (<=1kb)"	"quadruplex"	"Fam13c"
"ENSMUSG00000043289.12"	"Promoter (<=1kb)"	"quadruplex"	"Mei4"
"ENSMUSG00000043300.2"	"Promoter (<=1kb)"	"quadruplex"	"B3galnt1"
"ENSMUSG00000043301.16"	"Promoter (<=1kb)"	"quadruplex"	"Kcnj6"
"ENSMUSG00000043323.17"	"Promoter (<=1kb)"	"quadruplex"	"Fbrsl1"
"ENSMUSG00000043342.9"	"Promoter (<=1kb)"	"quadruplex"	"Hoxd9"
"ENSMUSG00000043391.10"	"Promoter (<=1kb)"	"quadruplex"	"2510009E07Rik"
"ENSMUSG00000043410.16"	"Promoter (<=1kb)"	"quadruplex"	"Hfm1"
"ENSMUSG00000043419.11"	"Promoter (<=1kb)"	"quadruplex"	"Rnf227"
"ENSMUSG00000043429.7"	"Promoter (<=1kb)"	"quadruplex"	"Ccdc185"
"ENSMUSG00000043432.7"	"Promoter (<=1kb)"	"quadruplex"	"Leng9"
"ENSMUSG00000043439.5"	"Promoter (<=1kb)"	"quadruplex"	"Epop"
"ENSMUSG00000043456.17"	"Promoter (<=1kb)"	"quadruplex"	"Zfp536"
"ENSMUSG00000043460.7"	"Promoter (2-3kb)"	"quadruplex"	"Elfn2"
"ENSMUSG00000043468.4"	"Promoter (2-3kb)"	"quadruplex"	"Adam30"
"ENSMUSG00000043518.7"	"Promoter (<=1kb)"	"quadruplex"	"Rai2"
"ENSMUSG00000043531.16"	"Promoter (<=1kb)"	"quadruplex"	"Sorcs1"
"ENSMUSG00000043557.16"	"Promoter (<=1kb)"	"quadruplex"	"Mdga1"
"ENSMUSG00000043587.15"	"Promoter (1-2kb)"	"quadruplex"	"Pxylp1"
"ENSMUSG00000043635.12"	"Promoter (<=1kb)"	"quadruplex"	"Adamts3"
"ENSMUSG00000043668.13"	"Promoter (<=1kb)"	"quadruplex"	"Tox3"
"ENSMUSG00000043673.11"	"Promoter (1-2kb)"	"quadruplex"	"Kcns3"
"ENSMUSG00000043687.15"	"Promoter (<=1kb)"	"quadruplex"	"1190005I06Rik"
"ENSMUSG00000043753.2"	"Promoter (<=1kb)"	"quadruplex"	"Dmrta1"
"ENSMUSG00000043782.9"	"Promoter (<=1kb)"	"quadruplex"	"Bicdl2"
"ENSMUSG00000043811.5"	"Promoter (<=1kb)"	"quadruplex"	"Rtn4r"
"ENSMUSG00000043822.18"	"Promoter (2-3kb)"	"quadruplex"	"Adamtsl5"
"ENSMUSG00000043843.17"	"Promoter (2-3kb)"	"quadruplex"	"Tmem145"
"ENSMUSG00000043857.16"	"Promoter (<=1kb)"	"quadruplex"	"Mgat5b"
"ENSMUSG00000043903.4"	"Promoter (2-3kb)"	"quadruplex"	"Zfp469"
"ENSMUSG00000043940.15"	"Promoter (<=1kb)"	"quadruplex"	"Wdfy3"
"ENSMUSG00000043964.14"	"Promoter (1-2kb)"	"quadruplex"	"Orai3"
"ENSMUSG00000043969.4"	"Promoter (<=1kb)"	"quadruplex"	"Emx2"
"ENSMUSG00000043993.6"	"Promoter (<=1kb)"	"quadruplex"	"2900052L18Rik"
"ENSMUSG00000044005.13"	"Promoter (<=1kb)"	"quadruplex"	"Gls2"
"ENSMUSG00000044006.8"	"Promoter (1-2kb)"	"quadruplex"	"Cilp2"
"ENSMUSG00000044025.6"	"Promoter (2-3kb)"	"quadruplex"	"Olfr790"
"ENSMUSG00000044029.6"	"Promoter (2-3kb)"	"quadruplex"	"Olfr178"
"ENSMUSG00000044037.15"	"Promoter (<=1kb)"	"quadruplex"	"Als2cl"
"ENSMUSG00000044071.9"	"Promoter (<=1kb)"	"quadruplex"	"Tafa2"
"ENSMUSG00000044083.12"	"Promoter (1-2kb)"	"quadruplex"	"Efcab8"
"ENSMUSG00000044162.12"	"Promoter (1-2kb)"	"quadruplex"	"Tnip3"
"ENSMUSG00000044164.2"	"Promoter (<=1kb)"	"quadruplex"	"Rnf182"
"ENSMUSG00000044177.4"	"Promoter (<=1kb)"	"quadruplex"	"Wfikkn2"
"ENSMUSG00000044213.4"	"Promoter (2-3kb)"	"quadruplex"	"Olfr1094"
"ENSMUSG00000044216.7"	"Promoter (<=1kb)"	"quadruplex"	"Kcnj4"
"ENSMUSG00000044217.17"	"Promoter (<=1kb)"	"quadruplex"	"Aqp5"
"ENSMUSG00000044220.13"	"Promoter (1-2kb)"	"quadruplex"	"Nkx2-3"
"ENSMUSG00000044252.18"	"Promoter (<=1kb)"	"quadruplex"	"Osbpl1a"
"ENSMUSG00000044279.15"	"Promoter (<=1kb)"	"quadruplex"	"Crb3"
"ENSMUSG00000044288.6"	"Promoter (<=1kb)"	"quadruplex"	"Cnr1"
"ENSMUSG00000044296.10"	"Promoter (1-2kb)"	"quadruplex"	"Zfp879"
"ENSMUSG00000044312.4"	"Promoter (<=1kb)"	"quadruplex"	"Neurog3"
"ENSMUSG00000044320.14"	"Promoter (<=1kb)"	"quadruplex"	"1700001O22Rik"
"ENSMUSG00000044361.16"	"Promoter (<=1kb)"	"quadruplex"	"BC024139"
"ENSMUSG00000044364.5"	"Promoter (<=1kb)"	"quadruplex"	"Tmem74b"
"ENSMUSG00000044365.15"	"Promoter (<=1kb)"	"quadruplex"	"Cxxc4"
"ENSMUSG00000044393.15"	"Promoter (<=1kb)"	"quadruplex"	"Dsg2"
"ENSMUSG00000044400.1"	"Promoter (<=1kb)"	"quadruplex"	"Sowahd"
"ENSMUSG00000044433.16"	"Promoter (<=1kb)"	"quadruplex"	"Camsap3"
"ENSMUSG00000044444.6"	"Promoter (1-2kb)"	"quadruplex"	"Pfn3"
"ENSMUSG00000044447.5"	"Promoter (<=1kb)"	"quadruplex"	"Dock5"
"ENSMUSG00000044461.6"	"Promoter (<=1kb)"	"quadruplex"	"Shisa2"
"ENSMUSG00000044499.11"	"Promoter (<=1kb)"	"quadruplex"	"Hs3st5"
"ENSMUSG00000044505.5"	"Promoter (<=1kb)"	"quadruplex"	"Lingo4"
"ENSMUSG00000044518.3"	"Promoter (<=1kb)"	"quadruplex"	"Foxe3"
"ENSMUSG00000044526.3"	"Promoter (2-3kb)"	"quadruplex"	"Znrf4"
"ENSMUSG00000044548.11"	"Promoter (<=1kb)"	"quadruplex"	"Dact1"
"ENSMUSG00000044576.6"	"Promoter (<=1kb)"	"quadruplex"	"Garem2"
"ENSMUSG00000044628.5"	"Promoter (<=1kb)"	"quadruplex"	"Rnf208"
"ENSMUSG00000044641.7"	"Promoter (<=1kb)"	"quadruplex"	"Pard6b"
"ENSMUSG00000044646.15"	"Promoter (<=1kb)"	"quadruplex"	"Zbtb7c"
"ENSMUSG00000044667.12"	"Promoter (<=1kb)"	"quadruplex"	"Plppr4"
"ENSMUSG00000044700.15"	"Promoter (2-3kb)"	"quadruplex"	"Tmem201"
"ENSMUSG00000044707.7"	"Promoter (<=1kb)"	"quadruplex"	"Ccnjl"
"ENSMUSG00000044708.5"	"Promoter (<=1kb)"	"quadruplex"	"Kcnj10"
"ENSMUSG00000044716.12"	"Promoter (<=1kb)"	"quadruplex"	"Dok7"
"ENSMUSG00000044726.8"	"Promoter (<=1kb)"	"quadruplex"	"Erich5"
"ENSMUSG00000044813.15"	"Promoter (<=1kb)"	"quadruplex"	"Shb"
"ENSMUSG00000044835.15"	"Promoter (<=1kb)"	"quadruplex"	"Ankrd45"
"ENSMUSG00000044897.3"	"Promoter (2-3kb)"	"quadruplex"	"Olfr821"
"ENSMUSG00000044927.6"	"Promoter (<=1kb)"	"quadruplex"	"H1f10"
"ENSMUSG00000044933.3"	"Promoter (<=1kb)"	"quadruplex"	"Sstr3"
"ENSMUSG00000045004.3"	"Promoter (<=1kb)"	"quadruplex"	"Spata21"
"ENSMUSG00000045005.9"	"Promoter (<=1kb)"	"quadruplex"	"Fzd5"
"ENSMUSG00000045008.2"	"Promoter (<=1kb)"	"quadruplex"	"9030612E09Rik"
"ENSMUSG00000045034.12"	"Promoter (<=1kb)"	"quadruplex"	"Ankrd34b"
"ENSMUSG00000045039.9"	"Promoter (1-2kb)"	"quadruplex"	"Megf8"
"ENSMUSG00000045045.7"	"Promoter (<=1kb)"	"quadruplex"	"Lrfn4"
"ENSMUSG00000045053.2"	"Promoter (<=1kb)"	"quadruplex"	"Kcng3"
"ENSMUSG00000045083.14"	"Promoter (<=1kb)"	"quadruplex"	"Lingo2"
"ENSMUSG00000045087.8"	"Promoter (<=1kb)"	"quadruplex"	"S1pr5"
"ENSMUSG00000045095.16"	"Promoter (<=1kb)"	"quadruplex"	"Magi1"
"ENSMUSG00000045179.9"	"Promoter (1-2kb)"	"quadruplex"	"Sox3"
"ENSMUSG00000045180.13"	"Promoter (<=1kb)"	"quadruplex"	"Shroom2"
"ENSMUSG00000045201.6"	"Promoter (<=1kb)"	"quadruplex"	"Lrrc3b"
"ENSMUSG00000045215.17"	"Promoter (<=1kb)"	"quadruplex"	"Asxl3"
"ENSMUSG00000045238.9"	"Promoter (<=1kb)"	"quadruplex"	"A730035I17Rik"
"ENSMUSG00000045252.11"	"Promoter (<=1kb)"	"quadruplex"	"Zfp574"
"ENSMUSG00000045281.5"	"Promoter (<=1kb)"	"quadruplex"	"Gpr20"
"ENSMUSG00000045287.6"	"Promoter (<=1kb)"	"quadruplex"	"Rtn4rl1"
"ENSMUSG00000045288.10"	"Promoter (<=1kb)"	"quadruplex"	"Ush1g"
"ENSMUSG00000045312.12"	"Promoter (<=1kb)"	"quadruplex"	"Lhfpl2"
"ENSMUSG00000045314.5"	"Promoter (<=1kb)"	"quadruplex"	"Sowahb"
"ENSMUSG00000045318.6"	"Promoter (<=1kb)"	"quadruplex"	"Adra2c"
"ENSMUSG00000045333.15"	"Promoter (1-2kb)"	"quadruplex"	"Zfp423"
"ENSMUSG00000045348.16"	"Promoter (1-2kb)"	"quadruplex"	"Nyap1"
"ENSMUSG00000045349.15"	"Promoter (2-3kb)"	"quadruplex"	"Sh2d5"
"ENSMUSG00000045440.4"	"Promoter (<=1kb)"	"quadruplex"	"Insm2"
"ENSMUSG00000045515.4"	"Promoter (1-2kb)"	"quadruplex"	"Pou3f3"
"ENSMUSG00000045518.8"	"Promoter (<=1kb)"	"quadruplex"	"Onecut3"
"ENSMUSG00000045532.5"	"Promoter (<=1kb)"	"quadruplex"	"C1ql1"
"ENSMUSG00000045539.3"	"Promoter (<=1kb)"	"quadruplex"	"Sprr3"
"ENSMUSG00000045584.4"	"Promoter (2-3kb)"	"quadruplex"	"Olfr610"
"ENSMUSG00000045589.7"	"Promoter (<=1kb)"	"quadruplex"	"Frrs1l"
"ENSMUSG00000045608.7"	"Promoter (1-2kb)"	"quadruplex"	"Dbx2"
"ENSMUSG00000045629.8"	"Promoter (<=1kb)"	"quadruplex"	"Sh3tc2"
"ENSMUSG00000045636.16"	"Promoter (<=1kb)"	"quadruplex"	"Mtus1"
"ENSMUSG00000045639.14"	"Promoter (<=1kb)"	"quadruplex"	"Zfp629"
"ENSMUSG00000045658.16"	"Promoter (<=1kb)"	"quadruplex"	"Pid1"
"ENSMUSG00000045659.18"	"Promoter (<=1kb)"	"quadruplex"	"Plekha7"
"ENSMUSG00000045667.14"	"Promoter (<=1kb)"	"quadruplex"	"Smtnl2"
"ENSMUSG00000045672.15"	"Promoter (<=1kb)"	"quadruplex"	"Col27a1"
"ENSMUSG00000045725.5"	"Promoter (<=1kb)"	"quadruplex"	"Prr15"
"ENSMUSG00000045733.7"	"Promoter (<=1kb)"	"quadruplex"	"Sprn"
"ENSMUSG00000045763.8"	"Promoter (<=1kb)"	"quadruplex"	"Basp1"
"ENSMUSG00000045815.4"	"Promoter (<=1kb)"	"quadruplex"	"1700101I19Rik"
"ENSMUSG00000045903.9"	"Promoter (<=1kb)"	"quadruplex"	"Npas4"
"ENSMUSG00000045912.9"	"Promoter (2-3kb)"	"quadruplex"	"C2cd4c"
"ENSMUSG00000045991.19"	"Promoter (<=1kb)"	"quadruplex"	"Onecut2"
"ENSMUSG00000045994.17"	"Promoter (<=1kb)"	"quadruplex"	"B3gat1"
"ENSMUSG00000046159.16"	"Promoter (<=1kb)"	"quadruplex"	"Chrm3"
"ENSMUSG00000046167.5"	"Promoter (<=1kb)"	"quadruplex"	"Gldn"
"ENSMUSG00000046178.3"	"Promoter (<=1kb)"	"quadruplex"	"Nxph1"
"ENSMUSG00000046204.14"	"Promoter (<=1kb)"	"quadruplex"	"Pnma2"
"ENSMUSG00000046215.3"	"Promoter (<=1kb)"	"quadruplex"	"Rprml"
"ENSMUSG00000046219.9"	"Promoter (<=1kb)"	"quadruplex"	"C230012O17Rik"
"ENSMUSG00000046269.17"	"Promoter (<=1kb)"	"quadruplex"	"Usp27x"
"ENSMUSG00000046280.9"	"Promoter (<=1kb)"	"quadruplex"	"She"
"ENSMUSG00000046287.7"	"Promoter (<=1kb)"	"quadruplex"	"Pnma3"
"ENSMUSG00000046321.8"	"Promoter (<=1kb)"	"quadruplex"	"Hs3st2"
"ENSMUSG00000046329.14"	"Promoter (<=1kb)"	"quadruplex"	"Slc25a23"
"ENSMUSG00000046341.5"	"Promoter (<=1kb)"	"quadruplex"	"Gm11223"
"ENSMUSG00000046352.7"	"Promoter (<=1kb)"	"quadruplex"	"Gjb2"
"ENSMUSG00000046378.11"	"Promoter (<=1kb)"	"quadruplex"	"Asphd1"
"ENSMUSG00000046402.10"	"Promoter (2-3kb)"	"quadruplex"	"Rbp1"
"ENSMUSG00000046413.14"	"Promoter (<=1kb)"	"quadruplex"	"Irx3os"
"ENSMUSG00000046415.11"	"Promoter (<=1kb)"	"quadruplex"	"B430212C06Rik"
"ENSMUSG00000046417.14"	"Promoter (<=1kb)"	"quadruplex"	"Lrrc75a"
"ENSMUSG00000046442.4"	"Promoter (<=1kb)"	"quadruplex"	"Ppm1e"
"ENSMUSG00000046447.3"	"Promoter (<=1kb)"	"quadruplex"	"Camk2n1"
"ENSMUSG00000046449.15"	"Promoter (1-2kb)"	"quadruplex"	"Nexmif"
"ENSMUSG00000046470.5"	"Promoter (<=1kb)"	"quadruplex"	"Sox18"
"ENSMUSG00000046486.4"	"Promoter (<=1kb)"	"quadruplex"	"Olfr231"
"ENSMUSG00000046493.5"	"Promoter (1-2kb)"	"quadruplex"	"Olfr1352"
"ENSMUSG00000046589.7"	"Promoter (<=1kb)"	"quadruplex"	"Lrrc8e"
"ENSMUSG00000046593.3"	"Promoter (<=1kb)"	"quadruplex"	"Tmem215"
"ENSMUSG00000046607.6"	"Promoter (<=1kb)"	"quadruplex"	"Hrk"
"ENSMUSG00000046613.19"	"Promoter (<=1kb)"	"quadruplex"	"Vwa5b2"
"ENSMUSG00000046650.4"	"Promoter (<=1kb)"	"quadruplex"	"Olfr1440"
"ENSMUSG00000046658.16"	"Promoter (1-2kb)"	"quadruplex"	"Zfp316"
"ENSMUSG00000046668.9"	"Promoter (<=1kb)"	"quadruplex"	"Cxxc5"
"ENSMUSG00000046699.14"	"Promoter (<=1kb)"	"quadruplex"	"Slitrk4"
"ENSMUSG00000046714.7"	"Promoter (1-2kb)"	"quadruplex"	"Foxc2"
"ENSMUSG00000046719.7"	"Promoter (1-2kb)"	"quadruplex"	"Nxph3"
"ENSMUSG00000046727.13"	"Promoter (<=1kb)"	"quadruplex"	"Cystm1"
"ENSMUSG00000046743.6"	"Promoter (1-2kb)"	"quadruplex"	"Fat4"
"ENSMUSG00000046750.17"	"Promoter (<=1kb)"	"quadruplex"	"Selenov"
"ENSMUSG00000046761.13"	"Promoter (2-3kb)"	"quadruplex"	"Fam83h"
"ENSMUSG00000046798.14"	"Promoter (<=1kb)"	"quadruplex"	"Cldn12"
"ENSMUSG00000046807.10"	"Promoter (2-3kb)"	"quadruplex"	"Lrrc75b"
"ENSMUSG00000046818.7"	"Promoter (<=1kb)"	"quadruplex"	"Ddit4l"
"ENSMUSG00000046822.14"	"Promoter (2-3kb)"	"quadruplex"	"Slc39a3"
"ENSMUSG00000046834.7"	"Promoter (1-2kb)"	"quadruplex"	"Krt1"
"ENSMUSG00000046844.6"	"Promoter (<=1kb)"	"quadruplex"	"Vat1l"
"ENSMUSG00000046908.5"	"Promoter (2-3kb)"	"quadruplex"	"Ltb4r1"
"ENSMUSG00000046997.5"	"Promoter (<=1kb)"	"quadruplex"	"Spsb4"
"ENSMUSG00000047013.15"	"Promoter (<=1kb)"	"quadruplex"	"Fbxo41"
"ENSMUSG00000047022.18"	"Promoter (<=1kb)"	"quadruplex"	"Mipol1"
"ENSMUSG00000047034.10"	"Promoter (2-3kb)"	"quadruplex"	"Ankrd33"
"ENSMUSG00000047085.14"	"Promoter (<=1kb)"	"quadruplex"	"Lrrc4b"
"ENSMUSG00000047117.13"	"Promoter (1-2kb)"	"quadruplex"	"Ankdd1b"
"ENSMUSG00000047129.11"	"Promoter (<=1kb)"	"quadruplex"	"1700113H08Rik"
"ENSMUSG00000047143.3"	"Promoter (<=1kb)"	"quadruplex"	"Dmrta2"
"ENSMUSG00000047155.13"	"Promoter (<=1kb)"	"quadruplex"	"Cyp4x1"
"ENSMUSG00000047168.6"	"Promoter (2-3kb)"	"quadruplex"	"Gm6684"
"ENSMUSG00000047181.12"	"Promoter (<=1kb)"	"quadruplex"	"Samd14"
"ENSMUSG00000047197.1"	"Promoter (<=1kb)"	"quadruplex"	"Gjd3"
"ENSMUSG00000047227.5"	"Promoter (<=1kb)"	"quadruplex"	"Gm527"
"ENSMUSG00000047242.14"	"Promoter (<=1kb)"	"quadruplex"	"Taf9b"
"ENSMUSG00000047344.9"	"Promoter (<=1kb)"	"quadruplex"	"Lancl3"
"ENSMUSG00000047361.16"	"Promoter (1-2kb)"	"quadruplex"	"Gm973"
"ENSMUSG00000047369.17"	"Promoter (<=1kb)"	"quadruplex"	"Dnah14"
"ENSMUSG00000047371.7"	"Promoter (<=1kb)"	"quadruplex"	"Zfp768"
"ENSMUSG00000047384.3"	"Promoter (<=1kb)"	"quadruplex"	"A730013G03Rik"
"ENSMUSG00000047388.10"	"Promoter (<=1kb)"	"quadruplex"	"Atmin"
"ENSMUSG00000047409.13"	"Promoter (<=1kb)"	"quadruplex"	"Ctdspl"
"ENSMUSG00000047414.6"	"Promoter (<=1kb)"	"quadruplex"	"Flrt2"
"ENSMUSG00000047428.14"	"Promoter (<=1kb)"	"quadruplex"	"Dlk2"
"ENSMUSG00000047485.6"	"Promoter (<=1kb)"	"quadruplex"	"Klhl34"
"ENSMUSG00000047495.15"	"Promoter (<=1kb)"	"quadruplex"	"Dlgap2"
"ENSMUSG00000047507.12"	"Promoter (<=1kb)"	"quadruplex"	"Baiap3"
"ENSMUSG00000047517.12"	"Promoter (1-2kb)"	"quadruplex"	"Dmbt1"
"ENSMUSG00000047586.4"	"Promoter (2-3kb)"	"quadruplex"	"Nccrp1"
"ENSMUSG00000047591.5"	"Promoter (1-2kb)"	"quadruplex"	"Mafa"
"ENSMUSG00000047632.11"	"Promoter (<=1kb)"	"quadruplex"	"Fgfbp3"
"ENSMUSG00000047642.15"	"Promoter (<=1kb)"	"quadruplex"	"D930020B18Rik"
"ENSMUSG00000047658.6"	"Promoter (<=1kb)"	"quadruplex"	"Gal3st3"
"ENSMUSG00000047712.8"	"Promoter (<=1kb)"	"quadruplex"	"Ust"
"ENSMUSG00000047746.14"	"Promoter (1-2kb)"	"quadruplex"	"Fbxo40"
