group	coordinates	miRNA (+ strand)	miRNA (- strand)	miRNA (intersection)	annotation	gene_info	cCRE (+-200bp slop)	LINE/LTR repeats (+-200bp slop)
sidd	chr3:91371101-91371244	miR-136, miR-203a, miR-329/362			Distal Intergenic	S100a7l2 (-)		LINE@L1Md_F2 (+), LINE@L1_Mus3 (+)
sidd	chr3:91413128-91413335	miR-1/206, miR-203a (2), miR-330, miR-340, miR-495	miR-129, miR-25/32/92/363/367		Distal Intergenic	S100a7l2 (-)		LINE@L1_Mus1 (+), LINE@L1VL4 (+)
sidd	chr3:91444225-91444369	miR-217, miR-425	miR-186, miR-203a		Distal Intergenic	S100a7l2 (-)		LINE@Lx (-)
sidd	chr3:91529991-91530143	miR-129	miR-101, miR-203a		Distal Intergenic	S100a7l2 (-)		LTR@RMER16A3 (-), LTR@ETnERV3-int (-), LINE@L1Md_T (-)
sidd	chr3:92024346-92024498	miR-186	miR-375		Promoter (<=1kb)	Mif-ps3 (+)		
sidd	chr3:92115636-92115790	miR-139, miR-142, miR-190, miR-214, miR-374			Promoter (2-3kb)	Gm43735 (+)		LTR@RMER17C (-)
sidd	chr3:92153557-92153750	miR-410	miR-23, miR-27, miR-653		Distal Intergenic	Lelp1 (-)	CTCF-only (CTCF-bound)@EM10E0736270	
sidd	chr3:92311029-92311181		miR-203a		Distal Intergenic	Sprr2b (+)		LINE@Lx5c (-), LINE@L1Md_T (-), LINE@L1Md_F2 (-)
sidd	chr3:92401224-92401378	miR-144, miR-154, miR-186, miR-340	miR-410		Distal Intergenic	Sprr2i (+)		LINE@L1_Mus1 (+), LTR@MTC (-)
sidd	chr3:92448750-92448901	miR-203a (2)	miR-136, miR-137		Distal Intergenic	Sprr3 (-)		LINE@L1_Mus4 (+), LTR@MLTR31D_MM (+)
sidd	chr3:92559431-92559646	miR-101, miR-383 (2), miR-455	miR-204/211, miR-431, miR-452		Distal Intergenic	Ivl (-)		LINE@L1_Mus4 (+), LINE@Lx8 (+)
sidd	chr3:92748131-92748290	miR-325	miR-203a (2)		Distal Intergenic	Lce1g (-)		LINE@L1_Mur2 (+), LINE@L1_Mus3 (-)
sidd	chr3:92890099-92890266	miR-141/200a, miR-203a (2)			Distal Intergenic	2310050C09Rik (-)		LINE@L1_Mus3 (+), LINE@Lx10 (-)
sidd	chr3:92975375-92975506	miR-421	miR-423		Distal Intergenic	Lce3e (+)		LINE@L1Md_F2 (+), LINE@L1Md_F2 (+)
sidd	chr3:93038644-93038755		miR-203a (2), miR-329/362		Distal Intergenic	Lce1m (-)		LTR@RLTR14-int (-), LTR@RMER20B (-), LINE@L1_Mus1 (-), LTR@RMER20B (-)
sidd	chr3:93038871-93039028	miR-653	miR-142		Distal Intergenic	Lce1m (-)		LTR@RMER20B (-), LINE@L1_Mus1 (-), LTR@RMER20B (-), LTR@RMER20B (-)
sidd	chr3:93043811-93043921	miR-203a (2)	miR-9		Distal Intergenic	Gm38040 (-)		LINE@L1_Mus3 (+), LINE@Lx2B (+)
sidd	chr3:93057855-93058001	miR-142, miR-203a	miR-223, miR-802		Distal Intergenic	Gm38040 (-)		LINE@L1_Mus1 (+)
sidd	chr3:93312930-93313057	miR-203a	miR-154, miR-670		Intron	Gm37913 (+)		LINE@L1Md_F2 (+)
sidd	chr3:93702724-93702858		miR-203a (2), miR-340		Distal Intergenic	Gm18433 (+)		LINE@L1_Mus2 (-), LINE@L1_Mus1 (-)
sidd	chr3:9380405-9380543	miR-1197, miR-204/211, miR-325	miR-186		Distal Intergenic	Gm22604 (+)		LINE@L1_Mur3 (+), LINE@Lx (-)
sidd	chr3:93816943-93817097	miR-129	miR-149, miR-186, miR-203a		Distal Intergenic	Tdpoz3 (+)		LINE@L1_Mur3 (+), LINE@L1_Mur3 (+), LINE@L1Md_F2 (-)
sidd	chr3:93851941-93852041		miR-455		Distal Intergenic	Gm37430 (+)		LTR@RLTR10B (+), LTR@MuRRS4-int (+)
sidd	chr3:9417121-9417290	miR-216b			Intron	C030034L19Rik (+)		LTR@MTA_Mm (-), LTR@MTA_Mm-int (-)
sidd	chr3:94268270-94268395		miR-186		Promoter (2-3kb)	Spopfm1 (+)		LINE@L1Md_T (+)
sidd	chr3:94399148-94399295	miR-149, miR-296, miR-9	miR-10, miR-185, miR-19		Promoter (<=1kb)	Lingo4 (+)	pELS (CTCF-bound)@EM10E0736463, pELS@EM10E0736464	
sidd	chr3:94757379-94757465	miR-383 (2)	miR-876		Promoter (<=1kb)	Gm15264 (-)	DNase-H3K4me3@EM10E0736581, DNase-H3K4me3@EM10E0736582	
sidd	chr3:95163929-95164032		miR-183, miR-96/1271		Promoter (<=1kb)	Sema6c (+)	PLS@EM10E0736792	
sidd	chr3:96232650-96232850	miR-182	miR-381, miR-488		Distal Intergenic	H3c15 (-)		LTR@MTC (-)
sidd	chr3:96309022-96309137	miR-203a, miR-28/708, miR-371 (290)	miR-670, miR-874		Distal Intergenic	Fcgr1 (-)		LTR@MTC (-), LINE@L1Md_A (+), LTR@MTC (-)
sidd	chr3:96334393-96334598	miR-133 (2), miR-653, miR-665	miR-124, miR-382		Distal Intergenic	Gm24830 (+)	dELS@EM10E0737441, dELS@EM10E0737442, dELS@EM10E0737443	
sidd	chr3:96418375-96418508	miR-431, miR-433, miR-496	miR-193, miR-653, miR-655		Distal Intergenic	Terc (-)	dELS@EM10E0737485, dELS@EM10E0737486, dELS (CTCF-bound)@EM10E0737487	LTR@MERV1_LTR (-), LTR@MURVY-LTR (-)
sidd	chr3:96501323-96501468	miR-25/32/92/363/367	miR-130/301/454, miR-17/20/93/106/519d, miR-377		Distal Intergenic	Gm22614 (+)	dELS@EM10E0737541, dELS@EM10E0737542	
sidd	chr3:9665415-9665578	miR-124, miR-154	miR-335, miR-490, miR-532		Distal Intergenic	Gm17806 (+)		LTR@RMER17C-int (+), LTR@RMER10B (-)
sidd	chr3:9665773-9665875	miR-758	miR-181, miR-26, miR-338, miR-411		Distal Intergenic	Gm17806 (+)	dELS@EM10E0724191	LTR@RMER10B (-)
sidd	chr3:97475383-97475531		miR-143		Distal Intergenic	Olfr1402 (-)		LINE@L1_Mur3 (+), LTR@MTC (-)
sidd	chr3:97499947-97500076	miR-486	miR-186, miR-203a (2)		Distal Intergenic	Chd1l (-)		LINE@L1Md_F2 (-), LINE@L1_Mus2 (-)
sidd	chr3:97863502-97863670	miR-203a (2), miR-224	miR-137		Intron	Pde4dip (-)		LINE@L1_Mus3 (+)
sidd	chr3:98176234-98176470	miR-186, miR-216a, miR-340, miR-421			Distal Intergenic	Gm9771 (-)		LINE@L1_Mur1 (+)
sidd	chr3:9856770-9856936	miR-155	miR-101, miR-144, miR-448		Distal Intergenic	Pag1 (-)		LTR@RLTR20C1_MM (+), LTR@RLTR20C1_MM (+), LINE@L1_Mus2 (+)
sidd	chr3:9856978-9857140	miR-188, miR-204/211, miR-330, miR-448, miR-539	miR-1251, miR-221/222, miR-496		Distal Intergenic	Pag1 (-)		LINE@L1_Mus2 (+)
sidd	chr3:9857351-9857496	miR-186, miR-203a (2), miR-421	miR-129		Distal Intergenic	Pag1 (-)		LINE@L1_Mus2 (+)
sidd	chr3:98597472-98597584		miR-15/16/195/424/497		Intron	Gm10681 (-)		LTR@IAPEY2_LTR (+), LTR@RMER6A (-)
sidd	chr3:98662426-98662577		miR-129, miR-154, miR-182		Intron	Gm12399 (-)		LINE@L1Md_Gf (-), LINE@L1_Mus2 (-)
sidd	chr3:98691054-98691201		miR-186, miR-24, miR-340		Promoter (2-3kb)	Gm12400 (-)		LINE@L1Md_F3 (-)
sidd	chr3:98702036-98702230	miR-128, miR-421, miR-653	miR-409, miR-493, miR-758		Intron	Gm12400 (-)		LINE@L1Md_F2 (+)
sidd	chr3:98702250-98702451		miR-325, miR-448		Intron	Gm12400 (-)		LINE@L1Md_F2 (+)
sidd	chr3:9873060-9873198	miR-143, miR-218, miR-324, miR-876	miR-330		Distal Intergenic	Gm6236 (+)		LINE@L1_Mus1 (-)
sidd	chr3:98770123-98770267	miR-203a (2), miR-381	miR-23		Distal Intergenic	Hsd3b3 (-)		LINE@L1_Mus3 (+), LTR@MYSERV16_I-int (+)
sidd	chr3:99100235-99100365	miR-142, miR-153, miR-203a (3)	miR-216b		Promoter (<=1kb)	Gm12441 (-)		LINE@Lx2B (+)
sidd	chr3:9934242-9934374	miR-124, miR-142, miR-203a (2), miR-340	miR-188, miR-204/211		Distal Intergenic	Gm6236 (+)		LINE@L1_Mus3 (+), LINE@Lx3C (+)
sidd	chr3:99364818-99364916	miR-103/107, miR-142, miR-340			Distal Intergenic	Tbx15 (+)		LINE@L1Md_T (-)
sidd	chr3:99464546-99464750		miR-15/16/195/424/497, miR-381		Promoter (<=1kb)	Gm12449 (-)		LINE@Lx7 (+), LINE@L1_Mus1 (-)
sidd	chr3:99497507-99497655	miR-186, miR-203a (2), miR-495 (2)	miR-188, miR-204/211		Promoter (2-3kb)	M6pr-ps (+)		LINE@L1_Mus4 (+)
sidd	chr3:99508304-99508469	miR-340			Distal Intergenic	M6pr-ps (+)		LTR@RLTR10-int (-), LTR@RLTR10-int (-)
sidd	chr3:99672838-99672984	miR-200bc/429, miR-203a	miR-185, miR-670		Distal Intergenic	Gm22505 (-)		LINE@L1Md_F3 (+), LINE@Lx5c (+), LINE@Lx5c (+)
sidd	chr3:9969134-9969370	miR-24, miR-329/362, miR-448, miR-493	miR-194, miR-216a, miR-379, miR-493	miR-493	Promoter (2-3kb)	Gm17877 (-)		LINE@Lx9 (-)
sidd	chr3:99980893-99981042	miR-26	miR-489		Intron	Rpl36-ps7 (+)	CTCF-only (CTCF-bound)@EM10E0738491	
sidd	chr3:99999756-99999925	miR-155	miR-186 (2)		Intron	Rpl36-ps7 (+)		LINE@L1_Mus2 (-), LINE@Lx (-), LINE@L1VL4 (-)
sidd	chr4:100087211-100087347	miR-203a			Distal Intergenic	Ror1 (+)		LINE@L1Md_F2 (+), LTR@MTC (+), LTR@ORR1B1 (-)
sidd	chr4:100343652-100343771	miR-670	miR-203a, miR-665		Intron	Gm12706 (-)		LTR@MTD (-), LINE@L1Md_F2 (-)
sidd	chr4:100753698-100753863	miR-194, miR-342, miR-377, miR-802			Distal Intergenic	Cachd1 (+)		LTR@ORR1A4 (-)
sidd	chr4:101268213-101268414		miR-186, miR-203a (2)		Promoter (2-3kb)	Gm25124 (+)		LTR@MTD (+), LINE@Lx2 (-), LINE@Lx2 (-)
sidd	chr4:10145804-10146047	miR-532, miR-544a	miR-101, miR-142, miR-17/20/93/106/519d, miR-181, miR-186, miR-448		Distal Intergenic	Gm11835 (+)		
sidd	chr4:101536179-101536354	miR-141/200a, miR-9	miR-653		Intron	Dnajc6 (+)		LTR@MTD (-)
sidd	chr4:101841915-101842063	miR-186, miR-203a, miR-338	miR-155, miR-21/590, miR-543, miR-670		Promoter (1-2kb)	B020004J07Rik (-)		LINE@L1Md_F2 (+), LTR@ORR1A2-int (+)
sidd	chr4:101896855-101896957	miR-133, miR-9			Promoter (<=1kb)	Gm12792 (-)		LTR@RLTR17B_Mm (-)
sidd	chr4:102244033-102244185	miR-369, miR-374, miR-452, miR-655			Intron	Pde4b (+)		LINE@Lx (-), LINE@Lx (+)
sidd	chr4:103027155-103027284	miR-532	miR-186, miR-203a (2)		Promoter (<=1kb)	Insl5 (-)		LINE@L1_Mus1 (-)
sidd	chr4:103233772-103234001	miR-142, miR-154, miR-342, miR-369, miR-374	miR-374	miR-374	Intron	Gm44037 (+)		LTR@RLTR17D_Mm (-), LTR@MLT1A0 (-)
sidd	chr4:103336326-103336466	miR-203a, miR-670	miR-203a	miR-203a	Intron	Oma1 (+)		LTR@ORR1D2 (-), LINE@L1Md_T (-)
sidd	chr4:10335925-10336118	miR-1/206, miR-202			Distal Intergenic	Gm11814 (-)		LINE@L1_Mus2 (+)
sidd	chr4:10347558-10347769	miR-122, miR-203a (2), miR-448			Distal Intergenic	Gm11814 (-)		LINE@L1_Mus2 (+)
sidd	chr4:103538051-103538188	miR-486	miR-133 (2), miR-186		Distal Intergenic	Gm12716 (-)		LTR@ORR1D1 (-), LINE@L1_Mus1 (-), LINE@L1_Mus3 (+)
sidd	chr4:10389789-10389933	miR-134, miR-203a (2)	let-7/miR-98, miR-132/212, miR-154, miR-196, miR-379		Distal Intergenic	Gm11814 (-)		LINE@L1_Mus3 (+)
sidd	chr4:104760612-104760770	miR-483, miR-486, miR-495, miR-9	miR-218, miR-329/362		Distal Intergenic	C8b (+)	dELS (CTCF-bound)@EM10E0763038	LTR@MTC (-), LTR@MTC (+)
sidd	chr4:104816157-104816347	miR-151a, miR-193, miR-330, miR-490, miR-495	miR-142, miR-23, miR-369, miR-421, miR-655		3' UTR	C8b (+)		LTR@MTD (+)
sidd	chr4:105011061-105011217	miR-203a (2), miR-323a, miR-374			Intron	Gm12721 (-)		LINE@Lx (+), LINE@L1_Rod (+)
sidd	chr4:105020077-105020289	miR-223, miR-361	miR-224		Distal Intergenic	Gm12721 (-)		LINE@Lx (+), LINE@L1M2 (+)
sidd	chr4:105052229-105052441	miR-369, miR-374, miR-544a	miR-203a, miR-369, miR-374	miR-369, miR-374	Intron	Prkaa2 (-)		LTR@MTB (-)
sidd	chr4:105573299-105573434	miR-203a, miR-655	miR-670		Distal Intergenic	Gm12726 (+)		LINE@L1Md_F2 (+)
sidd	chr4:106060293-106060523	miR-670	miR-140, miR-203a		Distal Intergenic	Gm12727 (+)		LINE@L1_Mur2 (+)
sidd	chr4:106166114-106166276	miR-183, miR-186, miR-187	miR-448		Distal Intergenic	Hspd1-ps4 (-)		LTR@MTEa (+), LTR@MTE-int (+), LTR@ORR1D1 (-)
sidd	chr4:106257423-106257608	miR-136, miR-216a, miR-374	miR-361		Promoter (<=1kb)	Gm12731 (+)		LINE@Lx (+)
sidd	chr4:106259727-106259947	miR-34/449, miR-665			Promoter (2-3kb)	Gm12731 (+)		LINE@Lx4A (+), LINE@Lx7 (-)
sidd	chr4:106703862-106703984	miR-190, miR-329/362, miR-376c, miR-532	miR-323a, miR-361		Intron	Mroh7 (-)		
sidd	chr4:107615238-107615440	miR-1306, miR-145 (2), miR-204/211, miR-411 (2)	miR-216a, miR-346, miR-483, miR-544a		Promoter (<=1kb)	Glis1 (+)		
sidd	chr4:107624234-107624365	miR-141/200a, miR-22, miR-361	miR-186		Intron	Glis1 (+)		
sidd	chr4:107691545-107691679	miR-374	miR-216a, miR-488		Promoter (1-2kb)	1700047F07Rik (+)		LINE@Lx9 (-), LINE@Lx9 (-)
sidd	chr4:107839764-107839990	miR-323a	miR-532, miR-873		Intron	Lrp8 (+)		LINE@L1MA4A (-), LTR@MLT1A0 (-)
sidd	chr4:107865496-107865639	miR-129	miR-203a (2), miR-383		Intron	Lrp8 (+)		LTR@MTC (-), LINE@L1_Mus1 (-)
sidd	chr4:10791571-10791715	miR-128	miR-135, miR-758		Intron	1700123O12Rik (-)		LTR@ORR1A2 (-)
sidd	chr4:107990133-107990340	miR-374	miR-133, miR-203a, miR-216a, miR-485, miR-495 (2)		Intron	Slc1a7 (+)		LTR@RMER4B (-), LTR@RMER4B (-)
sidd	chr4:108145888-108146050	miR-378a	miR-186, miR-193, miR-455, miR-495 (5)		Promoter (<=1kb)	Scp2 (-)		LTR@RLTR9E (-), LTR@ETnERV2-int (-), LTR@RLTR4_Mm (-)
sidd	chr4:10843752-10843908	miR-1197, miR-496, miR-653	miR-203a (2)		Promoter (1-2kb)	Mir3471-1 (-)		LTR@MTE2a (+), LINE@L1_Mus1 (-)
sidd	chr4:10886032-10886240	miR-30	miR-188, miR-376c, miR-411		Intron	2610301B20Rik (+)		LTR@RLTR1B (-), LTR@RLTR1B-int (-)
sidd	chr4:108976687-108976816	miR-339	miR-122, miR-379		Distal Intergenic	8030443G20Rik (-)	CTCF-only (CTCF-bound)@EM10E0764473	LINE@Lx3A (-)
sidd	chr4:110066976-110067083	miR-129			Distal Intergenic	Dmrta2 (+)		LINE@L1MC5 (-), LTR@ORR1A2 (-)
sidd	chr4:110067296-110067465	miR-182, miR-21/590, miR-23 (2), miR-495 (3)	miR-129, miR-216b		Distal Intergenic	Dmrta2 (+)		LTR@ORR1A2 (-), LINE@L1MC5 (-)
sidd	chr4:110380229-110380345		miR-186, miR-340		Distal Intergenic	Agbl4 (+)		LINE@Lx4A (-)
sidd	chr4:110455949-110456096	miR-103/107, miR-15/16/195/424/497, miR-411	miR-203a (2)		Intron	Gm12806 (+)		LINE@L1_Mus3 (-)
sidd	chr4:110531027-110531177	miR-203a (2), miR-409	miR-139, miR-142, miR-582		Intron	Gm12807 (-)		LINE@Lx2 (-)
sidd	chr4:110755572-110755797	miR-23 (2), miR-374	miR-190, miR-376ab, miR-499		Intron	Gm12807 (-)		LINE@Lx3C (-), LTR@MLT1A1 (+)
sidd	chr4:110767580-110767720	miR-185, miR-374	miR-154, miR-216b		Intron	Gm12807 (-)		LINE@L1Md_T (-), LINE@Lx4B (-)
sidd	chr4:110815072-110815212	miR-203a (2)	miR-142		Intron	Gm12807 (-)		LINE@L1_Mus3 (+)
sidd	chr4:110876406-110876580	miR-1306	miR-374 (2), miR-410		Intron	Agbl4 (+)		LINE@L2a (+), LTR@IAPEY_LTR (-)
sidd	chr4:111075414-111075567	miR-142, miR-148/152, miR-329/362, miR-340	miR-27		Intron	Agbl4 (+)		LTR@ORR1A0 (+)
sidd	chr4:111289877-111290098	miR-140, miR-203a (2), miR-382, miR-493			Promoter (<=1kb)	Gm12804 (+)		LINE@L1_Mus2 (+), LINE@L1ME1 (-)
sidd	chr4:111345210-111345355	miR-873	miR-203a (2), miR-205, miR-433		Intron	Gm12805 (-)		LTR@ORR1D2 (-), LINE@L1_Mus3 (-)
sidd	chr4:111395201-111395322	miR-136, miR-203a (2), miR-411			Intron	Bend5 (+)		LINE@L1_Mus4 (+)
sidd	chr4:111544012-111544138	miR-340	miR-325, miR-340, miR-342, miR-377, miR-382	miR-340	Intron	Agbl4 (+)		LTR@RLTR26_Mus (+), LINE@L1Md_F2 (-)
sidd	chr4:111679247-111679378	miR-493	miR-203a (2), miR-493	miR-493	Distal Intergenic	Spata6 (+)		LINE@Lx5c (-), LINE@L1_Mus1 (-)
sidd	chr4:111699791-111699966	miR-203a (2)			Distal Intergenic	Spata6 (+)		LINE@L1_Mus2 (+), LINE@Lx8 (+)
sidd	chr4:111714696-111714878	miR-411			Distal Intergenic	Spata6 (+)		LTR@RLTR21 (+)
sidd	chr4:111912299-111912386		miR-122, miR-33		Distal Intergenic	Skint8 (+)		LINE@Lx9 (+), LINE@Lx3A (-)
sidd	chr4:111995131-111995287	miR-224	miR-371 (290)		Distal Intergenic	Gm25844 (-)		LINE@L1_Mus4 (-)
sidd	chr4:112029750-112029861		miR-154		Downstream (<=300bp)	Skint1 (+)		LINE@Lx5c (+), LINE@L1_Mus2 (-)
sidd	chr4:112074187-112074315	miR-193	miR-374		Promoter (1-2kb)	Skint4 (+)		LTR@ORR1A2 (-), LINE@L1_Mus2 (-)
sidd	chr4:112096833-112096970	miR-330	miR-203a (2), miR-299, miR-495		Intron	Skint4 (+)		LINE@Lx2 (-), LINE@L1Md_A (-), LINE@Lx2 (-)
sidd	chr4:112121536-112121730	miR-409, miR-411	miR-381, miR-505		Promoter (<=1kb)	Gm12820 (-)		LINE@L1_Mus3 (-)
sidd	chr4:112128015-112128177		miR-203a (2), miR-369, miR-374		Intron	Gm12820 (-)		LTR@RMER4A (+), LINE@L1_Mus1 (-), LTR@RMER4A (+)
sidd	chr4:112167997-112168133	miR-146, miR-203a (2)	miR-494		3' UTR	Gm12815 (-)		LINE@Lx (+), LINE@Lx5c (+), LINE@Lx8b (+)
sidd	chr4:112180926-112181085	miR-151a, miR-26, miR-340	miR-188		Distal Intergenic	Gm12815 (-)		LINE@L1_Mus3 (+)
sidd	chr4:112321649-112321779	miR-653	miR-140		Distal Intergenic	Skint3 (+)		LINE@Lx (+), LINE@Lx (+), LINE@L1_Mus4 (-)
sidd	chr4:112351393-112351518		miR-374, miR-381		Distal Intergenic	Skint9 (-)		LTR@ERVB7_1-LTR_MM (-)
sidd	chr4:112359497-112359641	miR-186, miR-381	miR-433		Distal Intergenic	Skint9 (-)		LINE@MusHAL1 (+), LTR@RLTR10 (+)
sidd	chr4:112410606-112410755	miR-1/206, miR-147, miR-203a (2), miR-374			Intron	Skint9 (-)		LINE@Lx5b (+), LINE@L1Md_F2 (+)
sidd	chr4:112524295-112524496	miR-186	miR-26, miR-7		Distal Intergenic	Gm12819 (+)		LINE@L1Md_F2 (+)
sidd	chr4:112926463-112926641	miR-144, miR-23, miR-27, miR-874	miR-133, miR-329/362, miR-425		Promoter (2-3kb)	Gm12823 (+)		LTR@MERVL-int (+)
sidd	chr4:113043646-113043764	miR-141/200a, miR-193, miR-505	miR-374, miR-760		Intron	Gm12818 (-)		LINE@L1_Mus3 (-), LTR@RMER3D-int (+), LTR@RMER3D-int (+)
sidd	chr4:113120336-113120503	miR-140	miR-186, miR-203a, miR-204/211, miR-655		Intron	Gm12818 (-)		LTR@MurERV4-int (-), LINE@L1_Mus3 (+)
sidd	chr4:113270722-113270879		miR-203a (2)		Intron	Skint6 (-)		LINE@Lx (+), LINE@L1_Mus4 (-)
sidd	chr4:113532814-113532952		miR-132/212, miR-140, miR-376c, miR-873		Intron	Gm12813 (+)		LINE@L1Md_T (-)
sidd	chr4:113799313-113799453	miR-383 (2), miR-494, miR-653	miR-124, miR-204/211		Intron	Skint5 (-)		LTR@RMER17A2 (+), LTR@BGLII (+)
sidd	chr4:113951564-113951718	miR-448	miR-448	miR-448	Intron	Skint5 (-)		LINE@L1_Mus2 (+), LINE@L1_Mus2 (+)
sidd	chr4:113954047-113954228	miR-203a	miR-204/211, miR-205, miR-340		Intron	Skint5 (-)		LINE@L1_Mus2 (+), LTR@MYSERV6-int (+)
sidd	chr4:113992965-113993101	miR-495	miR-329/362, miR-338, miR-876		Intron	Skint5 (-)		LINE@Lx7 (+)
sidd	chr4:113998865-113999035	miR-203a (2), miR-216a, miR-421	miR-129 (2), miR-203a	miR-203a	Promoter (<=1kb)	Skint5 (-)		LINE@L1_Mus1 (+)
sidd	chr4:114094280-114094483		miR-325, miR-382, miR-494, miR-653		Promoter (2-3kb)	Gm12825 (-)		LTR@MTA_Mm (-), LINE@Lx2A1 (+), LTR@IAP1-MM_LTR (+)
sidd	chr4:114108954-114109091	miR-129	miR-376ab		Distal Intergenic	Gm12825 (-)		LINE@L1_Mur2 (+), LINE@L1VL2 (-)
sidd	chr4:114174338-114174532	miR-216b	miR-26		Intron	Gm15741 (-)		LINE@Lx3_Mus (-), LINE@L1Md_T (+)
sidd	chr4:114207758-114207879		miR-203a, miR-23		Intron	Gm15741 (-)		LINE@L1_Mus3 (+), LINE@L1Md_F2 (-)
sidd	chr4:114338242-114338427	miR-223, miR-411, miR-582	miR-154, miR-410, miR-411, miR-532	miR-411	Distal Intergenic	Trabd2b (+)		LTR@MTA_Mm (-)
sidd	chr4:114340940-114341077		miR-30, miR-409		Distal Intergenic	Trabd2b (+)		LINE@Lx3_Mus (-)
sidd	chr4:114725229-114725340	miR-188, miR-299, miR-873	miR-181		Distal Intergenic	Gm12829 (+)		LINE@Lx2B2 (-)
sidd	chr4:114930427-114930580	miR-203a (2), miR-216b (2)	miR-371 (290)		Distal Intergenic	Foxe3 (-)		LINE@L1_Mus1 (+)
sidd	chr4:115143447-115143618	miR-200bc/429	miR-146, miR-455, miR-488, miR-653		Intron	Cyp4x1 (-)		LINE@L1Md_A (+)
sidd	chr4:115283470-115283592	miR-135, miR-203a (2)			Distal Intergenic	Cyp4a12a (+)		LINE@L1_Mus1 (+), LTR@RLTR26C_MM (+), LINE@L1_Mus1 (+)
sidd	chr4:115361272-115361429	miR-23	miR-186, miR-216b		Intron	Cyp4a30-ps (+)		LINE@L1_Mus3 (-)
sidd	chr4:115417605-115417757	miR-129, miR-338	miR-135, miR-186, miR-203a		Promoter (1-2kb)	Gm12837 (-)		LINE@Lx6 (-), LINE@L1_Mus4 (-)
sidd	chr4:115453345-115453590	miR-203a	miR-204/211		Promoter (<=1kb)	Gm12838 (-)		LINE@L1_Mus3 (+), LINE@L3 (-)
sidd	chr4:115478586-115478716	miR-203a (2), miR-582	miR-655, miR-670		Promoter (2-3kb)	Gm12833 (+)		LINE@L1_Mus4 (+)
sidd	chr4:115548824-115548998	miR-128, miR-130/301/454, miR-148/152, miR-27	miR-25/32/92/363/367		Distal Intergenic	Cyp4b1-ps1 (-)		LINE@L1_Mus2 (+), LINE@L1M3 (+)
sidd	chr4:115583583-115583761	miR-410	miR-142, miR-496		Promoter (<=1kb)	Cyp4b1-ps2 (-)		LINE@Lx3_Mus (+), LINE@L1Md_F2 (+)
sidd	chr4:116348265-116348418	miR-369, miR-655			Intron	Mast2 (-)		LINE@L1MCa (+), LINE@Lx (+)
sidd	chr4:117304080-117304195	miR-182	miR-450a, miR-873		Intron	Rnf220 (-)	dELS@EM10E0765882, dELS@EM10E0765883	
sidd	chr4:117330447-117330563	miR-29	miR-129, miR-138, miR-331, miR-365		Intron	Rnf220 (-)		
sidd	chr4:117495621-117495779	miR-124			Promoter (<=1kb)	Rnf220 (-)	pELS@EM10E0765984, pELS@EM10E0765985	LINE@L1MEg (+)
sidd	chr4:117880492-117880729	miR-183, miR-188, miR-342, miR-377	miR-1/206, miR-135, miR-376c, miR-409, miR-455, miR-493 (2)		Promoter (1-2kb)	B4galt2 (-)		
sidd	chr4:11789678-11789827	miR-129, miR-325, miR-496	miR-140, miR-146		Intron	Cdh17 (+)		LINE@L1Md_F2 (-)
sidd	chr4:117926236-117926323		miR-328		3' UTR	Artn (-)	dELS@EM10E0766149	
sidd	chr4:118208912-118209040		miR-331		Promoter (1-2kb)	Mir7226 (-)		
sidd	chr4:118231238-118231415	miR-24, miR-486	miR-140, miR-330		Promoter (<=1kb)	Ptprf (-)		
sidd	chr4:118245243-118245417	miR-143	miR-139, miR-383, miR-582		Intron	Ptprf (-)		
sidd	chr4:11825815-11826006	miR-200bc/429, miR-369, miR-452 (2), miR-495 (2)	miR-144, miR-411, miR-653		Distal Intergenic	Cdh17 (+)		LTR@ORR1A0 (-), LINE@L1MEc (+), LTR@MLT2B1 (+)
sidd	chr4:118261290-118261429	miR-140, miR-346, miR-486	miR-133 (2), miR-423		Intron	Ptprf (-)	dELS@EM10E0766321, dELS (CTCF-bound)@EM10E0766322	
sidd	chr4:118262632-118262779	miR-214, miR-532			Intron	Ptprf (-)	dELS@EM10E0766325	
sidd	chr4:118262956-118263044	miR-129	miR-134, miR-423		Intron	Ptprf (-)	dELS@EM10E0766325	LINE@L2 (+)
sidd	chr4:118743725-118743895	miR-129, miR-182, miR-31	miR-186		Distal Intergenic	Olfr1339 (+)		LTR@MMERVK9C_I-int (+)
sidd	chr4:118747180-118747320	miR-140			Distal Intergenic	Olfr1338 (-)		LTR@RLTR9D (+), LINE@Lx7 (-)
sidd	chr4:118882160-118882319	miR-186	miR-33		Distal Intergenic	Olfr1330 (+)		LINE@L1_Mus2 (+), LINE@L1_Mus2 (+)
sidd	chr4:118908907-118909060	miR-203a (2)	miR-181, miR-202, miR-543		Distal Intergenic	Olfr1329 (-)		LINE@Lx (+), LINE@Lx (+)
sidd	chr4:11908482-11908626	miR-135, miR-330, miR-365	miR-155		Distal Intergenic	Gm22477 (+)		LINE@L1_Mus1 (-)
sidd	chr4:119248297-119248424	miR-140, miR-186, miR-503	miR-495, miR-9		Promoter (1-2kb)	P3h1 (+)	dELS@EM10E0766686	
sidd	chr4:11942234-11942391	miR-376c, miR-411, miR-875	miR-142, miR-181, miR-21/590		Distal Intergenic	Gm25002 (+)		LTR@RMER17C (+), LINE@Lx8 (+)
