Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature
g4	chr2:28918082-28918103	Barhl1	-	Promoter (1-2kb)
g4	chr2:29194714-29194735	Ntng2	-	3' UTR
g4	chr2:29253482-29253526	6530402F18Rik	-	Promoter (<=1kb)
g4	chr2:29757770-29757802	Gm13547	+	Promoter (1-2kb)
g4	chr2:30469904-30469925	Ier5l	-	Distal Intergenic
g4	chr2:30472746-30472780	Ier5l	-	Promoter (1-2kb)
g4	chr2:30474914-30474942	Ier5l	-	Promoter (<=1kb)
g4	chr2:30707693-30707718	Gm14488	-	Distal Intergenic
g4	chr2:30719217-30719258	Gm14488	-	Promoter (<=1kb)
g4	chr2:30722255-30722278	Mir3089	+	Promoter (1-2kb)
g4	chr2:30725050-30725084	Mir3089	+	Distal Intergenic
g4	chr2:30725188-30725211	Mir3089	+	Distal Intergenic
g4	chr2:30725913-30725956	Mir3089	+	Distal Intergenic
g4	chr2:30795504-30795546	1700001O22Rik	-	Promoter (1-2kb)
g4	chr2:30795862-30795891	1700001O22Rik	-	Promoter (<=1kb)
g4	chr2:30845696-30845719	Prrx2	+	Promoter (<=1kb)
g4	chr2:30845997-30846025	Prrx2	+	Promoter (<=1kb)
g4	chr2:30903055-30903070	Ptges	-	Promoter (<=1kb)
g4	chr2:30903330-30903363	Ptges	-	Promoter (<=1kb)
g4	chr2:31245795-31245820	Ncs1	+	Promoter (<=1kb)
g4	chr2:31246061-31246080	Ncs1	+	Promoter (<=1kb)
g4	chr2:31246100-31246124	Ncs1	+	Promoter (<=1kb)
g4	chr2:31246251-31246277	Ncs1	+	Promoter (<=1kb)
g4	chr2:31246293-31246325	Ncs1	+	Promoter (<=1kb)
g4	chr2:31274910-31274955	Ncs1	+	Intron
g4	chr2:31274993-31275042	Ncs1	+	Intron
g4	chr2:31314117-31314139	Hmcn2	+	Promoter (<=1kb)
g4	chr2:31361078-31361121	Hmcn2	+	Intron
g4	chr2:31380205-31380234	Hmcn2	+	Exon
g4	chr2:31407652-31407679	Hmcn2	+	Intron
g4	chr2:31419986-31420015	Hmcn2	+	Intron
g4	chr2:31425287-31425310	Hmcn2	+	Intron
g4	chr2:31433523-31433553	Hmcn2	+	Intron
g4	chr2:31462407-31462430	Hmcn2	+	Distal Intergenic
g4	chr2:31462447-31462518	Ass1	+	Distal Intergenic
g4	chr2:31635075-31635121	Prdm12	+	Exon
g4	chr2:31635831-31635855	Prdm12	+	Exon
g4	chr2:31636158-31636176	Prdm12	+	Exon
g4	chr2:31636696-31636718	Prdm12	+	Exon
g4	chr2:31637991-31638028	Prdm12	+	Promoter (2-3kb)
g4	chr2:31639420-31639440	Prdm12	+	Promoter (<=1kb)
g4	chr2:31639793-31639819	Prdm12	+	Promoter (<=1kb)
g4	chr2:31640390-31640420	Gm13425	-	Promoter (<=1kb)
g4	chr2:31823405-31823438	Qrfp	-	Intron
g4	chr2:31824208-31824229	Qrfp	-	Intron
g4	chr2:31837894-31837915	Fibcd1	-	Intron
g4	chr2:31845992-31846018	Fibcd1	-	Promoter (<=1kb)
g4	chr2:32069336-32069355	Gm16534	-	Exon
g4	chr2:32084063-32084080	Fam78a	-	Promoter (<=1kb)
g4	chr2:32084377-32084409	Fam78a	-	Promoter (<=1kb)
g4	chr2:32088981-32088998	Fam78a	-	Distal Intergenic
g4	chr2:32312141-32312196	Dnm1	-	Promoter (<=1kb)
g4	chr2:32312281-32312307	Dnm1	-	Promoter (<=1kb)
g4	chr2:32312404-32312434	Dnm1	-	Promoter (<=1kb)
g4	chr2:32312618-32312642	Dnm1	-	Promoter (<=1kb)
g4	chr2:32312635-32312670	Dnm1	-	Promoter (<=1kb)
g4	chr2:32318253-32318299	Gm23363	+	Promoter (<=1kb)
g4	chr2:32318360-32318390	Mir199b	+	Promoter (<=1kb)
g4	chr2:32318630-32318668	Mir199b	+	Promoter (<=1kb)
g4	chr2:32318754-32318775	Mir199b	+	Promoter (<=1kb)
g4	chr2:32625371-32625394	Ak1	+	Promoter (<=1kb)
g4	chr2:32646853-32646899	Eng	+	Promoter (<=1kb)
g4	chr2:32741425-32741453	Sh2d3c	+	Promoter (<=1kb)
g4	chr2:32741502-32741534	Sh2d3c	+	Promoter (<=1kb)
g4	chr2:32846471-32846492	Gm13524	+	Promoter (<=1kb)
g4	chr2:32846532-32846555	Gm13524	+	Promoter (<=1kb)
g4	chr2:32922817-32922850	Fam129b	+	Promoter (1-2kb)
g4	chr2:33130540-33130563	Garnl3	-	Promoter (<=1kb)
g4	chr2:33130605-33130627	Garnl3	-	Promoter (<=1kb)
g4	chr2:33210831-33210864	Gm23546	-	Promoter (1-2kb)
g4	chr2:33370806-33370837	Ralgps1	-	Promoter (<=1kb)
g4	chr2:33544225-33544270	Gm13530	+	Distal Intergenic
g4	chr2:33547308-33547332	Gm13530	+	Distal Intergenic
g4	chr2:33565014-33565052	Gm38011	+	Intron
g4	chr2:33565292-33565319	Gm38011	+	Intron
g4	chr2:33569560-33569584	Gm38011	+	Intron
g4	chr2:33616965-33616994	Gm38011	+	Promoter (2-3kb)
g4	chr2:33640121-33640144	Lmx1b	-	Promoter (<=1kb)
g4	chr2:33640456-33640480	Lmx1b	-	Promoter (<=1kb)
g4	chr2:33640939-33640968	C130021I20Rik	+	Promoter (<=1kb)
g4	chr2:33640977-33640995	C130021I20Rik	+	Promoter (<=1kb)
g4	chr2:33641673-33641698	C130021I20Rik	+	Promoter (<=1kb)
g4	chr2:33642430-33642459	C130021I20Rik	+	Promoter (1-2kb)
g4	chr2:33643445-33643481	C130021I20Rik	+	Promoter (2-3kb)
g4	chr2:33727295-33727328	9430024E24Rik	-	Distal Intergenic
g4	chr2:33733470-33733487	9430024E24Rik	-	Exon
g4	chr2:33736256-33736284	9430024E24Rik	-	Intron
g4	chr2:33736431-33736453	9430024E24Rik	-	Intron
g4	chr2:33887270-33887301	Mvb12b	-	Promoter (<=1kb)
g4	chr2:33887399-33887428	Mvb12b	-	Promoter (<=1kb)
g4	chr2:33887545-33887569	Mvb12b	-	Promoter (<=1kb)
g4	chr2:33887603-33887638	Mvb12b	-	Promoter (<=1kb)
g4	chr2:33977620-33977649	Gm13404	+	Promoter (<=1kb)
g4	chr2:33977870-33977908	Gm13404	+	Promoter (<=1kb)
g4	chr2:34040244-34040275	Gm13404	+	Intron
g4	chr2:34145808-34145843	Gm38389	-	Distal Intergenic
g4	chr2:34145908-34145935	Gm38389	-	Distal Intergenic
g4	chr2:34371504-34371527	Pbx3	-	Promoter (<=1kb)
g4	chr2:34668757-34668780	Gapvd1	-	Distal Intergenic
g4	chr2:34918723-34918745	Gm24905	+	Promoter (2-3kb)
g4	chr2:35084973-35084997	AI182371	-	Intron
g4	chr2:35282742-35282775	Gsn	+	Promoter (<=1kb)
g4	chr2:35384033-35384060	4930402F06Rik	-	Intron
g4	chr2:35558753-35558805	Gm13446	-	Promoter (<=1kb)
g4	chr2:35582734-35582769	Dab2ip	+	Promoter (<=1kb)
g4	chr2:35621931-35621956	Dab2ip	+	Promoter (<=1kb)
g4	chr2:35622293-35622327	Dab2ip	+	Promoter (<=1kb)
g4	chr2:35661181-35661204	Dab2ip	+	Promoter (<=1kb)
g4	chr2:35661296-35661318	Dab2ip	+	Promoter (<=1kb)
g4	chr2:35662060-35662093	Dab2ip	+	Promoter (<=1kb)
g4	chr2:35662799-35662824	Dab2ip	+	Promoter (1-2kb)
g4	chr2:35729385-35729401	Dab2ip	+	3' UTR
g4	chr2:36011762-36011799	Ttll11	-	Distal Intergenic
g4	chr2:36091039-36091064	Lhx6	-	Exon
g4	chr2:36105038-36105058	Lhx6	-	Promoter (<=1kb)
g4	chr2:36105066-36105094	Lhx6	-	Promoter (<=1kb)
g4	chr2:36105207-36105235	Lhx6	-	Promoter (<=1kb)
g4	chr2:36105322-36105360	Lhx6	-	Promoter (<=1kb)
g4	chr2:36311337-36311387	Olfr335-ps	+	Distal Intergenic
g4	chr2:36674292-36674358	Olfr346	+	Distal Intergenic
g4	chr2:36822457-36822478	Olfr3	-	Distal Intergenic
g4	chr2:37266305-37266330	Olfr367-ps	+	Promoter (<=1kb)
g4	chr2:37776190-37776214	Crb2	+	Promoter (<=1kb)
g4	chr2:37789986-37790018	Crb2	+	Promoter (1-2kb)
g4	chr2:37800087-37800114	Crb2	+	Exon
g4	chr2:38036500-38036551	Gm44443	+	Intron
g4	chr2:38172776-38172807	Dennd1a	-	Intron
g4	chr2:38339510-38339542	Lhx2	+	Promoter (<=1kb)
g4	chr2:38339577-38339622	Lhx2	+	Promoter (<=1kb)
g4	chr2:38339733-38339767	Lhx2	+	Promoter (<=1kb)
g4	chr2:38339839-38339864	Lhx2	+	Promoter (<=1kb)
g4	chr2:38350833-38350858	Lhx2	+	Promoter (<=1kb)
g4	chr2:38351493-38351536	Lhx2	+	Promoter (<=1kb)
g4	chr2:38351606-38351633	Lhx2	+	Promoter (<=1kb)
g4	chr2:38354378-38354400	Lhx2	+	Promoter (<=1kb)
g4	chr2:38356783-38356806	Lhx2	+	Promoter (2-3kb)
g4	chr2:38356847-38356891	Lhx2	+	Intron
g4	chr2:38357852-38357889	Lhx2	+	Intron
g4	chr2:38689014-38689061	Adgrd2-ps	+	Distal Intergenic
g4	chr2:38689176-38689213	Adgrd2-ps	+	Distal Intergenic
g4	chr2:38703951-38703968	Nr5a1	-	Intron
g4	chr2:38710859-38710883	Nr5a1	-	Promoter (<=1kb)
g4	chr2:38711778-38711825	Nr5a1	-	Promoter (<=1kb)
g4	chr2:38712101-38712136	Nr5a1	-	Promoter (<=1kb)
g4	chr2:38712294-38712315	Nr5a1	-	Promoter (<=1kb)
g4	chr2:38925938-38925959	Nr6a1	-	Promoter (<=1kb)
g4	chr2:39235696-39235721	Gm13504	-	Promoter (1-2kb)
g4	chr2:39310611-39310640	Vmn2r-ps2	+	Distal Intergenic
g4	chr2:39372246-39372287	Gm13506	+	Distal Intergenic
g4	chr2:39421129-39421154	Gm13506	+	Distal Intergenic
g4	chr2:39421237-39421262	Gm13506	+	Distal Intergenic
g4	chr2:39667900-39667938	Gm43944	-	Distal Intergenic
g4	chr2:39849728-39849784	Gm43970	+	Distal Intergenic
g4	chr2:40262607-40262673	Gm13455	+	Distal Intergenic
g4	chr2:40366928-40366947	Gm24467	+	Distal Intergenic
g4	chr2:40380300-40380319	Gm24467	+	Distal Intergenic
g4	chr2:40464634-40464654	Gm13456	+	Distal Intergenic
g4	chr2:40564761-40564786	Gm13456	+	Distal Intergenic
g4	chr2:40971342-40971363	Gm13462	+	Intron
g4	chr2:41149154-41149179	Gm13460	+	Intron
g4	chr2:41183535-41183569	Gm13460	+	Intron
g4	chr2:41700948-41701002	Lrp1b	-	Intron
g4	chr2:41701128-41701152	Lrp1b	-	Intron
g4	chr2:41826162-41826197	Lrp1b	-	Intron
g4	chr2:41963995-41964032	Gm13461	-	Intron
g4	chr2:42181364-42181403	Gm13463	+	Intron
g4	chr2:42358018-42358049	Mir6336	-	Intron
g4	chr2:42390125-42390150	Mir6336	-	Intron
g4	chr2:42546775-42546838	Mir6336	-	Intron
g4	chr2:42592689-42592714	Lrp1b	-	Intron
g4	chr2:42624459-42624488	Lrp1b	-	Intron
g4	chr2:42665250-42665301	Lrp1b	-	Distal Intergenic
g4	chr2:42772142-42772187	Gm24350	+	Distal Intergenic
g4	chr2:42787311-42787361	Gm24350	+	Distal Intergenic
g4	chr2:42942064-42942112	Gm24350	+	Distal Intergenic
g4	chr2:43014137-43014203	Gm24350	+	Distal Intergenic
g4	chr2:43342446-43342465	Gm13464	-	Distal Intergenic
g4	chr2:43498704-43498721	Gm13464	-	Distal Intergenic
g4	chr2:43765302-43765346	Arhgap15	+	Intron
g4	chr2:44546354-44546430	Gtdc1	-	Distal Intergenic
g4	chr2:44586009-44586026	Gtdc1	-	Intron
g4	chr2:44586186-44586206	Gtdc1	-	Intron
g4	chr2:45144756-45144787	Gm28643	+	Distal Intergenic
g4	chr2:45191395-45191429	Gm28643	+	Distal Intergenic
g4	chr2:45191486-45191505	Gm28643	+	Distal Intergenic
g4	chr2:45441367-45441414	Gm13479	+	Distal Intergenic
g4	chr2:45445699-45445725	Gm13479	+	Distal Intergenic
g4	chr2:45445734-45445753	Gm13479	+	Distal Intergenic
g4	chr2:45690611-45690662	1700019E08Rik	+	Distal Intergenic
g4	chr2:45760754-45760779	Gm13467	-	Distal Intergenic
g4	chr2:45862017-45862067	Gm13466	+	Distal Intergenic
g4	chr2:46087856-46087890	Gm23072	+	Distal Intergenic
g4	chr2:46225736-46225793	Gm23072	+	Distal Intergenic
g4	chr2:46405526-46405548	Gm13469	-	Promoter (1-2kb)
g4	chr2:46455637-46455669	Gm13470	-	Distal Intergenic
g4	chr2:46499675-46499725	Gm13470	-	Distal Intergenic
g4	chr2:46535397-46535431	Gm25264	-	Distal Intergenic
g4	chr2:46597273-46597299	Gm25264	-	Distal Intergenic
g4	chr2:46972927-46972976	Gm25264	-	Distal Intergenic
g4	chr2:47388104-47388138	Gm25959	+	Distal Intergenic
g4	chr2:47571657-47571707	Gm25959	+	Distal Intergenic
g4	chr2:48176173-48176211	Gm13471	+	Intron
g4	chr2:48303906-48303956	Gm13482	+	Intron
g4	chr2:48681392-48681413	Gm13489	-	Distal Intergenic
g4	chr2:48873691-48873739	Acvr2a	+	Intron
g4	chr2:49193622-49193650	Gm13510	+	Intron
g4	chr2:49619609-49619644	Kif5c	+	Promoter (<=1kb)
g4	chr2:49619981-49620000	Kif5c	+	Promoter (<=1kb)
g4	chr2:49682386-49682454	Gm13525	+	Promoter (1-2kb)
g4	chr2:49682479-49682524	Gm13525	+	Promoter (1-2kb)
g4	chr2:49682557-49682585	Gm13525	+	Promoter (2-3kb)
g4	chr2:49682673-49682708	Gm13525	+	Promoter (2-3kb)
g4	chr2:49999016-49999036	Lypd6	+	Distal Intergenic
g4	chr2:50066282-50066309	Lypd6	+	Promoter (<=1kb)
g4	chr2:50066409-50066433	Lypd6	+	Promoter (<=1kb)
g4	chr2:50066582-50066614	Lypd6	+	Promoter (<=1kb)
g4	chr2:50196259-50196290	Lypd6	+	Distal Intergenic
g4	chr2:51148461-51148504	Rnd3	-	Promoter (<=1kb)
g4	chr2:51214493-51214524	Gm28639	+	Distal Intergenic
g4	chr2:51223806-51223836	Gm28639	+	Distal Intergenic
g4	chr2:51267605-51267656	Gm13497	+	Intron
g4	chr2:51331900-51331916	Gm13499	-	Distal Intergenic
g4	chr2:51355897-51355929	Gm13499	-	Distal Intergenic
g4	chr2:51536041-51536068	Gm13494	+	Distal Intergenic
g4	chr2:51549946-51549995	Gm13494	+	Distal Intergenic
g4	chr2:52675907-52675995	Cacnb4	-	Promoter (<=1kb)
g4	chr2:52676132-52676173	Cacnb4	-	Promoter (<=1kb)
g4	chr2:52676232-52676264	Cacnb4	-	Promoter (<=1kb)
g4	chr2:52676365-52676400	Cacnb4	-	Promoter (<=1kb)
g4	chr2:52676499-52676519	Cacnb4	-	Promoter (<=1kb)
g4	chr2:52858843-52858868	Fmnl2	+	Promoter (<=1kb)
g4	chr2:53019790-53019828	Prpf40a	-	Intron
g4	chr2:53287132-53287159	Gm25898	-	Distal Intergenic
g4	chr2:53287172-53287239	Gm25898	-	Distal Intergenic
g4	chr2:53312178-53312228	Gm25898	-	Distal Intergenic
g4	chr2:53595760-53595787	Gm13503	+	Distal Intergenic
g4	chr2:53598451-53598484	Gm13503	+	Distal Intergenic
g4	chr2:53626959-53626990	Gm13502	-	Distal Intergenic
g4	chr2:54085572-54085605	Rprm	-	Promoter (<=1kb)
g4	chr2:54184921-54184949	Gm13505	+	Distal Intergenic
g4	chr2:54248079-54248098	Gm13505	+	Distal Intergenic
g4	chr2:54436071-54436096	Galnt13	+	Promoter (<=1kb)
g4	chr2:54436252-54436276	Galnt13	+	Promoter (<=1kb)
g4	chr2:54436330-54436356	Galnt13	+	Promoter (<=1kb)
g4	chr2:54436977-54436996	Galnt13	+	Promoter (<=1kb)
g4	chr2:54525439-54525465	Galnt13	+	Intron
g4	chr2:54666745-54666768	Gm24549	-	Intron
g4	chr2:54946421-54946457	Gm25489	+	Intron
g4	chr2:55254788-55254837	Gm14032	+	Distal Intergenic
g4	chr2:55346858-55346882	Gm14032	+	Distal Intergenic
g4	chr2:55402914-55402965	Gm14033	+	Distal Intergenic
g4	chr2:55436654-55436694	Kcnj3	+	Promoter (<=1kb)
g4	chr2:55717991-55718014	Gm13517	+	Distal Intergenic
g4	chr2:56229491-56229511	Gm13518	+	Distal Intergenic
g4	chr2:56430185-56430225	Mir195b	+	Distal Intergenic
g4	chr2:56480006-56480032	Mir195b	+	Distal Intergenic
g4	chr2:56497085-56497124	Mir195b	+	Distal Intergenic
g4	chr2:56645631-56645669	Mir195b	+	Distal Intergenic
g4	chr2:56675747-56675766	Mir195b	+	Distal Intergenic
g4	chr2:56773792-56773833	Mir195b	+	Distal Intergenic
g4	chr2:57027303-57027343	Gm13527	+	Distal Intergenic
g4	chr2:57102546-57102561	Nr4a2	-	Distal Intergenic
g4	chr2:57112041-57112070	Nr4a2	-	Promoter (1-2kb)
g4	chr2:57403192-57403245	Gm13531	-	Distal Intergenic
g4	chr2:57424001-57424040	Gm13531	-	Promoter (1-2kb)
g4	chr2:57456380-57456425	Gm13531	-	Distal Intergenic
g4	chr2:57551852-57551875	Gm13532	-	Distal Intergenic
g4	chr2:57619321-57619344	Gm13532	-	Distal Intergenic
g4	chr2:57619363-57619387	Gm13532	-	Distal Intergenic
g4	chr2:57640567-57640610	Gm13533	-	Distal Intergenic
g4	chr2:57924466-57924510	Gm33594	-	Distal Intergenic
g4	chr2:58358070-58358093	Acvr1c	-	Promoter (<=1kb)
g4	chr2:58431248-58431301	Gm17409	+	Intron
g4	chr2:58452825-58452897	Gm17409	+	Intron
g4	chr2:58566863-58566887	Acvr1	-	Promoter (<=1kb)
g4	chr2:58566919-58566942	Acvr1	-	Promoter (<=1kb)
g4	chr2:58567326-58567346	Upp2	+	Promoter (<=1kb)
g4	chr2:58567424-58567448	Upp2	+	Promoter (<=1kb)
g4	chr2:58567802-58567823	Upp2	+	Promoter (<=1kb)
g4	chr2:58630299-58630332	Upp2	+	Promoter (2-3kb)
g4	chr2:59161272-59161296	Pkp4	+	Promoter (<=1kb)
g4	chr2:59518884-59518922	Dapl1	+	Distal Intergenic
g4	chr2:59612543-59612586	Tanc1	+	Promoter (<=1kb)
g4	chr2:59612667-59612688	Tanc1	+	Promoter (<=1kb)
g4	chr2:59841538-59841617	Tanc1	+	Promoter (<=1kb)
g4	chr2:59841649-59841687	Tanc1	+	Promoter (<=1kb)
g4	chr2:59841719-59841744	Tanc1	+	Promoter (<=1kb)
g4	chr2:59841895-59841924	Tanc1	+	Promoter (<=1kb)
g4	chr2:60000620-60000658	Baz2b	-	Intron
g4	chr2:60531232-60531257	Gm13583	+	Intron
g4	chr2:60597568-60597598	Gm13567	-	Promoter (1-2kb)
g4	chr2:60676803-60676843	Itgb6	-	Intron
g4	chr2:60693745-60693777	Itgb6	-	Exon
g4	chr2:60727794-60727824	Itgb6	-	Distal Intergenic
g4	chr2:60962219-60962250	Rbms1	-	Promoter (<=1kb)
g4	chr2:60962462-60962480	Rbms1	-	Promoter (<=1kb)
g4	chr2:60962617-60962636	Rbms1	-	Promoter (<=1kb)
g4	chr2:61013615-61013639	Gm13579	-	Distal Intergenic
g4	chr2:61484766-61484789	Gm22338	+	Distal Intergenic
g4	chr2:61684261-61684309	Gm13626	-	Distal Intergenic
g4	chr2:61812446-61812492	Tbr1	+	3' UTR
g4	chr2:61815316-61815351	Tbr1	+	Distal Intergenic
g4	chr2:61815514-61815541	Tbr1	+	Distal Intergenic
g4	chr2:61815866-61815897	Tbr1	+	Distal Intergenic
g4	chr2:61920049-61920091	Gm13555	-	Distal Intergenic
g4	chr2:62393586-62393614	Dpp4	-	Intron
g4	chr2:62555433-62555471	Fap	-	Intron
g4	chr2:63132993-63133017	Kcnh7	-	Intron
g4	chr2:63184313-63184345	Kcnh7	-	Promoter (<=1kb)
g4	chr2:63184372-63184406	Kcnh7	-	Promoter (<=1kb)
g4	chr2:63184511-63184530	Kcnh7	-	Promoter (<=1kb)
g4	chr2:63241991-63242035	Kcnh7	-	Distal Intergenic
g4	chr2:63594626-63594663	Gm23503	-	Distal Intergenic
g4	chr2:63895923-63895949	Fign	-	Distal Intergenic
g4	chr2:63896206-63896232	Fign	-	Distal Intergenic
g4	chr2:64098201-64098222	Fign	-	Promoter (<=1kb)
g4	chr2:64098766-64098793	Fign	-	Promoter (<=1kb)
g4	chr2:64135978-64135998	Fign	-	Distal Intergenic
g4	chr2:64269366-64269393	Gm13575	-	Distal Intergenic
g4	chr2:64431200-64431225	Gm13575	-	Distal Intergenic
g4	chr2:64518820-64518855	Gm13577	-	Distal Intergenic
g4	chr2:64703209-64703257	Gm13576	-	Distal Intergenic
g4	chr2:65022781-65022827	Grb14	-	Promoter (<=1kb)
g4	chr2:65022837-65022866	Grb14	-	Promoter (<=1kb)
g4	chr2:65058016-65058050	Grb14	-	Distal Intergenic
g4	chr2:65368880-65368905	Mir6337	-	Distal Intergenic
g4	chr2:65608955-65609005	Scn2a	+	Distal Intergenic
g4	chr2:65646846-65646887	Scn2a	+	Intron
g4	chr2:65798246-65798272	BX284648.1	-	Distal Intergenic
g4	chr2:66040541-66040582	Galnt3	-	Distal Intergenic
g4	chr2:66119792-66119828	Galnt3	-	Intron
g4	chr2:66189195-66189226	Gm13618	+	Promoter (1-2kb)
g4	chr2:66634787-66634816	Scn9a	-	Promoter (<=1kb)
g4	chr2:66662705-66662732	Scn9a	-	Distal Intergenic
g4	chr2:66778731-66778796	Scn7a	-	Intron
g4	chr2:67124275-67124303	Xirp2	+	Distal Intergenic
g4	chr2:67151191-67151239	Xirp2	+	Distal Intergenic
g4	chr2:67268431-67268451	Xirp2	+	Intron
g4	chr2:67405928-67405978	Gm21830	+	Intron
g4	chr2:67565513-67565567	B3galt1	+	Promoter (<=1kb)
g4	chr2:67788537-67788562	Mir6335	+	Intron
g4	chr2:68025139-68025158	Gm13607	+	Intron
g4	chr2:68174120-68174163	Stk39	-	Distal Intergenic
g4	chr2:68230965-68231005	Stk39	-	Intron
g4	chr2:68471239-68471270	Stk39	-	Promoter (<=1kb)
g4	chr2:68471565-68471584	Stk39	-	Promoter (<=1kb)
g4	chr2:68472214-68472248	Stk39	-	Promoter (<=1kb)
g4	chr2:68600169-68600200	4933409G03Rik	+	Intron
g4	chr2:68661063-68661094	4932414N04Rik	+	Promoter (1-2kb)
g4	chr2:68996216-68996251	Gm37747	+	Intron
g4	chr2:69307649-69307671	Gm13614	+	Intron
g4	chr2:69822786-69822826	Klhl23	+	Promoter (<=1kb)
g4	chr2:69823120-69823145	Klhl23	+	Promoter (<=1kb)
g4	chr2:70221646-70221669	Myo3b	+	Intron
g4	chr2:70475896-70475931	Sp5	+	Promoter (<=1kb)
g4	chr2:70476556-70476590	Sp5	+	Promoter (1-2kb)
g4	chr2:70562105-70562143	Gad1	+	Promoter (<=1kb)
g4	chr2:70562691-70562719	Gad1	+	Promoter (<=1kb)
g4	chr2:70563358-70563381	Gad1os	-	Promoter (<=1kb)
g4	chr2:71529452-71529489	Dlx1	+	Promoter (<=1kb)
g4	chr2:71532548-71532575	Dlx1	+	Promoter (1-2kb)
g4	chr2:71532635-71532657	Dlx1	+	Promoter (1-2kb)
g4	chr2:71541092-71541114	Dlx1as	-	Distal Intergenic
g4	chr2:71541256-71541288	Dlx1as	-	Distal Intergenic
g4	chr2:71543938-71543976	Dlx2	-	Promoter (1-2kb)
g4	chr2:71545916-71545948	Dlx2	-	Promoter (<=1kb)
g4	chr2:71546648-71546674	Dlx2	-	Promoter (<=1kb)
g4	chr2:71551011-71551075	Dlx2	-	Distal Intergenic
g4	chr2:71551105-71551133	Dlx2	-	Distal Intergenic
g4	chr2:71551214-71551244	Dlx2	-	Distal Intergenic
g4	chr2:71787453-71787496	Itga6	+	Promoter (<=1kb)
g4	chr2:71981126-71981146	Rapgef4	+	Promoter (<=1kb)
g4	chr2:71981189-71981211	Rapgef4	+	Promoter (<=1kb)
g4	chr2:71981357-71981388	Rapgef4	+	Promoter (<=1kb)
g4	chr2:71981517-71981532	Rapgef4	+	Promoter (<=1kb)
g4	chr2:72049085-72049108	Rapgef4	+	Intron
g4	chr2:73012780-73012807	Sp3os	+	Distal Intergenic
g4	chr2:73012924-73012941	Sp3os	+	Distal Intergenic
g4	chr2:73038416-73038437	Sp3os	+	Distal Intergenic
g4	chr2:73271747-73271777	Sp9	+	Promoter (<=1kb)
g4	chr2:73274635-73274656	Sp9	+	Promoter (2-3kb)
g4	chr2:73279080-73279106	Sp9	+	Intron
g4	chr2:73279351-73279380	Sp9	+	Intron
g4	chr2:73279501-73279526	Sp9	+	Intron
g4	chr2:73529248-73529275	Wipf1	-	Promoter (<=1kb)
g4	chr2:73529397-73529424	Wipf1	-	Promoter (<=1kb)
g4	chr2:73529484-73529522	Wipf1	-	Promoter (<=1kb)
g4	chr2:73774938-73774966	Chn1	-	Promoter (<=1kb)
g4	chr2:73775240-73775266	Chn1	-	Promoter (<=1kb)
g4	chr2:73920332-73920358	Atp5g3	-	Distal Intergenic
g4	chr2:74007110-74007134	Gm13668	-	Distal Intergenic
g4	chr2:74125651-74125694	Gm28640	+	Distal Intergenic
g4	chr2:74155130-74155146	Gm13667	+	Distal Intergenic
g4	chr2:74655367-74655395	Evx2	-	3' UTR
g4	chr2:74655454-74655484	Evx2	-	3' UTR
g4	chr2:74655505-74655532	Evx2	-	3' UTR
g4	chr2:74661255-74661281	Evx2	-	Promoter (1-2kb)
g4	chr2:74667873-74667893	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74667914-74667947	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74667979-74668005	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74668056-74668083	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74668133-74668156	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74668190-74668207	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74668282-74668307	Hoxd13	+	Promoter (<=1kb)
g4	chr2:74673101-74673123	Hoxd12	+	Promoter (1-2kb)
g4	chr2:74673233-74673261	Hoxd12	+	Promoter (1-2kb)
g4	chr2:74674925-74674953	Hoxd12	+	Promoter (<=1kb)
g4	chr2:74675692-74675716	Hoxd12	+	Promoter (<=1kb)
g4	chr2:74681909-74681951	Hoxd11	+	Promoter (<=1kb)
g4	chr2:74681983-74682004	Hoxd11	+	Promoter (<=1kb)
g4	chr2:74682961-74682983	Gm28309	+	Promoter (<=1kb)
g4	chr2:74683175-74683226	Gm28309	+	Promoter (<=1kb)
g4	chr2:74697775-74697802	Hoxd9	+	Promoter (<=1kb)
g4	chr2:74698139-74698165	Hoxd9	+	Promoter (<=1kb)
g4	chr2:74698447-74698477	Hoxd9	+	Promoter (<=1kb)
g4	chr2:74698682-74698722	Hoxd9	+	Promoter (<=1kb)
g4	chr2:74704126-74704149	Hoxd8	+	Promoter (<=1kb)
g4	chr2:74704143-74704166	Hoxd8	+	Promoter (<=1kb)
g4	chr2:74704996-74705020	Hoxd8	+	Promoter (<=1kb)
g4	chr2:74705747-74705768	Hoxd8	+	Promoter (<=1kb)
g4	chr2:74712551-74712587	Hoxd3os1	-	Promoter (<=1kb)
g4	chr2:74727897-74727936	Hoxd4	+	Promoter (<=1kb)
g4	chr2:74728108-74728125	Hoxd4	+	Promoter (1-2kb)
g4	chr2:74728766-74728791	Hoxd4	+	Promoter (1-2kb)
g4	chr2:74736350-74736371	Hoxd3	+	Promoter (<=1kb)
g4	chr2:74747136-74747170	Hoxd3	+	Promoter (1-2kb)
