Flipon	Coordinates	LINE/LTR (+-200bp)
g4	chr18:20679673-20679696	LTR@RMER13B(-)
g4	chr18:21239308-21239342	LINE@L1_Mus3(+)
g4	chr18:21704941-21704985	LINE@L1_Mus1(+), LTR@MTD(+)
g4	chr18:22141670-22141699	LTR@RMER17A(+), LINE@L1_Mus1(+)
g4	chr18:22296414-22296440	LINE@Lx2B(-), LINE@Lx2B(-)
g4	chr18:22317760-22317792	LINE@L1_Mus2(+)
g4	chr18:23179025-23179073	LINE@L1_Mus1(-)
g4	chr18:23195768-23195800	LINE@Lx7(+), LINE@L1_Mus2(-), LINE@Lx7(+)
g4	chr18:23237579-23237610	LINE@L1VL4(+), LINE@L1_Mus2(+), LINE@L1VL4(+)
g4	chr18:23251793-23251843	LINE@L1Md_F2(+), LINE@L1_Mus2(+)
g4	chr18:23393400-23393427	LTR@RMER13B(-)
g4	chr18:23480604-23480629	LINE@Lx2(-)
g4	chr18:23480647-23480669	LINE@Lx2(-)
g4	chr18:24059810-24059836	LTR@MURVY-LTR(-)
g4	chr18:25261928-25261963	LINE@L1_Mus3(-)
g4	chr18:25280847-25280868	LINE@Lx2(-)
g4	chr18:25443021-25443043	LTR@MTA_Mm(+)
g4	chr18:26425518-26425545	LINE@L1_Mus2(+)
g4	chr18:26472342-26472370	LTR@MTB(+)
g4	chr18:26526049-26526075	LTR@ORR1E(-), LINE@L1_Mus2(-)
g4	chr18:26772906-26772961	LINE@L1Md_T(+), LINE@Lx9(+)
g4	chr18:27149588-27149627	LINE@L1_Mus2(+)
g4	chr18:27815772-27815795	LINE@Lx2(+)
g4	chr18:27842866-27842917	LINE@L1Md_F2(-)
g4	chr18:28132598-28132647	LINE@L1Md_F3(+), LTR@ORR1D2(-)
g4	chr18:28853495-28853534	LINE@L1_Mus3(-), LINE@L1_Mus3(+), LTR@RLTR1A2_MM(+)
g4	chr18:29102152-29102183	LINE@L1_Mus3(-)
g4	chr18:30360989-30361004	LINE@Lx10(-), LTR@RLTR10B2(+)
g4	chr18:30407375-30407401	LTR@ORR1E(-), LTR@RMER17A2(-)
g4	chr18:30617613-30617652	LINE@Lx(+)
g4	chr18:30625249-30625280	LINE@Lx7(-)
g4	chr18:30625290-30625321	LINE@Lx7(-)
g4	chr18:30625331-30625398	LINE@Lx7(-)
g4	chr18:30625408-30625444	LINE@Lx7(-)
g4	chr18:30625495-30625539	LINE@Lx9(+)
g4	chr18:31371205-31371234	LINE@L1_Mus4(+), LINE@L1_Mus4(+)
g4	chr18:31384710-31384760	LINE@Lx9(+), LINE@L1Md_F2(-), LINE@L1Md_F2(-)
g4	chr18:31384951-31384986	LINE@L1Md_F2(-), LINE@L1Md_F2(-)
g4	chr18:31537835-31537856	LINE@Lx3_Mus(+), LTR@ORR1A3(+)
g4	chr18:31537910-31537931	LINE@Lx3_Mus(+), LTR@ORR1A3(+)
g4	chr18:32929342-32929363	LINE@Lx3B(-)
g4	chr18:33129207-33129238	LINE@L1_Mus4(+)
g4	chr18:33821928-33821947	LINE@Lx8(+)
g4	chr18:33925499-33925543	LTR@RLTR20B3A_MM(+), LTR@RLTR20B3A_MM(+)
g4	chr18:34108546-34108570	LINE@Lx(+)
g4	chr18:34422801-34422844	LTR@MTD(-)
g4	chr18:37117261-37117283	LINE@L1MEg(-), LINE@Lx(-)
g4	chr18:37200638-37200683	LINE@L1_Mus1(+), LTR@ORR1A4(-)
g4	chr18:37232959-37233002	LINE@L1VL4(+)
g4	chr18:38363660-38363690	LTR@RMER17B(+)
g4	chr18:38363888-38363916	LTR@RMER17B(+)
g4	chr18:38807751-38807775	LTR@MLT1B(-), LTR@MTD(+), LTR@MLT1B(-)
g4	chr18:39541433-39541487	LINE@L1_Mus1(+)
g4	chr18:40155348-40155367	LINE@L1Md_F2(+)
g4	chr18:40249994-40250021	LINE@Lx2(+)
g4	chr18:40334011-40334043	LINE@L1_Mus2(+)
g4	chr18:40523888-40523909	LTR@RMER17D(+)
g4	chr18:40680356-40680380	LTR@RMER17C2(-)
g4	chr18:40744148-40744178	LINE@L1_Mus2(+), LINE@L1Md_F2(+), LINE@L1_Mus2(+)
g4	chr18:40893977-40894022	LINE@L1Md_F2(+)
g4	chr18:40988475-40988498	LINE@Lx2(-)
g4	chr18:41069416-41069439	LINE@L1_Mus4(+)
g4	chr18:41663287-41663325	LINE@Lx(+), LTR@ORR1B1(+)
g4	chr18:41735788-41735820	LINE@Lx(+), LINE@Lx2(+), LINE@L1Md_T(+)
g4	chr18:41911213-41911231	LINE@L1Md_F2(+)
g4	chr18:42113998-42114033	LTR@RLTR1C(-)
g4	chr18:42710159-42710232	LINE@L1Md_F2(+)
g4	chr18:43193856-43193888	LTR@MTEa(-), LTR@ORR1A2(+)
g4	chr18:43936731-43936759	LINE@Lx2B2(-), LINE@Lx(-), LINE@Lx2B2(-), LINE@Lx3_Mus(-)
g4	chr18:43994529-43994558	LINE@Lx8(-)
g4	chr18:43994610-43994642	LINE@Lx8(-)
g4	chr18:44053310-44053352	LINE@L1Md_F3(+)
g4	chr18:44145590-44145614	LINE@L1M3(+), LINE@Lx(+), LINE@L1MA7(+)
g4	chr18:44435839-44435864	LINE@Lx(-)
g4	chr18:44677016-44677037	LINE@L1M2(-), LINE@Lx(-)
g4	chr18:44918063-44918126	LTR@ORR1C2(+), LTR@ORR1C2(+)
g4	chr18:44980992-44981058	LTR@ORR1A2(-), LINE@L1Md_T(-)
g4	chr18:44990038-44990068	LINE@L1_Mus3(+), LTR@RLTR22_Mur(-)
g4	chr18:45004601-45004621	LINE@L1Md_F2(-)
g4	chr18:45428563-45428597	LINE@Lx(+), LINE@Lx(-)
g4	chr18:45483978-45484003	LINE@L1_Mus3(+)
g4	chr18:45558587-45558613	LINE@L1MDb(+)
g4	chr18:45751619-45751642	LINE@Lx3A(+)
g4	chr18:45770392-45770436	LINE@L1Md_F2(+)
g4	chr18:45797667-45797692	LINE@Lx(+)
g4	chr18:45797716-45797771	LINE@Lx(+)
g4	chr18:46028329-46028354	LTR@MT2B2(+), LTR@RLTR21(+), LINE@L1VL2(+)
g4	chr18:46095576-46095615	LINE@L1_Mus1(-), LINE@L1_Mus1(+)
g4	chr18:46324110-46324147	LTR@RMER17C(+)
g4	chr18:46415167-46415217	LINE@L1Md_F3(+), LTR@ORR1A3(+)
g4	chr18:47087416-47087447	LINE@L1_Mus1(-)
g4	chr18:47123054-47123109	LINE@L1MEb(-), LINE@L1Md_F2(-)
g4	chr18:47178855-47178882	LINE@L1Md_F2(-)
g4	chr18:47189365-47189419	LINE@L1_Mus1(-), LINE@L1Md_A(-)
g4	chr18:47499755-47499781	LTR@RMER10B(-), LTR@RMER10B(-)
g4	chr18:48113885-48113930	LTR@MTD(-), LINE@L1Md_F2(-)
g4	chr18:48285600-48285629	LTR@RMER17B(+), LTR@MLTR11A(-)
g4	chr18:48490924-48490960	LTR@MMERGLN_LTR(-)
g4	chr18:48508808-48508838	LINE@L1Md_A(-), LINE@L1_Mus2(-)
g4	chr18:48660707-48660752	LTR@RMER6C(+), LTR@RMER6D(+)
g4	chr18:48660763-48660788	LTR@RMER6C(+)
g4	chr18:48660905-48660938	LTR@RMER6C(+)
g4	chr18:49606616-49606639	LINE@L1_Mus2(+)
g4	chr18:49739680-49739717	LINE@L1_Mus1(+), LINE@Lx10(+)
g4	chr18:49765037-49765069	LTR@RMER17C(-)
g4	chr18:50122917-50122954	LTR@RMER17B2(+)
g4	chr18:50123138-50123159	LTR@RMER17B2(+)
g4	chr18:50123190-50123217	LTR@RMER17B2(+)
g4	chr18:50230537-50230585	LINE@L1_Mus1(+)
g4	chr18:50657722-50657770	LINE@L1Md_F2(+)
g4	chr18:50933001-50933042	LTR@ORR1E(+), LINE@L1Md_F2(-)
g4	chr18:51014128-51014168	LTR@MLT1B(+), LINE@L1Md_F2(-)
g4	chr18:51158418-51158447	LTR@RMER17C(-)
g4	chr18:51308475-51308492	LINE@Lx(+)
g4	chr18:51394301-51394367	LINE@L1_Rod(-), LINE@L1Md_A(-)
g4	chr18:51522263-51522283	LINE@Lx7(-)
g4	chr18:51530631-51530697	LINE@L1_Mm(-), LINE@L1Md_T(+), LTR@MTB(-)
g4	chr18:51650315-51650351	LINE@L1_Mur1(-)
g4	chr18:51699234-51699265	LINE@L1Md_A(-), LINE@L1_Mus2(-), LTR@MTE-int(-)
g4	chr18:51737790-51737817	LINE@L1Md_F3(+)
g4	chr18:51926068-51926092	LINE@L1_Mur3(-), LINE@Lx3_Mus(-)
g4	chr18:52147140-52147167	LINE@L1_Mus3(+), LINE@L1VL4(+)
g4	chr18:52298574-52298601	LINE@L1_Mus3(-)
g4	chr18:52361208-52361232	LINE@Lx(-), LTR@RLTR11A2(+), LINE@L1MA4(+)
g4	chr18:52415104-52415127	LINE@Lx(+)
g4	chr18:52551339-52551383	LINE@L1_Mus4(-)
g4	chr18:52706171-52706190	LINE@L1_Mus3(+), LINE@L1Md_F2(+)
g4	chr18:52714107-52714158	LINE@L1MA9(+), LINE@L1MA9(+)
g4	chr18:53106101-53106121	LINE@Lx(+), LINE@Lx(+), LTR@MTC(-)
g4	chr18:53490357-53490385	LTR@RLTR10C(+), LINE@Lx(-)
g4	chr18:54309205-54309228	LINE@L1Md_F2(-), LINE@L1Md_F2(-)
g4	chr18:54312111-54312137	LINE@L1_Mus4(-)
g4	chr18:55438265-55438338	LTR@RLTR10E(+)
g4	chr18:55455572-55455600	LTR@RMER17C(-), LTR@RMER17C(-)
g4	chr18:55587942-55587963	LINE@L1_Mus1(-)
g4	chr18:56144181-56144231	LTR@IAPEY2_LTR(-), LINE@L1Md_F3(-), LTR@IAPEY2_LTR(-)
g4	chr18:57491411-57491450	LINE@Lx2(-)
g4	chr18:58863915-58863964	LINE@L1_Mus2(+)
g4	chr18:59323157-59323230	LINE@L1Md_F2(+)
g4	chr18:60177302-60177318	LINE@Lx(+), LINE@L1_Mur1(+)
g4	chr18:60177337-60177361	LINE@Lx(+), LINE@L1_Mur1(+)
g4	chr18:61321685-61321714	LINE@L1_Mus3(-)
g4	chr18:62378360-62378394	LINE@Lx2B2(+)
g4	chr18:62378792-62378817	LINE@Lx(-), LTR@RLTR12D(-)
g4	chr18:62442947-62442967	LINE@Lx7(-)
g4	chr18:62484246-62484271	LINE@L1_Mus3(+), LINE@L1MC1(-)
g4	chr18:62489447-62489475	LTR@MLT1D(+), LTR@MLT1D(+), LTR@MLT1D(+)
g4	chr18:62783638-62783696	LTR@RMER17C2(+)
g4	chr18:62783727-62783765	LTR@RMER17C2(+)
g4	chr18:63464016-63464043	LINE@L1_Mus2(+)
g4	chr18:63731091-63731136	LTR@RMER17A(+)
g4	chr18:64799737-64799769	LTR@ORR1B1(-), LTR@ORR1A2(-)
g4	chr18:66182282-66182303	LINE@Lx8(+), LINE@L1MC(-)
g4	chr18:66735083-66735133	LINE@L1Md_F2(+)
g4	chr18:67074726-67074747	LTR@MTD(-), LTR@IAPLTR3-int(-)
g4	chr18:67074777-67074796	LTR@MTD(-), LTR@IAPLTR3-int(-)
g4	chr18:68088241-68088276	LTR@RMER17B(+)
g4	chr18:69089954-69090001	LINE@L1_Mus3(+)
g4	chr18:69781335-69781357	LTR@MTC(-)
g4	chr18:70262011-70262035	LINE@Lx3A(-)
g4	chr18:70337249-70337293	LINE@L1_Mur2(+), LINE@L1_Mus1(+)
g4	chr18:70783002-70783046	LINE@L1_Mus1(-)
g4	chr18:70807294-70807328	LINE@L1_Mus1(-)
g4	chr18:71419664-71419716	LINE@L1Md_F2(+), LINE@L1Md_F2(+)
g4	chr18:71765637-71765678	LINE@L1_Mus3(+), LINE@Lx9(+)
g4	chr18:72747454-72747487	LINE@L1_Mus3(+), LINE@Lx5(+)
g4	chr18:72883033-72883099	LINE@L1Md_T(+), LINE@Lx7(+)
g4	chr18:72991130-72991173	LINE@L1Md_F2(+)
g4	chr18:73046895-73046941	LTR@ORR1C2(+), LTR@ORR1C2(+)
g4	chr18:73046958-73046990	LTR@ORR1C2(+), LTR@ORR1C2(+)
g4	chr18:73305939-73305973	LTR@MTB_Mm(+)
g4	chr18:73443848-73443874	LTR@MTB(+)
g4	chr18:74134791-74134833	LTR@MLTR14(-), LTR@RMER17C(+)
g4	chr18:74611813-74611840	LINE@Lx(-)
g4	chr18:74611865-74611886	LINE@Lx(-)
g4	chr18:75488026-75488049	LINE@Lx(+)
g4	chr18:76828071-76828093	LINE@L1_Mus3(+)
g4	chr18:76911796-76911820	LINE@Lx(-)
g4	chr18:78069141-78069156	LINE@L1_Mus3(+)
g4	chr18:78155078-78155103	LINE@Lx(+)
g4	chr18:78198365-78198416	LINE@L1M2(+)
g4	chr18:78457700-78457722	LINE@Lx2A1(+)
g4	chr18:78457966-78457986	LINE@Lx2A1(+)
g4	chr18:78655928-78655968	LINE@Lx(+)
g4	chr18:79384964-79384985	LINE@Lx(+)
g4	chr18:79385005-79385029	LINE@Lx(+)
g4	chr18:79400126-79400160	LINE@L1M4b(-), LINE@Lx(-)
g4	chr18:79400180-79400209	LINE@L1M4b(-), LINE@Lx(-), LINE@L1M4b(-)
g4	chr18:79536881-79536904	LINE@L1_Mus1(+), LTR@MTB(+)
g4	chr18:79651726-79651760	LTR@ORR1D2(-), LINE@L1_Mus4(-)
g4	chr18:79697173-79697204	LINE@L1Md_F2(-)
g4	chr18:79827711-79827746	LTR@MMERGLN_LTR(-), LTR@RLTR1B-int(-)
g4	chr18:79923845-79923889	LINE@L1_Mus2(+)
g4	chr18:81442821-81442860	LTR@ORR1D1(-), LINE@L1_Mus1(-)
g4	chr18:81811848-81811898	LTR@MTD(-), LINE@L1Md_F2(-)
g4	chr18:81976396-81976427	LINE@Lx(-)
g4	chr18:82134750-82134793	LTR@MTE2b(-)
g4	chr18:82134859-82134904	LTR@MTE2b(-)
g4	chr18:82135017-82135061	LTR@MTE2b(-)
g4	chr18:82456764-82456791	LTR@RMER17C2(-)
g4	chr18:82456905-82456939	LTR@RMER17C2(-)
g4	chr18:82462417-82462460	LTR@RMER5(-)
g4	chr18:82470717-82470739	LTR@RMER17C(+), LTR@RMER17C(+)
g4	chr18:82626845-82626867	LINE@L1_Mus2(+)
g4	chr18:84648325-84648351	LTR@RMER17D2(+)
g4	chr18:84928471-84928512	LTR@RMER5(+), LINE@L1_Mus3(+), LTR@RMER5(+)
g4	chr18:85027220-85027256	LINE@L1Md_T(-), LINE@Lx2(-)
g4	chr18:85469150-85469166	LINE@Lx3_Mus(+)
g4	chr18:85628293-85628330	LINE@Lx5(+), LINE@Lx5(+)
g4	chr18:85996428-85996455	LINE@L1_Mur2(+), LINE@L1_Mus1(-)
g4	chr18:86292883-86292921	LINE@L1_Mus1(-)
g4	chr18:86332033-86332084	LINE@L1Md_F2(+)
g4	chr18:86359483-86359535	LTR@RMER5(-), LINE@L1Md_F2(-)
g4	chr18:86369620-86369656	LINE@L1_Mus3(-), LINE@L1Md_F2(-)
g4	chr18:86529728-86529752	LINE@L1_Mus3(+), LINE@Lx2(+)
g4	chr18:86583254-86583284	LINE@L1_Mus3(-), LINE@L1Md_F2(-)
g4	chr18:86643071-86643094	LTR@MTC-int(+), LINE@Lx(-)
g4	chr18:86643118-86643157	LTR@MTC-int(+), LINE@Lx(-)
g4	chr18:87451190-87451219	LINE@L1_Mus3(+)
g4	chr18:87470876-87470924	LINE@L1Md_F2(+), LINE@L1_Mus3(+)
g4	chr18:87579262-87579298	LINE@Lx(+), LINE@Lx(+)
g4	chr18:87709606-87709626	LINE@Lx2(-)
g4	chr18:88258305-88258349	LTR@ORR1A2(-), LINE@L1Md_A(-), LINE@L1Md_F2(+)
g4	chr18:88458504-88458545	LINE@L1Md_F2(+)
g4	chr18:88681338-88681389	LINE@L1Md_F2(+)
g4	chr18:88937172-88937220	LINE@L1_Mus2(-)
g4	chr18:89413729-89413774	LINE@L1Md_A(+), LINE@Lx5b(+)
g4	chr18:89444874-89444902	LINE@L1_Mus3(+)
g4	chr18:89781790-89781812	LINE@Lx3_Mus(-)
g4	chr18:89790408-89790474	LINE@L1Md_F2(-)
g4	chr18:89799175-89799207	LINE@Lx2(-)
g4	chr18:89875930-89875974	LINE@L1_Mur3(-), LINE@L1_Mus1(-), LINE@L1_Mur3(-)
g4	chr18:90107722-90107772	LINE@L1Md_F3(+), LTR@MTD(-)
g4	chr18:90157326-90157349	LINE@Lx(-), LINE@Lx(+)
g4	chr18:90256968-90257020	LTR@RMER15(-), LINE@L1Md_F2(-)
g4	chr18:90361359-90361377	LINE@L1Md_F2(-)
g4	chr18:90561825-90561877	LTR@RLTR6-int(-), LTR@MuRRS4-int(-)
g4	chr19:3195811-3195837	LTR@RMER17D2(+)
g4	chr19:3317949-3318000	LTR@RMER4B(+)
g4	chr19:3318009-3318057	LTR@RMER4B(+)
g4	chr19:4407964-4407988	LINE@Lx(+)
g4	chr19:4439449-4439490	LINE@L2c(-)
g4	chr19:5328481-5328525	LTR@MTE2b(-), LINE@L1_Mus1(-), LINE@L1_Mus1(+)
g4	chr19:7134771-7134791	LINE@L1ME3F(+)
g4	chr19:7738179-7738230	LTR@MTB(-), LINE@L1Md_F2(-)
g4	chr19:7758543-7758562	LINE@Lx2B2(-), LINE@L1_Mus3(-), LINE@L1_Mus1(-)
g4	chr19:7806561-7806607	LINE@L1Md_F2(-)
g4	chr19:8059625-8059641	LINE@L1Md_F3(-), LINE@L1Md_F3(-)
g4	chr19:8174028-8174053	LINE@L1Md_F2(+)
g4	chr19:8213011-8213035	LINE@L1_Mus2(+), LTR@ORR1A4(+)
g4	chr19:8252115-8252152	LTR@MMERVK10C-int(-)
g4	chr19:8390545-8390569	LTR@ERVB4_1B-LTR_MM(+), LTR@ERVB4_1B-I_MM-int(+)
g4	chr19:8540165-8540213	LINE@L1_Mus2(-)
g4	chr19:9096317-9096342	LINE@Lx2(+), LINE@Lx2(+), LINE@Lx10(-)
g4	chr19:9366453-9366484	LINE@L2b(-), LINE@L1_Mus2(-)
g4	chr19:9450388-9450408	LINE@Lx8(-), LINE@L1_Mus1(-)
g4	chr19:9464671-9464721	LINE@L1Md_F2(+), LTR@MERVL-int(+)
g4	chr19:9549279-9549303	LTR@RLTR6B_Mm(+)
g4	chr19:9774615-9774654	LINE@L1_Mus2(+)
g4	chr19:10479297-10479321	LINE@L1_Mus1(+)
g4	chr19:11715469-11715505	LINE@L1_Mus1(-), LINE@L1Md_F2(-)
g4	chr19:11750770-11750817	LINE@L1_Mus3(-)
g4	chr19:11873394-11873439	LINE@L1_Mus1(+), LTR@RMER16-int(-)
g4	chr19:11902273-11902298	LINE@L1_Mus4(+), LINE@L1MB1(+), LTR@ORR1D2(+)
g4	chr19:12386508-12386555	LINE@L1_Mus2(+)
g4	chr19:12751269-12751296	LINE@L1_Mus1(+)
g4	chr19:13174947-13174973	LTR@RMER17D2(-)
g4	chr19:13292324-13292377	LINE@L1Md_F2(+), LINE@Lx6(+)
g4	chr19:13431056-13431075	LINE@Lx3C(+), LINE@L1_Mus1(-)
g4	chr19:13561019-13561037	LINE@L1Md_F2(+)
g4	chr19:13638512-13638538	LINE@L1_Mus1(+), LINE@L1_Mus2(-)
g4	chr19:13994106-13994130	LTR@RMER17D2(-), LTR@RMER17D2(-)
g4	chr19:14069585-14069622	LINE@L1_Mus1(+), LTR@ORR1C1(+), LINE@L1_Rod(-)
g4	chr19:14141148-14141181	LTR@MTE-int(+), LINE@L1_Mus2(-)
g4	chr19:14216052-14216072	LINE@Lx3A(-)
g4	chr19:14380176-14380226	LINE@L1Md_F2(-)
g4	chr19:14769943-14769968	LTR@ORR1D1(+), LTR@ORR1D1(+)
g4	chr19:15016237-15016262	LTR@MTA_Mm(-)
g4	chr19:15581957-15581982	LINE@L1Md_F2(+)
g4	chr19:16572714-16572744	LINE@Lx5(-), LINE@Lx5(-)
g4	chr19:16804819-16804914	LINE@Lx4B(+)
g4	chr19:16813048-16813071	LINE@Lx2B(-), LINE@Lx2B(+)
g4	chr19:16892106-16892134	LINE@Lx3A(+), LINE@Lx3A(+)
g4	chr19:17037553-17037569	LTR@MTA_Mm(+), LTR@MTA_Mm-int(+)
g4	chr19:17044427-17044448	LINE@L1Md_F2(-), LINE@L1Md_F2(-)
g4	chr19:17253654-17253677	LINE@Lx3B(-)
g4	chr19:17507497-17507527	LINE@L1_Mus3(-)
g4	chr19:17608644-17608680	LINE@L1_Mus4(+)
g4	chr19:17935503-17935527	LTR@RMER13A(-)
g4	chr19:18119625-18119649	LINE@L1_Mus3(+)
g4	chr19:18170021-18170056	LINE@L1Md_T(-), LTR@ORR1B1(+)
g4	chr19:18328903-18328932	LINE@Lx3A(-), LINE@Lx3A(+), LINE@L1MEd(-)
g4	chr19:18383017-18383048	LINE@L1_Mus1(+)
g4	chr19:19139669-19139743	LINE@Lx(+)
g4	chr19:19382123-19382149	LINE@L1_Mus1(+), LINE@L1M2(-)
g4	chr19:19410617-19410652	LINE@L1_Mur3(-), LINE@L1_Mus2(-)
g4	chr19:19412434-19412461	LINE@L1_Mus2(+)
g4	chr19:19709817-19709871	LINE@L1Md_F2(+)
g4	chr19:19740433-19740489	LTR@RLTR22_Mur(-), LINE@L1Md_F3(+), LTR@RLTR22_Mur(-)
g4	chr19:19786792-19786841	LINE@L1Md_F2(+), LINE@L1_Mur2(+)
g4	chr19:19790814-19790846	LINE@L1MA9(-), LINE@L1_Mus4(+), LINE@L1MA9(-)
g4	chr19:19891304-19891377	LINE@L1Md_F2(+)
g4	chr19:20054244-20054292	LINE@L1_Mus3(-), LINE@L1_Mus2(-)
g4	chr19:20317962-20318010	LINE@L1Md_F2(+), LINE@Lx6(+)
g4	chr19:20588785-20588812	LINE@L1Md_F2(+), LINE@Lx7(+)
g4	chr19:21424177-21424199	LTR@RMER17C(+)
g4	chr19:21985618-21985668	LINE@L1MC1(-), LINE@L1Md_F3(-), LINE@L1MC1(-)
g4	chr19:22016295-22016321	LINE@Lx2(-)
g4	chr19:22557044-22557064	LINE@Lx2(+)
g4	chr19:22813381-22813429	LINE@L1Md_F3(-)
g4	chr19:24228335-24228360	LTR@ORR1A1-int(+)
g4	chr19:24314091-24314113	LINE@L1_Mus3(-)
g4	chr19:24809340-24809392	LINE@L1_Mus2(+), LTR@MTA_Mm(+)
g4	chr19:24992996-24993038	LINE@Lx5b(-)
g4	chr19:25270193-25270228	LTR@RMER17C(+)
g4	chr19:25854514-25854586	LINE@L1Md_F2(+)
g4	chr19:25885848-25885874	LINE@L1_Mus1(-)
g4	chr19:26138986-26139013	LTR@RMER19B(-)
g4	chr19:27559517-27559548	LINE@L1Md_F2(-)
g4	chr19:27559697-27559722	LINE@L1Md_F2(-)
g4	chr19:27740032-27740061	LTR@RMER4B(-), LTR@ORR1A4(-), LINE@Lx3_Mus(-), LINE@Lx3_Mus(-), LINE@L1_Mus2(-)
g4	chr19:27740224-27740273	LINE@Lx3_Mus(-), LINE@Lx3_Mus(-), LINE@L1_Mus2(-)
g4	chr19:27956667-27956689	LINE@Lx2(-)
g4	chr19:28529682-28529709	LTR@RMER17C(-)
g4	chr19:28596665-28596688	LTR@ORR1B2(+), LINE@Lx(+)
g4	chr19:28596878-28596909	LINE@Lx(+), LINE@L1_Mus1(+)
g4	chr19:29165908-29165929	LTR@LTRIS_Mus(-)
g4	chr19:29330448-29330475	LINE@Lx2A1(+), LTR@MTC(+)
g4	chr19:30275288-30275334	LINE@Lx(+)
g4	chr19:30275351-30275376	LINE@Lx(+)
g4	chr19:30343366-30343425	LINE@Lx3_Mus(-), LINE@L1Md_F2(+)
g4	chr19:30667986-30668039	LINE@L1_Mus1(+)
g4	chr19:31206197-31206252	LTR@ORR1A0(-), LINE@L1Md_T(-), LINE@L1_Mm(+)
g4	chr19:31645734-31645756	LINE@Lx2(+)
g4	chr19:31795963-31795989	LTR@RMER17B(-)
g4	chr19:31796035-31796060	LTR@RMER17B(-)
g4	chr19:31843206-31843270	LINE@L1Md_A(+), LINE@Lx2B2(+)
g4	chr19:32093391-32093430	LINE@L1Md_F3(+), LINE@L1Md_F3(+)
g4	chr19:32588973-32589034	LINE@L1_Mus1(-)
g4	chr19:32939313-32939338	LINE@Lx2(+), LINE@Lx10(+)
g4	chr19:32996052-32996077	LTR@RMER17B(-)
g4	chr19:33112172-33112201	LINE@Lx(-)
g4	chr19:33256813-33256845	LINE@L1MEc(-), LINE@Lx2(-)
g4	chr19:33566454-33566520	LINE@L1Md_F2(+)
g4	chr19:34130689-34130714	LINE@Lx2(-)
g4	chr19:34530533-34530566	LINE@L1_Mus1(+), LINE@L1MEc(+)
g4	chr19:34697019-34697043	LINE@L1_Mus3(+), LTR@RLTR19-int(+)
g4	chr19:35157808-35157844	LTR@MMERGLN_LTR(-)
g4	chr19:35267907-35267939	LINE@Lx5(+), LINE@Lx5b(+)
g4	chr19:35354272-35354311	LINE@L1Md_F3(+), LTR@IAP1-MM_LTR(+)
g4	chr19:35528324-35528350	LINE@Lx(-)
g4	chr19:35528398-35528433	LINE@Lx(-), LINE@Lx(-)
g4	chr19:35658920-35658943	LINE@Lx2(+)
g4	chr19:35700080-35700109	LINE@L1_Mus3(+)
g4	chr19:35762294-35762313	LTR@RLTR45(-), LINE@Lx2B(+)
g4	chr19:35941989-35942017	LINE@L1_Mus2(+), LTR@LTR78B(+)
g4	chr19:36486355-36486380	LTR@RLTR1A2_MM(+)
g4	chr19:36530928-36530970	LINE@L1Md_F2(+), LTR@MTC(+)
g4	chr19:36730387-36730407	LINE@Lx7(+), LINE@Lx(-)
g4	chr19:36730430-36730447	LINE@Lx7(+), LINE@Lx(-)
g4	chr19:38597286-38597308	LINE@Lx3_Mus(-)
g4	chr19:39112430-39112469	LINE@L1_Mus3(-)
g4	chr19:39115316-39115347	LINE@L1_Mur2(-), LINE@L1_Mus1(-)
g4	chr19:39163731-39163756	LINE@L1_Mus1(-)
g4	chr19:39458150-39458199	LINE@L1Md_F2(+), LINE@Lx3B(+)
g4	chr19:39502686-39502752	LINE@L1Md_T(+)
g4	chr19:39578868-39578894	LINE@L1Md_F2(+), LINE@L1_Mus3(-)
g4	chr19:39677264-39677307	LINE@L1Md_F2(-)
g4	chr19:40141305-40141344	LINE@L1_Mus2(-)
g4	chr19:40159222-40159248	LINE@L1Md_F2(+)
g4	chr19:40508460-40508483	LTR@MLT1D(+)
g4	chr19:40758162-40758196	LTR@MTC(-)
g4	chr19:42505744-42505788	LINE@Lx(-)
g4	chr19:43117507-43117559	LINE@L1Md_F2(+)
g4	chr19:43538362-43538399	LTR@RMER17B(-)
g4	chr19:44452277-44452296	LTR@MTB(-), LINE@Lx9(-)
g4	chr19:44539971-44539996	LTR@ORR1B2(-)
g4	chr19:45230877-45230915	LINE@L2c(+)
g4	chr19:49247206-49247226	LINE@L1_Mus2(+)
g4	chr19:49467129-49467195	LINE@L1Md_T(+), LTR@MTE-int(-)
g4	chr19:49555293-49555336	LINE@L1_Mus1(+)
g4	chr19:49685884-49685906	LTR@MuRRS4-int(+)
g4	chr19:50153794-50153822	LINE@L1_Mus1(-)
g4	chr19:50746320-50746361	LINE@L1_Mus2(+)
g4	chr19:50899708-50899757	LINE@L1_Mus2(-)
g4	chr19:50923336-50923361	LINE@L1_Mus4(+)
g4	chr19:51122021-51122044	LINE@Lx7(+), LINE@L1_Mus3(-)
g4	chr19:51198679-51198707	LINE@L1_Mus4(+), LINE@Lx(-)
g4	chr19:51554806-51554839	LINE@Lx(+)
g4	chr19:51817360-51817383	LINE@Lx8(+), LINE@L1_Mus3(-)
g4	chr19:52077307-52077326	LINE@Lx(+)
g4	chr19:52318688-52318724	LINE@L1_Mus4(+), LINE@L1_Mur2(+)
g4	chr19:52320462-52320516	LINE@L1_Mus1(-)
g4	chr19:52356652-52356702	LINE@L1Md_F3(+)
