Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature	miRNA (+)	miRNA (-)	miRNA (intersection)	cCRE (+-200bp)	LINE/LTR (+-200bp)	Feature Group
g4	chrX:151047204-151047230	Fgd1	+	Promoter (<=1kb)		miR-330 (1)		pELS@EM10E0930597, PLS@EM10E0930598		cCRE
g4	chrX:151047385-151047422	Fgd1	+	Promoter (<=1kb)	miR-296 (1), miR-615 (1)	miR-744 (1)		PLS@EM10E0930598, pELS@EM10E0930599		cCRE
g4	chrX:151047647-151047669	Fgd1	+	Promoter (<=1kb)	miR-296 (1)	miR-744 (1)		pELS@EM10E0930599, pELS@EM10E0930600		cCRE
g4	chrX:152202294-152202336	Iqsec2	+	Intron		miR-874 (1)				
g4	chrX:152322069-152322096	Kantr	-	Intron	miR-491 (1)				LTR@MTA_Mm(-), LTR@RMER12C(+)	LINE/LTR
g4	chrX:152769481-152769508	Shroom2	-	Promoter (<=1kb)	miR-365 (1)			PLS (CTCF-bound)@EM10E0930777, pELS (CTCF-bound)@EM10E0930778		cCRE & CTCF
g4	chrX:152769927-152769957	Shroom2	-	Promoter (<=1kb)	miR-296 (1)	miR-615 (1)		pELS (CTCF-bound)@EM10E0930778, pELS (CTCF-bound)@EM10E0930779		cCRE & CTCF
g4	chrX:155734056-155734088	Gm15155	+	Intron		miR-491 (1)			LTR@MTB(-), LINE@L1Md_F2(-)	LINE/LTR
g4	chrX:156892701-156892732	Gm15162	+	Distal Intergenic		miR-874 (1)			LINE@L1_Mus2(+)	LINE/LTR
g4	chrX:157817723-157817743	Klhl34	+	Promoter (<=1kb)	miR-744 (1)			pELS@EM10E0930984, pELS@EM10E0930985		cCRE
g4	chrX:159176063-159176120	Rps6ka3	+	Distal Intergenic	miR-328 (1)				LINE@Lx(-), LINE@L1Md_F2(-)	LINE/LTR
g4	chrX:159414935-159414958	Map7d2	+	Promoter (<=1kb)	miR-744 (1)			PLS@EM10E0931056, pELS@EM10E0931057, pELS@EM10E0931058		cCRE
g4	chrX:159988596-159988628	Map3k15	+	Promoter (<=1kb)	miR-760 (1)					
g4	chrX:160695459-160695498	Gm15242	-	Intron		miR-874 (1)			LINE@L1_Mus2(+), LINE@Lx8(+)	LINE/LTR
g4	chrX:161101174-161101210	Scml2	+	Intron		miR-532 (1)			LTR@MMERGLN_LTR(-), LTR@MMERGLN-int(-)	LINE/LTR
g4	chrX:161717879-161717909	Rai2	+	Promoter (<=1kb)	miR-128 (1)			PLS@EM10E0931282, pELS@EM10E0931283		cCRE
g4	chrX:162643734-162643784	Reps2	-	Promoter (<=1kb)	miR-296 (1)	miR-423 (1), miR-744 (1), miR-876 (1)		PLS (CTCF-bound)@EM10E0931395		cCRE & CTCF
g4	chrX:167246644-167246665	Tlr8	-	Intron	miR-532 (1)				LINE@L1Md_T(+)	LINE/LTR
g4	chrX:167800098-167800134	Gm15238	+	Intron	miR-1/206 (1)	miR-23 (1), miR-532 (1)			LINE@L1_Mus4(+)	LINE/LTR
g4	chrX:169076365-169076388	Gm15261	-	Intron	miR-874 (1)				LINE@Lx8(-)	LINE/LTR
g4	chrX:169572770-169572846	Mid1	+	Distal Intergenic	miR-328 (1)				LINE@L1Md_F2(-), LINE@L1Md_F2(-)	LINE/LTR
g4	chrY:2331734-2331784	Gm29550	+	Promoter (2-3kb)	miR-122 (1)				LINE@L1Md_F2(+)	LINE/LTR
g4	chrY:2533464-2533490	Gm28630	+	Distal Intergenic	miR-299 (1)				LINE@Lx3B(+)	LINE/LTR
g4	chrY:3914485-3914510	Gm28412	+	Distal Intergenic		miR-486 (1), miR-532 (1)			LINE@Lx(+), LINE@L1Md_A(+)	LINE/LTR
g4	chrY:4177486-4177507	Gm29038	-	Distal Intergenic	miR-491 (1)				LINE@Lx(+)	LINE/LTR
g4	chrY:4208665-4208731	Gm28191	+	Distal Intergenic	miR-188 (1), miR-328 (1)				LINE@L1Md_T(-)	LINE/LTR
g4	chrY:4223597-4223621	Gm28191	+	Distal Intergenic	miR-532 (1)				LINE@L1_Mus2(-)	LINE/LTR
g4	chrY:4234898-4234931	Gm28191	+	Intron		miR-133 (1)			LTR@MuRRS4-int(-), LTR@MuRRS4-int(-)	LINE/LTR
g4	chrY:4235916-4235943	Gm28191	+	Intron		miR-150 (1)			LTR@MURVY-LTR(-)	LINE/LTR
h-dna	chr1:3574485-3574513	Gm38148	-	Intron		miR-185 (1)			LINE@L1Md_F2(+)	LINE/LTR
h-dna	chr1:3589178-3589229	Gm38148	-	Intron	miR-185 (3)				LINE@Lx6(+), LINE@Lx6(+)	LINE/LTR
h-dna	chr1:5755012-5755040	Gm37429	-	Distal Intergenic	miR-204/211 (1)				LTR@MTC(-), LINE@Lx8(-), LINE@L1_Mus4(-)	LINE/LTR
h-dna	chr1:7668459-7668489	Rps2-ps2	+	Distal Intergenic	miR-185 (1)				LTR@RMER17A2(-), LTR@RMER17A2(-)	LINE/LTR
h-dna	chr1:7675935-7676022	Rps2-ps2	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:7685524-7685540	Rps2-ps2	+	Distal Intergenic		miR-185 (2)			LINE@L1_Mus3(-)	LINE/LTR
h-dna	chr1:8156156-8156178	Gm38024	-	Distal Intergenic	miR-185 (1)	miR-532 (1)			LTR@RMER17D2(-), LTR@IAPLTR1a_Mm(+)	LINE/LTR
h-dna	chr1:8382822-8382846	Gm38024	-	Intron		miR-185 (2)			LTR@RMER17A2(+), LINE@L1_Mus1(+)	LINE/LTR
h-dna	chr1:8389957-8389978	Gm38024	-	Intron		miR-495 (1)			LTR@RLTR10B(-), LINE@L1_Mus2(-)	LINE/LTR
h-dna	chr1:10376364-10376413	Gm38005	-	Intron	miR-204/211 (1)	miR-185 (2)				
h-dna	chr1:10445055-10445076	Gm38005	-	Intron	miR-532 (1)				LINE@L1Md_F2(-)	LINE/LTR
h-dna	chr1:10857875-10857899	Gm28659	+	Distal Intergenic		miR-185 (2)			LTR@RMER17A2(+)	LINE/LTR
h-dna	chr1:11709055-11709084	Gm38069	+	Intron		miR-185 (2)			LTR@RMER17D2(+)	LINE/LTR
h-dna	chr1:13610755-13610772	Tram1	-	Distal Intergenic	miR-185 (1)				LTR@MTC(-)	LINE/LTR
h-dna	chr1:13739251-13739268	Gm26273	-	Distal Intergenic	miR-185 (1)					
h-dna	chr1:13739435-13739503	Gm26273	-	Distal Intergenic	miR-15/16/195/424/497 (1)					
h-dna	chr1:14133037-14133059	Gm37400	-	Distal Intergenic		miR-185 (1)			LTR@RMER17B(+)	LINE/LTR
h-dna	chr1:14216489-14216514	Eya1	-	Intron		miR-339 (2)			LINE@L1_Mus3(+), LINE@L1M4(+)	LINE/LTR
h-dna	chr1:14685280-14685322	Gm9947	+	Distal Intergenic	miR-151a (1)					
h-dna	chr1:15501200-15501258	Gm37138	+	Intron		let-7/miR-98 (1)			LINE@L1_Mur3(-), LINE@L1_Mur3(+), LINE@L1Md_F2(+)	LINE/LTR
h-dna	chr1:16042470-16042489	Gm7634	+	Distal Intergenic	miR-185 (1)				LTR@RMER17A(-)	LINE/LTR
h-dna	chr1:16478383-16478427	Stau2	-	Intron	miR-491 (1)				LINE@L1Md_F2(+)	LINE/LTR
h-dna	chr1:17634523-17634616	Gm28154	-	Intron	miR-185 (1)	miR-204/211 (1)			LTR@RMER17A(-)	LINE/LTR
h-dna	chr1:18506590-18506621	Gm5252	+	Distal Intergenic	miR-185 (1)	miR-483 (1)			LTR@RMER17D2(-)	LINE/LTR
h-dna	chr1:19553340-19553369	Gm24633	-	Distal Intergenic		miR-495 (1)			LTR@ORR1A1(+), LTR@MLT1J-int(-)	LINE/LTR
h-dna	chr1:21566493-21566518	Gm7658	-	Intron	miR-204/211 (1)				LINE@L1_Mur3(+), LINE@L1_Mur3(+), LINE@L1_Mus3(-)	LINE/LTR
h-dna	chr1:21834098-21834131	Gm38243	-	Intron		miR-185 (1)				
h-dna	chr1:23795876-23795935	B3gat2	+	Intron		miR-185 (6)				
h-dna	chr1:23795978-23796044	B3gat2	+	Intron		miR-185 (5)				
h-dna	chr1:28090004-28090035	Gm19028	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:28090076-28090113	Gm19028	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:28090167-28090218	Gm19028	+	Distal Intergenic	miR-339 (1)	miR-185 (1)				
h-dna	chr1:28090230-28090309	Gm19028	+	Distal Intergenic	miR-339 (4)	miR-185 (1)				
h-dna	chr1:28090340-28090423	Gm19028	+	Distal Intergenic	miR-339 (2)	miR-185 (2)				
h-dna	chr1:28090432-28090485	Gm19028	+	Distal Intergenic	miR-339 (1)	miR-185 (1)				
h-dna	chr1:28090487-28090510	Gm19028	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:28090551-28090598	Gm19028	+	Distal Intergenic		miR-423 (1)				
h-dna	chr1:28090598-28090639	Gm19028	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:28146727-28146822	Gm19028	+	Distal Intergenic	miR-185 (2)					
h-dna	chr1:28753389-28753417	Gm597	-	Distal Intergenic		miR-339 (1)			LTR@RLTR25B(+), LTR@RLTR25B(+)	LINE/LTR
h-dna	chr1:29680280-29680302	AC125120.1	+	Distal Intergenic	miR-185 (1)	miR-483 (2), miR-532 (1)			LTR@RMER17A2(-)	LINE/LTR
h-dna	chr1:30262797-30262840	Gm27430	-	Distal Intergenic		miR-185 (1)			LTR@RMER17C(+)	LINE/LTR
h-dna	chr1:32359014-32359045	Khdrbs2	+	Intron	miR-185 (1)				LTR@MTD(+), LTR@MTD(+)	LINE/LTR
h-dna	chr1:32927278-32927302	Gm37151	-	Distal Intergenic		miR-185 (1)			LTR@RMER17C2(+), LTR@RMER17C2(+)	LINE/LTR
h-dna	chr1:35259125-35259158	Gm25096	-	Distal Intergenic		miR-185 (3)				
h-dna	chr1:35353521-35353550	Gm25096	-	Distal Intergenic	miR-31 (1)				LTR@RMER13B(-)	LINE/LTR
h-dna	chr1:36741613-36741677	4933424G06Rik	+	Promoter (2-3kb)	miR-7 (1)				LTR@ORR1F(-)	LINE/LTR
h-dna	chr1:39019016-39019047	Pdcl3	+	Distal Intergenic	miR-185 (2)				LTR@ORR1C2(-)	LINE/LTR
h-dna	chr1:39192179-39192207	Npas2	+	Promoter (1-2kb)		miR-204/211 (2)				
h-dna	chr1:40475567-40475600	Il18r1	+	Intron	miR-185 (3)			dELS@EM10E0435893		cCRE
h-dna	chr1:40571110-40571136	Slc9a4	+	Distal Intergenic		miR-185 (1)			LTR@RMER17B(+), LTR@RMER13B(+)	LINE/LTR
h-dna	chr1:41220802-41220891	4930448I06Rik	-	Distal Intergenic	miR-185 (3)					
h-dna	chr1:42694861-42694904	Pantr1	-	Promoter (<=1kb)		miR-532 (1)		PLS (CTCF-bound)@EM10E0436174, PLS@EM10E0436175		cCRE & CTCF
h-dna	chr1:42873963-42873986	Gm23126	-	Intron		miR-185 (2)				
h-dna	chr1:43197727-43197752	Fhl2	-	Promoter (<=1kb)	miR-204/211 (1)	miR-185 (1)			LTR@ORR1C2(+)	LINE/LTR
h-dna	chr1:43197828-43197867	Fhl2	-	Promoter (<=1kb)		miR-185 (3)			LTR@ORR1C2(+)	LINE/LTR
h-dna	chr1:43291892-43291911	Gm29040	-	Intron		miR-483 (1)			LTR@MTEa(-)	LINE/LTR
h-dna	chr1:43523078-43523119	Nck2	+	Intron	miR-532 (1)					
h-dna	chr1:43882397-43882418	Gm19587	+	Distal Intergenic		miR-185 (1)			LTR@RMER17B(+)	LINE/LTR
h-dna	chr1:44333232-44333307	Gm5700	-	Promoter (2-3kb)		miR-185 (1)			LTR@MTB(+), LINE@L1_Mus3(-), LTR@ORR1A4(-)	LINE/LTR
h-dna	chr1:46089150-46089191	Dnah7b	+	Intron	miR-744 (1)					
h-dna	chr1:46291123-46291142	Dnah7b	+	Intron		miR-185 (1)			LTR@RLTR28(+)	LINE/LTR
h-dna	chr1:46463565-46463614	Dnah7c	+	Intron	miR-185 (5)	miR-532 (1)				
h-dna	chr1:46463634-46463663	Dnah7c	+	Intron	miR-185 (2)					
h-dna	chr1:46463669-46463694	Dnah7c	+	Intron	miR-185 (2)					
h-dna	chr1:46583159-46583179	Dnah7c	+	Intron		miR-185 (1)			LTR@RMER17D(+), LINE@L1Md_T(+)	LINE/LTR
h-dna	chr1:46960021-46960046	Gm28527	-	Distal Intergenic		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:47407813-47407833	Gm38090	-	Distal Intergenic	miR-339 (1)	miR-7 (1)			LINE@Lx3B(-)	LINE/LTR
h-dna	chr1:47760703-47760728	Gm23829	-	Distal Intergenic	miR-186 (1)				LINE@L1Md_T(+), LINE@Lx9(+)	LINE/LTR
h-dna	chr1:49059324-49059357	Gm22693	+	Distal Intergenic		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:50078575-50078644	Gm8384	+	Distal Intergenic		miR-204/211 (1)				
h-dna	chr1:51687962-51687991	Gm28055	-	Distal Intergenic	miR-185 (1)			dELS@EM10E0437101	LTR@RMER17C2(-), LTR@ORR1B2(+)	cCRE & LINE/LTR
h-dna	chr1:51978434-51978454	Stat4	+	Distal Intergenic		miR-185 (2)			LTR@RMER17B(+)	LINE/LTR
h-dna	chr1:53456283-53456302	Gm25240	-	Intron	miR-185 (1)				LTR@RLTR28(-)	LINE/LTR
h-dna	chr1:53485691-53485713	Gm25240	-	Intron		miR-185 (1)			LTR@RMER17A2(+)	LINE/LTR
h-dna	chr1:53862196-53862225	Hecw2	-	Intron	miR-188 (1), miR-204/211 (1)					
h-dna	chr1:53883235-53883272	Gm24251	-	Intron	miR-204/211 (1)	miR-185 (2)				
h-dna	chr1:54583920-54583947	Gm19637	+	Distal Intergenic		miR-185 (2)			LTR@RLTR1D(-), LTR@RMER17C(+), LTR@RMER17C(+)	LINE/LTR
h-dna	chr1:55173193-55173220	Gm6822	-	Intron	miR-339 (1), miR-874 (1)	miR-185 (1)			LTR@ORR1C2(+)	LINE/LTR
h-dna	chr1:55220091-55220108	Gm10561	+	Intron		miR-185 (1)			LTR@RMER17B(+)	LINE/LTR
h-dna	chr1:55688777-55688794	Plcl1	+	Intron		miR-491 (1)			LTR@RMER17A2(+)	LINE/LTR
h-dna	chr1:55857748-55857816	9130227L01Rik	+	Distal Intergenic	miR-185 (1)				LTR@RMER17D2(-), LTR@RMER17D2(-)	LINE/LTR
h-dna	chr1:56501386-56501473	Gm28240	+	Distal Intergenic		miR-185 (8)				
h-dna	chr1:56501494-56501549	Gm28240	+	Distal Intergenic		miR-185 (6)				
h-dna	chr1:56784834-56784856	Hsfy2	-	Distal Intergenic	miR-185 (1)				LTR@RMER17D2(-)	LINE/LTR
h-dna	chr1:58230396-58230420	Aox4	+	Intron	miR-185 (2)				LTR@RMER17D2(-)	LINE/LTR
h-dna	chr1:58279855-58279886	Aox2	+	Promoter (1-2kb)	miR-185 (2)				LTR@RMER17C(-)	LINE/LTR
h-dna	chr1:60409758-60409786	Abi2	+	Promoter (<=1kb)		miR-483 (1)		PLS@EM10E0439020		cCRE
h-dna	chr1:62136605-62136679	Pard3bos2	-	Promoter (<=1kb)		miR-151a (1)				
h-dna	chr1:62603022-62603079	Gm11600	-	Intron	miR-185 (1)				LTR@RLTR26C_MM(-)	LINE/LTR
h-dna	chr1:62807784-62807861	Gm37121	+	Promoter (1-2kb)	miR-185 (1)	miR-339 (1)				
h-dna	chr1:62887630-62887661	Gm4208	-	Distal Intergenic		miR-483 (2)		dELS@EM10E0439595	LTR@MLT1A1(+)	cCRE & LINE/LTR
h-dna	chr1:63700005-63700029	Dytn	-	Intron		miR-185 (2)			LTR@RMER17A2(+)	LINE/LTR
h-dna	chr1:63988420-63988457	Gm13749	+	Distal Intergenic		miR-185 (2)				
h-dna	chr1:65690442-65690465	Gm8805	+	Distal Intergenic	miR-185 (1)				LTR@RMER17C-int(-), LTR@RMER17C2(-)	LINE/LTR
h-dna	chr1:65690470-65690495	Gm8805	+	Distal Intergenic	miR-185 (1)				LTR@RMER17C2(-)	LINE/LTR
h-dna	chr1:66007773-66007793	Gm8809	-	Distal Intergenic	miR-143 (1)				LTR@RMER17C(-)	LINE/LTR
h-dna	chr1:66510833-66510888	Unc80	+	Exon		miR-1306 (3)				
h-dna	chr1:67304149-67304170	Gm26342	+	Intron	miR-485 (1)	miR-670 (1)			LINE@Lx3A(+)	LINE/LTR
h-dna	chr1:70168063-70168092	Gm28580	-	Intron	miR-185 (2)					
h-dna	chr1:70486339-70486363	Gm37456	-	Intron	miR-185 (2)				LTR@RMER17A2(-)	LINE/LTR
h-dna	chr1:70675334-70675391	Vwc2l	+	Intron	miR-184 (1)					
h-dna	chr1:73810234-73810275	Gm29183	-	Intron	miR-185 (1)					
h-dna	chr1:75252931-75252954	Gm28294	+	Promoter (<=1kb)	miR-1306 (1), miR-532 (1)					
h-dna	chr1:75458866-75458927	Asic4	+	Intron		miR-185 (1)		dELS (CTCF-bound)@EM10E0442186, dELS@EM10E0442187, dELS@EM10E0442188		cCRE & CTCF
h-dna	chr1:75754500-75754519	Gm5257	+	Distal Intergenic	miR-185 (1)				LTR@RMER3D-int(+), LTR@RLTR17(+)	LINE/LTR
h-dna	chr1:76337964-76337986	Gm29069	+	Distal Intergenic	miR-204/211 (1)				LTR@MTC(+)	LINE/LTR
h-dna	chr1:78510245-78510320	Mogat1	+	Promoter (<=1kb)		miR-185 (1)				
h-dna	chr1:83863274-83863299	4933436I20Rik	-	Intron		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:85258481-85258515	C130026I21Rik	-	Intron	miR-185 (1)					
h-dna	chr1:86741802-86741828	Gm29097	-	Intron		miR-339 (1)			LTR@ORR1C2(-)	LINE/LTR
h-dna	chr1:86741889-86741915	Gm29097	-	Intron		miR-339 (1)			LTR@ORR1C2(-)	LINE/LTR
h-dna	chr1:87267005-87267032	Efhd1os	-	Promoter (1-2kb)		miR-185 (1)			LTR@MLT1K(-)	LINE/LTR
h-dna	chr1:87267052-87267083	Efhd1os	-	Promoter (1-2kb)		miR-185 (1)				
h-dna	chr1:87267175-87267243	Efhd1os	-	Promoter (2-3kb)		miR-185 (4)				
h-dna	chr1:88217966-88218015	Gm20528	-	Promoter (<=1kb)		miR-129 (1)			LTR@MLT1A1(-)	LINE/LTR
h-dna	chr1:88572050-88572115	Gm19589	+	Distal Intergenic		miR-185 (5)			LINE@L1Md_F2(-), LTR@ERVB7_1-LTR_MM(+), LTR@RMER10B(+)	LINE/LTR
h-dna	chr1:88849113-88849163	Gm29337	-	Distal Intergenic	miR-185 (1)				LTR@RMER17C(-), LTR@RMER17C(-)	LINE/LTR
h-dna	chr1:90077356-90077382	Iqca	-	Intron		miR-1306 (1)				
h-dna	chr1:90494683-90494709	Gm35048	+	Distal Intergenic		miR-185 (1)			LTR@RLTR51A_Mm(+)	LINE/LTR
h-dna	chr1:90956158-90956218	Prlh	+	Distal Intergenic		miR-185 (1)		CTCF-only (CTCF-bound)@EM10E0445716	LTR@RLTR20C2_MM(+)	LINE/LTR & CTCF
h-dna	chr1:91632938-91632962	Gm28380	+	Distal Intergenic	miR-24 (1)	miR-125 (1)		dELS@EM10E0446071		cCRE
h-dna	chr1:91710490-91710507	Twist2	+	Distal Intergenic	miR-185 (1)					
h-dna	chr1:92977223-92977242	Gpr35	+	Promoter (1-2kb)	miR-185 (1)				LTR@ORR1C2(-)	LINE/LTR
h-dna	chr1:95903973-95903998	Gm22360	-	Distal Intergenic	miR-185 (1)	miR-204/211 (1)			LINE@Lx2(+), LTR@RMER17B(-), LINE@Lx2(+)	LINE/LTR
h-dna	chr1:96460842-96460863	Gm29601	-	Distal Intergenic	miR-873 (1)				LINE@Lx(+)	LINE/LTR
h-dna	chr1:97408041-97408070	Gm7135	+	Intron		miR-185 (1)			LINE@Lx2(-), LINE@L1_Mus4(-)	LINE/LTR
h-dna	chr1:97890933-97890954	Pam	-	Intron	miR-495 (1)				LINE@L1_Mus4(+)	LINE/LTR
h-dna	chr1:98246503-98246530	Gm7952	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:99240460-99240481	Gm23434	+	Distal Intergenic	miR-670 (1)				LINE@Lx3_Mus(-)	LINE/LTR
h-dna	chr1:99245757-99245777	Gm23434	+	Distal Intergenic	miR-185 (1)				LTR@RMER17D2(-)	LINE/LTR
h-dna	chr1:99575679-99575701	Gm18248	-	Distal Intergenic		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:99575731-99575772	Gm18248	-	Distal Intergenic		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:100247045-100247064	Cntnap5b	+	Intron		miR-185 (1)			LINE@Lx2A1(-)	LINE/LTR
h-dna	chr1:100953362-100953380	Gm25537	+	Distal Intergenic		miR-185 (1)			LTR@MTA_Mm(-), LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:104449958-104449980	Gm29140	-	Distal Intergenic	miR-185 (1)				LTR@RMER17A2(-)	LINE/LTR
h-dna	chr1:104482316-104482369	Gm23537	+	Distal Intergenic		miR-185 (1)				
h-dna	chr1:104652235-104652257	Gm29011	-	Distal Intergenic	miR-204/211 (1)	miR-185 (1)			LTR@RMER17C(+)	LINE/LTR
h-dna	chr1:107130291-107130378	Gm15388	-	Distal Intergenic	miR-185 (1)				LTR@RMER17C-int(-), LTR@RMER17C-int(-)	LINE/LTR
h-dna	chr1:109636278-109636319	Gm22159	-	Distal Intergenic	miR-185 (2)				LINE@Lx5c(+)	LINE/LTR
h-dna	chr1:111615045-111615096	Gm29088	-	Distal Intergenic	miR-185 (2)				LTR@MurERV4_19-int(-), LTR@RMER17C(-), LTR@RMER17C(-)	LINE/LTR
h-dna	chr1:112332608-112332662	Gm18406	-	Distal Intergenic	miR-7 (1)					
h-dna	chr1:114830267-114830295	Gm4854	-	Distal Intergenic		miR-339 (1)			LINE@Lx(+), LINE@Lx(+), LTR@MTA_Mm(+)	LINE/LTR
h-dna	chr1:114830439-114830459	Gm4854	-	Distal Intergenic	miR-494 (1)				LINE@Lx(+), LINE@Lx(+), LTR@MTA_Mm(+)	LINE/LTR
h-dna	chr1:116200019-116200054	Gm23393	-	Intron		miR-185 (1)			LINE@Lx(-)	LINE/LTR
h-dna	chr1:119420125-119420172	Inhbb	-	Promoter (2-3kb)		miR-185 (2)		dELS@EM10E0448171, dELS@EM10E0448172, pELS@EM10E0448173		cCRE
h-dna	chr1:120590252-120590313	En1	+	Distal Intergenic		miR-204/211 (2)				
h-dna	chr1:121009421-121009440	Celrr	+	Distal Intergenic		miR-185 (1)			LTR@ORR1D1(+), LTR@ORR1D1(+)	LINE/LTR
h-dna	chr1:122015551-122015571	Gm15394	-	Distal Intergenic	miR-491 (1)					
h-dna	chr1:123269195-123269222	Gm20058	+	Distal Intergenic		miR-204/211 (1)			LTR@RMER17A2(-)	LINE/LTR
h-dna	chr1:123313522-123313541	Gm28912	+	Distal Intergenic		miR-185 (1)			LTR@RMER17C2(+)	LINE/LTR
h-dna	chr1:124369132-124369159	Gm38073	-	Intron	miR-1306 (1)					
h-dna	chr1:124939710-124939733	Dpp10	-	Distal Intergenic	miR-185 (2)					
h-dna	chr1:127093086-127093145	Gm5261	-	Distal Intergenic		miR-185 (1)			LTR@RMER17B2(+), LTR@RMER17B2(+)	LINE/LTR
h-dna	chr1:129273426-129273457	Thsd7b	+	Promoter (<=1kb)		miR-151a (1)		PLS (CTCF-bound)@EM10E0449585, PLS (CTCF-bound)@EM10E0449586		cCRE & CTCF
h-dna	chr1:130589089-130589138	Gm23623	-	Intron	miR-185 (1)				LINE@Lx9(-), LINE@Lx9(-)	LINE/LTR
h-dna	chr1:132131788-132131814	Gm29629	+	Intron	miR-873 (2)				LINE@L1MA8(+)	LINE/LTR
h-dna	chr1:133163566-133163593	Plekha6	+	Promoter (<=1kb)	miR-204/211 (1)			dELS@EM10E0450858, dELS (CTCF-bound)@EM10E0450859		cCRE & CTCF
h-dna	chr1:135466024-135466052	Nav1	-	Promoter (1-2kb)	miR-423 (1)	miR-532 (1)				
h-dna	chr1:137296552-137296571	1700006P03Rik	-	Distal Intergenic	miR-185 (1)				LTR@ORR1E-int(+)	LINE/LTR
h-dna	chr1:137296577-137296643	1700006P03Rik	-	Distal Intergenic	miR-185 (5)				LTR@ORR1E-int(+)	LINE/LTR
h-dna	chr1:137296655-137296672	1700006P03Rik	-	Distal Intergenic	miR-185 (1)				LTR@ORR1E(+)	LINE/LTR
h-dna	chr1:138659611-138659658	Gm5833	-	Intron	miR-185 (4)				LTR@RMER17A(-), LTR@RMER17A(-)	LINE/LTR
h-dna	chr1:141101952-141101989	Gm4845	-	Distal Intergenic	miR-204/211 (2)	miR-185 (1)			LTR@ORR1A1(-)	LINE/LTR
h-dna	chr1:141474795-141474826	Gm37142	-	Distal Intergenic		miR-185 (2)			LTR@RMER17D(+)	LINE/LTR
h-dna	chr1:141474861-141474906	Gm37142	-	Distal Intergenic		miR-185 (1)			LTR@RMER17D(+)	LINE/LTR
h-dna	chr1:141474924-141474959	Gm37142	-	Distal Intergenic		miR-185 (2)			LTR@RMER17D(+), LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:141475001-141475052	Gm37142	-	Distal Intergenic		miR-185 (2)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:141475128-141475169	Gm37142	-	Distal Intergenic		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:141475316-141475369	Gm37142	-	Distal Intergenic	miR-204/211 (1)	miR-185 (1)			LTR@RMER17A(+), LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:141475402-141475435	Gm37142	-	Distal Intergenic	miR-204/211 (1)	miR-185 (2)			LTR@RMER17A(+), LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:141475470-141475495	Gm37142	-	Distal Intergenic		miR-185 (2)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:141475523-141475552	Gm37142	-	Distal Intergenic		miR-185 (1)			LTR@RMER17A(+)	LINE/LTR
h-dna	chr1:144436486-144436508	Rgs21	-	Distal Intergenic	miR-185 (1)				LINE@Lx2(-), LINE@Lx2(+)	LINE/LTR
h-dna	chr1:146407356-146407377	Gm5263	+	Distal Intergenic		miR-495 (1)			LINE@L1_Mus3(+), LINE@L1_Mus3(-)	LINE/LTR
h-dna	chr1:147294035-147294108	Gm9931	-	Distal Intergenic	miR-532 (1)	miR-185 (1)				
h-dna	chr1:147508805-147508835	Gm17867	-	Promoter (2-3kb)	miR-185 (1)	miR-339 (1), miR-532 (1)			LINE@Lx2B2(+)	LINE/LTR
h-dna	chr1:150179403-150179435	Ptgs2os2	-	Distal Intergenic		miR-185 (2)				
h-dna	chr1:150645006-150645030	Gm20631	+	Intron		miR-185 (2)			LTR@RMER17A2(+)	LINE/LTR
h-dna	chr1:152205582-152205637	Gm8964	+	Distal Intergenic		miR-185 (1)			LTR@RMER17D2(+)	LINE/LTR
h-dna	chr1:153090383-153090460	Gm28960	-	Promoter (<=1kb)		miR-185 (2)		pELS (CTCF-bound)@EM10E0454735	LINE@L3(+)	cCRE & LINE/LTR & CTCF
h-dna	chr1:154087891-154087986	Gm25336	-	Intron	miR-185 (1)				LTR@RMER6C(+), LTR@RMER6C(+)	LINE/LTR
h-dna	chr1:154360394-154360431	Gm18727	-	Distal Intergenic		miR-185 (1)			LINE@L1MA5(-), LINE@L1MA5(-)	LINE/LTR
h-dna	chr1:154360435-154360459	Gm18727	-	Distal Intergenic		miR-185 (1)			LINE@L1MA5(-), LINE@L1MA5(-)	LINE/LTR
h-dna	chr1:154966038-154966056	Gm29441	+	Distal Intergenic		miR-185 (1)			LTR@RMER17B(+)	LINE/LTR
