Gene ID	Gene Name	Gene Type	g4	h-dna	sidd	z-dna	Flipon types
ENSMUSG00000117021.1	Gm49826	processed_pseudogene			1.0		S
ENSMUSG00000117018.1	Gm7217	processed_pseudogene	1.0				G
ENSMUSG00000084379.1	Gm12957	processed_pseudogene				1.0	Z
ENSMUSG00000084326.1	Gm12820	processed_pseudogene			1.0		S
ENSMUSG00000084260.1	Gm12844	processed_pseudogene	1.0				G
ENSMUSG00000116949.1	Gm7177	processed_pseudogene	1.0				G
ENSMUSG00000081307.1	Gm13627	processed_pseudogene		6.0			H
ENSMUSG00000084208.1	Gm12792	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000116936.1	Bod1-ps	processed_pseudogene	1.0				G
ENSMUSG00000084130.1	Gm11704	processed_pseudogene				1.0	Z
ENSMUSG00000082093.2	Gm15928	processed_pseudogene		1.0	2.0		HS
ENSMUSG00000081273.1	Gm15896	processed_pseudogene				1.0	Z
ENSMUSG00000084098.1	Gm13422	processed_pseudogene	2.0			1.0	GZ
ENSMUSG00000116824.1	Gm18021	processed_pseudogene		1.0			H
ENSMUSG00000081310.1	Gm14054	processed_pseudogene		1.0			H
ENSMUSG00000084094.1	Gm13961	processed_pseudogene			1.0		S
ENSMUSG00000116790.1	Gm49596	processed_pseudogene		2.0			H
ENSMUSG00000116777.1	Zfp520-ps	processed_pseudogene				5.0	Z
ENSMUSG00000116768.1	Gm18269	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000044538.10	Obox3-ps8	processed_pseudogene			1.0		S
ENSMUSG00000117170.1	Gm19197	processed_pseudogene		2.0			H
ENSMUSG00000083990.1	Gm12101	processed_pseudogene	1.0			2.0	GZ
ENSMUSG00000081272.1	Ap2m1-ps	processed_pseudogene		5.0			H
ENSMUSG00000083964.1	Gm14122	processed_pseudogene	1.0				G
ENSMUSG00000116640.1	Gm8670	processed_pseudogene				2.0	Z
ENSMUSG00000116634.1	Gm7531	processed_pseudogene				1.0	Z
ENSMUSG00000046341.5	Gm11223	processed_pseudogene			1.0		S
ENSMUSG00000083128.1	Gm12723	processed_pseudogene				1.0	Z
ENSMUSG00000118439.1	Gm50468	processed_pseudogene	1.0				G
ENSMUSG00000118088.1	Gm3815	processed_pseudogene				1.0	Z
ENSMUSG00000115613.1	Gm48982	processed_pseudogene	2.0	2.0			GH
ENSMUSG00000115587.1	Gm29697	processed_pseudogene	1.0				G
ENSMUSG00000081085.1	Gm13463	processed_pseudogene			1.0		S
ENSMUSG00000083072.2	Gm13668	processed_pseudogene			1.0		S
ENSMUSG00000115397.1	Gm49232	processed_pseudogene				1.0	Z
ENSMUSG00000115347.1	Gm8238	processed_pseudogene				2.0	Z
ENSMUSG00000083027.1	Gm13140	processed_pseudogene				1.0	Z
ENSMUSG00000081070.1	Gm13181	processed_pseudogene				1.0	Z
ENSMUSG00000083018.1	Gm13555	processed_pseudogene		1.0			H
ENSMUSG00000115295.1	Gm19129	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000081068.1	Gm12804	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000082195.3	Gm13034	processed_pseudogene	1.0	1.0	1.0	2.0	GHSZ
ENSMUSG00000115280.1	Gm7107	processed_pseudogene	1.0			4.0	GZ
ENSMUSG00000118512.1	AC160993.1	processed_pseudogene	2.0	2.0			GH
ENSMUSG00000115259.1	Gm49073	processed_pseudogene			1.0		S
ENSMUSG00000083000.1	Gm15678	processed_pseudogene			1.0		S
ENSMUSG00000115254.1	Gm49140	processed_pseudogene		1.0			H
ENSMUSG00000115243.1	Gm5207	processed_pseudogene	1.0				G
ENSMUSG00000082958.1	Gm12731	processed_pseudogene			1.0		S
ENSMUSG00000115163.1	Gm18076	processed_pseudogene				2.0	Z
ENSMUSG00000084386.1	Gm13852	processed_pseudogene		1.0			H
ENSMUSG00000086984.4	Gm6762	processed_pseudogene				1.0	Z
ENSMUSG00000081062.1	Gm13640	processed_pseudogene			1.0		S
ENSMUSG00000115110.1	Gm49269	processed_pseudogene		1.0			H
ENSMUSG00000082950.1	Gm7834	processed_pseudogene			1.0		S
ENSMUSG00000081046.1	Gm12846	processed_pseudogene	1.0				G
ENSMUSG00000081014.1	Gm13714	processed_pseudogene			1.0		S
ENSMUSG00000083074.1	Gm14670	processed_pseudogene	1.0	1.0	1.0		GHS
ENSMUSG00000117458.1	Gm6552	processed_pseudogene				1.0	Z
ENSMUSG00000083077.1	Gm14126	processed_pseudogene			1.0		S
ENSMUSG00000081816.1	Gm15528	processed_pseudogene				1.0	Z
ENSMUSG00000117246.1	Gm17891	processed_pseudogene		1.0			H
ENSMUSG00000117274.1	Gm17921	processed_pseudogene		1.0			H
ENSMUSG00000117285.1	Gm49863	processed_pseudogene	1.0				G
ENSMUSG00000118426.1	Gm2102	processed_pseudogene	3.0			4.0	GZ
ENSMUSG00000081191.1	Gm11271	processed_pseudogene				1.0	Z
ENSMUSG00000115838.1	Gm46507	processed_pseudogene		1.0			H
ENSMUSG00000118408.1	Gm30645	processed_pseudogene			1.0		S
ENSMUSG00000118355.1	Gm38616	processed_pseudogene			1.0		S
ENSMUSG00000117320.1	Gm18070	processed_pseudogene			1.0		S
ENSMUSG00000117344.1	Gm5231	processed_pseudogene				1.0	Z
ENSMUSG00000081553.1	Ccdc50-ps	processed_pseudogene				1.0	Z
ENSMUSG00000081561.1	Gm12425	processed_pseudogene				1.0	Z
ENSMUSG00000115827.1	Gm49261	processed_pseudogene				1.0	Z
ENSMUSG00000080979.3	Gm13675	processed_pseudogene		2.0			H
ENSMUSG00000081587.1	Gm14926	processed_pseudogene		1.0			H
ENSMUSG00000117370.1	Gm6235	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000117403.1	Gm50059	processed_pseudogene		1.0			H
ENSMUSG00000081593.1	Gm11841	processed_pseudogene	1.0	3.0		1.0	GHZ
ENSMUSG00000081183.1	Gm12449	processed_pseudogene			1.0		S
ENSMUSG00000083097.3	Gm14494	processed_pseudogene				1.0	Z
ENSMUSG00000081596.1	Gm15968	processed_pseudogene	1.0			1.0	GZ
ENSMUSG00000082066.1	Gm13904	processed_pseudogene	1.0				G
ENSMUSG00000117447.1	Gm5240	processed_pseudogene			1.0		S
ENSMUSG00000081179.1	Gm13136	processed_pseudogene	1.0			2.0	GZ
ENSMUSG00000081711.1	Gm11785	processed_pseudogene				1.0	Z
ENSMUSG00000115738.1	Gm7543	processed_pseudogene				1.0	Z
ENSMUSG00000083087.1	Gm11249	processed_pseudogene	1.0				G
ENSMUSG00000081153.1	Gm11401	processed_pseudogene		1.0			H
ENSMUSG00000115797.1	Gm48981	processed_pseudogene	1.0				G
ENSMUSG00000081996.1	Gm7153	processed_pseudogene	1.0				G
ENSMUSG00000103845.1	Gm19026	processed_pseudogene	1.0			2.0	GZ
ENSMUSG00000113976.1	Gm18243	processed_pseudogene			1.0		S
ENSMUSG00000099741.1	Gm5253	processed_pseudogene			1.0		S
ENSMUSG00000099692.1	Gm5696	processed_pseudogene	1.0				G
ENSMUSG00000099662.1	Ppp1r2-ps2	processed_pseudogene	1.0	1.0		1.0	GHZ
ENSMUSG00000107921.1	Gm6423	processed_pseudogene			1.0		S
ENSMUSG00000099591.1	Gm17969	processed_pseudogene	1.0				G
ENSMUSG00000107925.1	Gm43957	processed_pseudogene	1.0				G
ENSMUSG00000099750.1	Gm18827	processed_pseudogene			1.0		S
ENSMUSG00000099484.1	Gm28282	processed_pseudogene			1.0		S
ENSMUSG00000107952.1	Gm6352	processed_pseudogene		1.0			H
ENSMUSG00000099342.1	Gm18180	processed_pseudogene				1.0	Z
ENSMUSG00000099220.1	Gm27220	processed_pseudogene			1.0		S
ENSMUSG00000108016.1	Gm8039	processed_pseudogene			1.0		S
ENSMUSG00000108045.1	Gm5576	processed_pseudogene	2.0				G
ENSMUSG00000058816.5	Ppp1r2-ps3	processed_pseudogene		2.0	1.0		HS
ENSMUSG00000107950.1	Gm6375	processed_pseudogene				1.0	Z
ENSMUSG00000056797.6	Gm4889	processed_pseudogene				1.0	Z
ENSMUSG00000099764.1	Rps10-ps2	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000099819.1	Gm28728	processed_pseudogene	1.0				G
ENSMUSG00000107028.1	Gm5043	processed_pseudogene			1.0		S
ENSMUSG00000107092.1	Gm7993	processed_pseudogene			1.0		S
ENSMUSG00000100690.1	Gm4322	processed_pseudogene			1.0	1.0	SZ
ENSMUSG00000107185.1	Gm42642	processed_pseudogene	1.0				G
ENSMUSG00000100592.1	Gm28645	processed_pseudogene				1.0	Z
ENSMUSG00000100439.1	Gm28922	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000100378.1	Rpap3-ps1	processed_pseudogene			1.0		S
ENSMUSG00000107510.1	Gm44057	processed_pseudogene			1.0		S
ENSMUSG00000107513.1	Tgif2-ps1	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000107533.1	Gm44422	processed_pseudogene			1.0		S
ENSMUSG00000100212.1	Gm5522	processed_pseudogene				1.0	Z
ENSMUSG00000107536.1	Gm43955	processed_pseudogene			1.0		S
ENSMUSG00000107788.1	Gm6266	processed_pseudogene			1.0		S
ENSMUSG00000099875.1	Rbm3-ps	processed_pseudogene	1.0				G
ENSMUSG00000107920.1	Gm7783	processed_pseudogene			1.0		S
ENSMUSG00000098935.1	Gm27225	processed_pseudogene		1.0			H
ENSMUSG00000106955.1	Gm42960	processed_pseudogene			1.0		S
ENSMUSG00000108100.1	Gm5876	processed_pseudogene				1.0	Z
ENSMUSG00000098713.1	Rps2-ps5	processed_pseudogene	1.0	1.0		1.0	GHZ
ENSMUSG00000060419.8	Rps16-ps2	processed_pseudogene				1.0	Z
ENSMUSG00000108892.1	Gm9449	processed_pseudogene	1.0	1.0	1.0		GHS
ENSMUSG00000108904.1	Gm45147	processed_pseudogene		14.0			H
ENSMUSG00000108915.1	Gm44966	processed_pseudogene	1.0				G
ENSMUSG00000108963.1	Gm16478	processed_pseudogene			1.0		S
ENSMUSG00000109116.1	Sycp1-ps1	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000059830.3	Gm16380	processed_pseudogene				1.0	Z
ENSMUSG00000109273.1	Gm45101	processed_pseudogene		1.0			H
ENSMUSG00000109448.1	Gm45224	processed_pseudogene	1.0			1.0	GZ
ENSMUSG00000109465.1	Gm19032	processed_pseudogene	1.0				G
ENSMUSG00000109475.1	Gm34272	processed_pseudogene	2.0	1.0			GH
ENSMUSG00000109502.1	Gm18672	processed_pseudogene				1.0	Z
ENSMUSG00000114020.1	Gm48564	processed_pseudogene			1.0		S
ENSMUSG00000109560.1	Gm8463	processed_pseudogene		1.0			H
ENSMUSG00000109375.1	Gm44887	processed_pseudogene	1.0	3.0		1.0	GHZ
ENSMUSG00000097945.1	Gm17799	processed_pseudogene			1.0		S
ENSMUSG00000097965.1	Gm5839	processed_pseudogene			1.0		S
ENSMUSG00000097977.1	Gm5652	processed_pseudogene			1.0		S
ENSMUSG00000108191.1	Gm29803	processed_pseudogene		1.0			H
ENSMUSG00000058933.5	Gm5185	processed_pseudogene			1.0		S
ENSMUSG00000108337.1	Gm4971	processed_pseudogene			1.0		S
ENSMUSG00000098216.1	Gm5181	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000098210.1	Gm5224	processed_pseudogene			1.0		S
ENSMUSG00000098135.1	Gm6946	processed_pseudogene			1.0		S
ENSMUSG00000059776.7	Rpl13-ps6	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000108430.1	Gm36776	processed_pseudogene			1.0		S
ENSMUSG00000098081.1	Gm26913	processed_pseudogene			1.0		S
ENSMUSG00000098056.1	Gm8100	processed_pseudogene			1.0		S
ENSMUSG00000098052.1	Gm5300	processed_pseudogene			1.0		S
ENSMUSG00000108503.1	Gm20949	processed_pseudogene				1.0	Z
ENSMUSG00000098021.2	Gm9522	processed_pseudogene	1.0				G
ENSMUSG00000098009.1	Gm5597	processed_pseudogene				2.0	Z
ENSMUSG00000098006.1	Gm8565	processed_pseudogene	1.0				G
ENSMUSG00000108140.1	Gm44803	processed_pseudogene		2.0			H
ENSMUSG00000100801.1	Gm15459	processed_pseudogene			1.0	2.0	SZ
ENSMUSG00000106910.1	Gm16273	processed_pseudogene			1.0		S
ENSMUSG00000106819.1	Gm43498	processed_pseudogene			1.0		S
ENSMUSG00000102884.1	Gm37281	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000105024.1	Gm43561	processed_pseudogene				1.0	Z
ENSMUSG00000105054.1	Gm43664	processed_pseudogene				23.0	Z
ENSMUSG00000105154.1	Gm20128	processed_pseudogene		1.0			H
ENSMUSG00000105189.1	Gm7774	processed_pseudogene				2.0	Z
ENSMUSG00000105221.1	Gm9332	processed_pseudogene			1.0		S
ENSMUSG00000102972.1	Gm37348	processed_pseudogene			1.0		S
ENSMUSG00000102757.1	Gm2756	processed_pseudogene		1.0	1.0	1.0	HSZ
ENSMUSG00000105336.1	AU022133	processed_pseudogene	1.0	2.0		1.0	GHZ
ENSMUSG00000105397.1	Gm43471	processed_pseudogene				1.0	Z
ENSMUSG00000105422.1	Gm6089	processed_pseudogene				1.0	Z
ENSMUSG00000105452.1	Gm5276	processed_pseudogene			1.0		S
ENSMUSG00000105558.1	Gm5855	processed_pseudogene				6.0	Z
ENSMUSG00000105712.1	Gm5712	processed_pseudogene	1.0				G
ENSMUSG00000102706.1	Gm7417	processed_pseudogene	2.0	1.0		1.0	GHZ
ENSMUSG00000104790.1	Gm43276	processed_pseudogene			1.0		S
ENSMUSG00000104731.1	Gm43249	processed_pseudogene				1.0	Z
ENSMUSG00000103137.1	Gm37981	processed_pseudogene			1.0	1.0	SZ
ENSMUSG00000103856.1	Gm2474	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000103698.1	Gm17877	processed_pseudogene	2.0	3.0			GH
ENSMUSG00000103921.1	Gm5841	processed_pseudogene	1.0				G
ENSMUSG00000103650.1	Gm37207	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000104224.1	Gm37693	processed_pseudogene			1.0		S
ENSMUSG00000104352.1	Gm7182	processed_pseudogene			1.0		S
ENSMUSG00000104440.1	Gm19030	processed_pseudogene				1.0	Z
ENSMUSG00000104496.1	Gm5837	processed_pseudogene			1.0		S
ENSMUSG00000104534.1	Gm18660	processed_pseudogene				1.0	Z
ENSMUSG00000103367.1	Gm38158	processed_pseudogene				2.0	Z
ENSMUSG00000104540.1	Gm3527	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000103306.1	Gm37801	processed_pseudogene		1.0			H
ENSMUSG00000103279.1	Gm3351	processed_pseudogene		1.0			H
ENSMUSG00000104730.1	Gm42511	processed_pseudogene	1.0	5.0			GH
ENSMUSG00000103147.1	Gm7341	processed_pseudogene				1.0	Z
ENSMUSG00000105808.1	Gm42627	processed_pseudogene				1.0	Z
ENSMUSG00000105892.1	Gm35013	processed_pseudogene			1.0		S
ENSMUSG00000105901.1	Gm7291	processed_pseudogene			1.0	2.0	SZ
ENSMUSG00000105944.1	Gm5075	processed_pseudogene				1.0	Z
ENSMUSG00000101803.1	Gm28419	processed_pseudogene			1.0		S
ENSMUSG00000101800.1	Rnf170-ps	processed_pseudogene			1.0	2.0	SZ
ENSMUSG00000082319.3	Actr3-ps	processed_pseudogene	1.0	1.0	1.0		GHS
ENSMUSG00000106559.1	Gm43680	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000101597.2	Gm5621	processed_pseudogene			1.0		S
ENSMUSG00000101550.1	Gm29385	processed_pseudogene		1.0			H
ENSMUSG00000101387.1	Pced1c-ps	processed_pseudogene				1.0	Z
ENSMUSG00000101372.1	Gm19028	processed_pseudogene			1.0		S
ENSMUSG00000101306.1	Gm5252	processed_pseudogene			1.0		S
ENSMUSG00000101235.1	Gm18033	processed_pseudogene		1.0			H
ENSMUSG00000101220.1	Gm6717	processed_pseudogene			1.0		S
ENSMUSG00000106569.1	Gm43036	processed_pseudogene			1.0		S
ENSMUSG00000106619.1	Gm9353	processed_pseudogene	1.0				G
ENSMUSG00000101077.1	Gm29164	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000100929.1	Gm28064	processed_pseudogene			1.0		S
ENSMUSG00000106476.1	Rpl36-ps9	processed_pseudogene				2.0	Z
ENSMUSG00000109609.1	Gm4972	processed_pseudogene		2.0		1.0	HZ
ENSMUSG00000101841.1	Gm11993	processed_pseudogene				1.0	Z
ENSMUSG00000106444.1	Gm18748	processed_pseudogene	1.0				G
ENSMUSG00000102463.1	1700003N22Rik	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000102442.1	Gm37103	processed_pseudogene			1.0		S
ENSMUSG00000106011.1	Gm43833	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000102399.1	Gm5049	processed_pseudogene			1.0	1.0	SZ
ENSMUSG00000106059.1	Gm9364	processed_pseudogene		1.0		3.0	HZ
ENSMUSG00000106084.1	Gm18163	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000102270.1	Gm8388	processed_pseudogene				1.0	Z
ENSMUSG00000106204.1	Gm21009	processed_pseudogene				1.0	Z
ENSMUSG00000106239.1	Gm9260	processed_pseudogene			1.0		S
ENSMUSG00000102213.1	Gm37489	processed_pseudogene			1.0		S
ENSMUSG00000106274.1	Gm42828	processed_pseudogene	1.0				G
ENSMUSG00000053208.10	Kat2b-ps	processed_pseudogene				1.0	Z
ENSMUSG00000102126.1	Gm29143	processed_pseudogene		1.0	3.0	1.0	HSZ
ENSMUSG00000106399.1	Gm43530	processed_pseudogene	3.0	2.0		3.0	GHZ
ENSMUSG00000106433.1	Gm32102	processed_pseudogene	1.0				G
ENSMUSG00000101878.1	Gm8203	processed_pseudogene				1.0	Z
ENSMUSG00000109614.1	Gm45252	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000109553.1	Gm17992	processed_pseudogene			1.0		S
ENSMUSG00000109630.1	Gm45364	processed_pseudogene			1.0		S
ENSMUSG00000112823.1	Gm6125	processed_pseudogene				2.0	Z
ENSMUSG00000112939.1	Gm48251	processed_pseudogene	1.0				G
ENSMUSG00000112975.1	Gm21297	processed_pseudogene	3.0			4.0	GZ
ENSMUSG00000112994.1	Gm46312	processed_pseudogene	1.0	1.0	1.0		GHS
ENSMUSG00000112997.1	Gm49386	processed_pseudogene				1.0	Z
ENSMUSG00000092374.1	Gm6623	processed_pseudogene				1.0	Z
ENSMUSG00000112717.1	Gm6362	processed_pseudogene		3.0			H
ENSMUSG00000092301.1	Gm6887	processed_pseudogene				1.0	Z
ENSMUSG00000113053.1	Gm18262	processed_pseudogene			1.0	1.0	SZ
ENSMUSG00000113077.1	Gm49379	processed_pseudogene	2.0			4.0	GZ
ENSMUSG00000092238.1	Gm6004	processed_pseudogene	1.0			1.0	GZ
ENSMUSG00000113132.1	Gm9231	processed_pseudogene		1.0			H
ENSMUSG00000073716.6	Gm13241	processed_pseudogene	1.0			1.0	GZ
ENSMUSG00000113169.1	Gm6171	processed_pseudogene		1.0		1.0	HZ
ENSMUSG00000092289.1	Gm6659	processed_pseudogene				1.0	Z
ENSMUSG00000092191.1	Gm7211	processed_pseudogene	1.0				G
ENSMUSG00000112712.1	Gm18755	processed_pseudogene			1.0	1.0	SZ
ENSMUSG00000048559.5	4930555K19Rik	processed_pseudogene	1.0				G
ENSMUSG00000112154.1	Gm48777	processed_pseudogene	1.0				G
ENSMUSG00000112215.1	Gm2089	processed_pseudogene	1.0				G
ENSMUSG00000112282.1	Gm19989	processed_pseudogene			1.0		S
ENSMUSG00000097679.1	Rps19-ps5	processed_pseudogene		1.0			H
ENSMUSG00000112313.1	Gm5951	processed_pseudogene				1.0	Z
ENSMUSG00000112371.1	Gm7791	processed_pseudogene				2.0	Z
ENSMUSG00000103725.1	Gm7103	processed_pseudogene			1.0		S
ENSMUSG00000093751.1	Gm3307	processed_pseudogene			1.0		S
ENSMUSG00000093686.1	Gm4705	processed_pseudogene	1.0				G
ENSMUSG00000112465.1	Gm18387	processed_pseudogene		1.0			H
ENSMUSG00000112472.1	Gm48083	processed_pseudogene			1.0		S
ENSMUSG00000112560.1	Gm19186	processed_pseudogene			1.0		S
ENSMUSG00000093552.1	Gm5777	processed_pseudogene		2.0			H
ENSMUSG00000112612.1	Gm7775	processed_pseudogene	1.0				G
ENSMUSG00000093716.1	Gm19815	processed_pseudogene		1.0			H
ENSMUSG00000113188.1	Gm35638	processed_pseudogene			1.0		S
ENSMUSG00000092097.2	Gm5819	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000113192.1	Gm18032	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000091117.1	Gm9064	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000113740.1	Gm8598	processed_pseudogene	1.0				G
ENSMUSG00000090737.1	Gm6788	processed_pseudogene				2.0	Z
ENSMUSG00000113754.1	Gm47401	processed_pseudogene		2.0	1.0		HS
ENSMUSG00000090671.1	Gm5067	processed_pseudogene				1.0	Z
ENSMUSG00000113777.1	Gm48060	processed_pseudogene			2.0	1.0	SZ
ENSMUSG00000075390.5	Rpl36-ps8	processed_pseudogene				1.0	Z
ENSMUSG00000047347.7	Tdg-ps	processed_pseudogene				2.0	Z
ENSMUSG00000113861.1	Gm6190	processed_pseudogene				1.0	Z
ENSMUSG00000113876.1	Gm48042	processed_pseudogene	3.0			3.0	GZ
ENSMUSG00000090179.1	Gm16307	processed_pseudogene			1.0		S
ENSMUSG00000113921.1	Gm48054	processed_pseudogene				2.0	Z
ENSMUSG00000113964.1	Gm48667	processed_pseudogene	2.0			4.0	GZ
ENSMUSG00000030735.6	Gm9755	processed_pseudogene				1.0	Z
ENSMUSG00000113798.1	Gm47385	processed_pseudogene	1.0			5.0	GZ
ENSMUSG00000091285.2	Gm17430	processed_pseudogene		1.0			H
ENSMUSG00000113728.1	Gm7622	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000113661.1	Gm48169	processed_pseudogene				2.0	Z
ENSMUSG00000113205.1	Gm48525	processed_pseudogene	2.0			2.0	GZ
ENSMUSG00000113212.1	Gm47435	processed_pseudogene		1.0	1.0		HS
ENSMUSG00000113337.1	Gm19220	processed_pseudogene		1.0			H
ENSMUSG00000091887.1	Gm17053	processed_pseudogene	1.0				G
ENSMUSG00000091818.3	Rpl19-ps4	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000113397.1	Gm9194	processed_pseudogene	1.0				G
ENSMUSG00000091695.2	Gm17669	processed_pseudogene		1.0			H
ENSMUSG00000113402.1	Gm40848	processed_pseudogene	3.0			4.0	GZ
ENSMUSG00000113403.1	Gm9315	processed_pseudogene	1.0				G
ENSMUSG00000113407.1	Gm47437	processed_pseudogene	1.0			3.0	GZ
ENSMUSG00000113512.1	Gm9063	processed_pseudogene	1.0			2.0	GZ
ENSMUSG00000113552.1	Gm48046	processed_pseudogene				1.0	Z
ENSMUSG00000074903.5	Gm2058	processed_pseudogene				1.0	Z
ENSMUSG00000091460.2	Gm7808	processed_pseudogene	2.0				G
ENSMUSG00000113574.1	Gm48037	processed_pseudogene	3.0			4.0	GZ
ENSMUSG00000094202.1	Mup-ps26	processed_pseudogene	1.0			2.0	GZ
ENSMUSG00000094344.1	Gm11942	processed_pseudogene			1.0		S
ENSMUSG00000082255.1	Gm11822	processed_pseudogene		2.0			H
ENSMUSG00000112140.1	Gm5780	processed_pseudogene	1.0			1.0	GZ
ENSMUSG00000096361.2	Gm5814	processed_pseudogene		1.0		1.0	HZ
ENSMUSG00000096517.1	Gm6919	processed_pseudogene		4.0			H
ENSMUSG00000111819.1	Gm47110	processed_pseudogene				1.0	Z
ENSMUSG00000110219.1	Gm45317	processed_pseudogene		1.0			H
ENSMUSG00000111589.1	Gm4042	processed_pseudogene				2.0	Z
ENSMUSG00000111373.1	Gm48818	processed_pseudogene				1.0	Z
ENSMUSG00000111191.1	Gm6015	processed_pseudogene				1.0	Z
ENSMUSG00000111119.1	Gm34005	processed_pseudogene				1.0	Z
ENSMUSG00000110283.1	Gm45249	processed_pseudogene			1.0		S
ENSMUSG00000111112.1	Gm49389	processed_pseudogene			1.0		S
ENSMUSG00000049231.6	Gm12497	processed_pseudogene	1.0	1.0	1.0		GHS
ENSMUSG00000110882.1	Gm7642	processed_pseudogene		1.0			H
ENSMUSG00000110875.1	Gm47100	processed_pseudogene			1.0		S
ENSMUSG00000110637.1	Gm7807	processed_pseudogene	1.0	1.0			GH
ENSMUSG00000110297.1	Gm45647	processed_pseudogene		1.0	1.0	1.0	HSZ
ENSMUSG00000049477.5	Gm8508	processed_pseudogene	1.0			1.0	GZ
ENSMUSG00000110837.1	Gm18729	processed_pseudogene				1.0	Z
ENSMUSG00000110822.1	Gm18305	processed_pseudogene	1.0				G
ENSMUSG00000110734.1	Gm18934	processed_pseudogene				2.0	Z
ENSMUSG00000060777.4	Gm10087	processed_pseudogene				1.0	Z
ENSMUSG00000110700.1	Gm5357	processed_pseudogene			1.0		S
ENSMUSG00000024761.3	Gm16437	processed_pseudogene		1.0	2.0	1.0	HSZ
ENSMUSG00000110651.1	Gm45770	processed_pseudogene			1.0		S
ENSMUSG00000060989.8	Gm11847	processed_pseudogene				3.0	Z
ENSMUSG00000110644.1	Gm7390	processed_pseudogene				2.0	Z
ENSMUSG00000061486.7	Gm5161	processed_pseudogene				1.0	Z
ENSMUSG00000097366.1	Gm8177	processed_pseudogene	2.0	1.0			GH
ENSMUSG00000110413.1	Gm45409	processed_pseudogene			1.0		S
ENSMUSG00000110856.1	Gm49264	processed_pseudogene		1.0	1.0	1.0	HSZ
ENSMUSG00000096171.1	Gm8055	processed_pseudogene		1.0			H
ENSMUSG00000096233.1	Gm13238	processed_pseudogene				1.0	Z
ENSMUSG00000111884.1	Gm19612	processed_pseudogene			1.0		S
ENSMUSG00000112127.1	Gm48886	processed_pseudogene		1.0		1.0	HZ
ENSMUSG00000072407.4	Gm6419	processed_pseudogene		1.0			H
ENSMUSG00000071671.5	Gm10343	processed_pseudogene		1.0			H
ENSMUSG00000071207.4	Gm8587	processed_pseudogene	1.0				G
ENSMUSG00000071151.3	Gm4799	processed_pseudogene			1.0	1.0	SZ
ENSMUSG00000071035.5	Gm5499	processed_pseudogene			1.0		S
ENSMUSG00000109797.1	Stambp-ps2	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000051548.4	Gm6365	processed_pseudogene		1.0			H
ENSMUSG00000094790.2	Gm6625	processed_pseudogene		1.0			H
ENSMUSG00000040323.13	Gm15429	processed_pseudogene			1.0		S
ENSMUSG00000070641.3	Gm16410	processed_pseudogene	1.0				G
ENSMUSG00000112124.1	Gm19056	processed_pseudogene				1.0	Z
ENSMUSG00000096160.2	Gm3436	processed_pseudogene				1.0	Z
ENSMUSG00000095054.1	Gm13146	processed_pseudogene	1.0			2.0	GZ
ENSMUSG00000110492.1	Gm5358	processed_pseudogene		1.0			H
ENSMUSG00000110113.1	Gm45439	processed_pseudogene				1.0	Z
ENSMUSG00000069620.6	Gm5250	processed_pseudogene				3.0	Z
ENSMUSG00000069315.2	Gm7731	processed_pseudogene				1.0	Z
ENSMUSG00000068689.8	Rps19-ps9	processed_pseudogene		1.0			H
ENSMUSG00000110124.1	Gm4247	processed_pseudogene	1.0		1.0		GS
ENSMUSG00000066389.1	Rpl31-ps1	processed_pseudogene			1.0		S
ENSMUSG00000112063.1	Gm32220	processed_pseudogene	1.0				G
ENSMUSG00000049891.4	Gm7984	processed_pseudogene			1.0		S
ENSMUSG00000112072.1	Gm47244	processed_pseudogene		1.0			H
ENSMUSG00000066270.3	Gm10157	processed_pseudogene	1.0	2.0	1.0		GHS
ENSMUSG00000066068.5	Gm13611	processed_pseudogene		1.0		3.0	HZ
ENSMUSG00000095638.2	Gm8888	processed_pseudogene				1.0	Z
