Flipon	Coordinates	cCRE (+-200bp)
g4	chr13:55963154-55963192	dELS@EM10E0562488, dELS (CTCF-bound)@EM10E0562489
g4	chr13:56209245-56209273	dELS@EM10E0562613, dELS@EM10E0562614
g4	chr13:56221368-56221401	dELS@EM10E0562618
g4	chr13:56221671-56221696	dELS@EM10E0562618, dELS@EM10E0562619
g4	chr13:56251393-56251420	pELS@EM10E0562632, pELS@EM10E0562633
g4	chr13:56252451-56252482	PLS@EM10E0562635, pELS@EM10E0562636
g4	chr13:56252825-56252853	pELS@EM10E0562637
g4	chr13:56259198-56259253	dELS@EM10E0562644, dELS@EM10E0562645
g4	chr13:56296011-56296030	pELS@EM10E0562659, pELS@EM10E0562660, PLS@EM10E0562661
g4	chr13:56296382-56296407	PLS@EM10E0562661, PLS@EM10E0562662
g4	chr13:56296515-56296546	PLS@EM10E0562662, pELS@EM10E0562663
g4	chr13:56432656-56432682	dELS@EM10E0562708
g4	chr13:56540277-56540333	CTCF-only (CTCF-bound)@EM10E0562727
g4	chr13:56753850-56753869	PLS@EM10E0562840
g4	chr13:57908091-57908117	pELS@EM10E0562989, PLS (CTCF-bound)@EM10E0562990
g4	chr13:57908199-57908220	pELS@EM10E0562989, PLS (CTCF-bound)@EM10E0562990
g4	chr13:58273636-58273659	pELS@EM10E0563130, pELS@EM10E0563131
g4	chr13:58273950-58273970	pELS@EM10E0563131, PLS@EM10E0563132
g4	chr13:58274102-58274133	PLS@EM10E0563132, pELS (CTCF-bound)@EM10E0563133
g4	chr13:58274133-58274157	PLS@EM10E0563132, pELS (CTCF-bound)@EM10E0563133
g4	chr13:58358861-58358894	pELS@EM10E0563148, PLS (CTCF-bound)@EM10E0563149
g4	chr13:58806860-58806882	PLS (CTCF-bound)@EM10E0563257, PLS (CTCF-bound)@EM10E0563258, pELS@EM10E0563259
g4	chr13:58807655-58807682	pELS (CTCF-bound)@EM10E0563260, PLS@EM10E0563261
g4	chr13:58808035-58808061	PLS@EM10E0563261, PLS (CTCF-bound)@EM10E0563262
g4	chr13:58808204-58808240	PLS (CTCF-bound)@EM10E0563262
g4	chr13:60176348-60176369	pELS (CTCF-bound)@EM10E0563741, pELS (CTCF-bound)@EM10E0563742
g4	chr13:60602132-60602170	PLS (CTCF-bound)@EM10E0563887, PLS (CTCF-bound)@EM10E0563888, pELS (CTCF-bound)@EM10E0563889
g4	chr13:63336448-63336469	dELS (CTCF-bound)@EM10E0564371
g4	chr13:64274823-64274849	pELS@EM10E0564690, PLS (CTCF-bound)@EM10E0564691
g4	chr13:65176496-65176521	DNase-H3K4me3 (CTCF-bound)@EM10E0564784
g4	chr13:65176534-65176552	DNase-H3K4me3 (CTCF-bound)@EM10E0564784
g4	chr13:65351782-65351826	DNase-H3K4me3@EM10E0564818
g4	chr13:65352105-65352126	DNase-H3K4me3@EM10E0564818
g4	chr13:65420191-65420234	DNase-H3K4me3 (CTCF-bound)@EM10E0564819
g4	chr13:65420514-65420535	DNase-H3K4me3 (CTCF-bound)@EM10E0564819
g4	chr13:66716125-66716146	DNase-H3K4me3@EM10E0564833
g4	chr13:66716189-66716219	DNase-H3K4me3@EM10E0564833
g4	chr13:68605921-68605971	DNase-H3K4me3 (CTCF-bound)@EM10E0565023
g4	chr13:68999549-68999580	PLS (CTCF-bound)@EM10E0565064, PLS (CTCF-bound)@EM10E0565065
g4	chr13:69576415-69576446	DNase-H3K4me3@EM10E0565151
g4	chr13:69738999-69739068	pELS@EM10E0565196
g4	chr13:69739399-69739424	pELS@EM10E0565197
g4	chr13:71963570-71963594	pELS@EM10E0565509, PLS@EM10E0565510
g4	chr13:71963787-71963819	pELS@EM10E0565509, PLS@EM10E0565510
g4	chr13:72366007-72366043	dELS@EM10E0565559
g4	chr13:72628710-72628733	PLS@EM10E0565580
g4	chr13:72629665-72629718	pELS@EM10E0565581, pELS@EM10E0565582
g4	chr13:72631641-72631666	dELS (CTCF-bound)@EM10E0565586
g4	chr13:72815507-72815535	pELS@EM10E0565608, pELS@EM10E0565609
g4	chr13:73260664-73260684	PLS@EM10E0565655, pELS@EM10E0565656
g4	chr13:73265724-73265766	dELS (CTCF-bound)@EM10E0565666
g4	chr13:73268940-73268967	dELS (CTCF-bound)@EM10E0565673
g4	chr13:73271663-73271679	pELS@EM10E0565679, pELS@EM10E0565680
g4	chr13:73732851-73732879	dELS@EM10E0565867
g4	chr13:73733028-73733062	dELS@EM10E0565867, dELS@EM10E0565868
g4	chr13:73733162-73733187	dELS@EM10E0565867, dELS@EM10E0565868
g4	chr13:73847118-73847140	pELS@EM10E0565915, pELS@EM10E0565916
g4	chr13:73847359-73847393	pELS@EM10E0565916, PLS (CTCF-bound)@EM10E0565917
g4	chr13:75944014-75944048	PLS@EM10E0566237, pELS@EM10E0566238
g4	chr13:76384620-76384641	PLS (CTCF-bound)@EM10E0566295, PLS (CTCF-bound)@EM10E0566296, pELS (CTCF-bound)@EM10E0566297
g4	chr13:78197952-78197974	PLS@EM10E0566452, pELS@EM10E0566453
g4	chr13:78198390-78198422	pELS@EM10E0566453, pELS@EM10E0566454
g4	chr13:78198619-78198710	pELS@EM10E0566454, pELS@EM10E0566455
g4	chr13:78198888-78198929	pELS@EM10E0566455, pELS@EM10E0566456
g4	chr13:78199188-78199211	pELS@EM10E0566456
g4	chr13:78203465-78203495	pELS@EM10E0566466, pELS@EM10E0566467
g4	chr13:78203570-78203593	pELS@EM10E0566467
g4	chr13:80962730-80962748	PLS@EM10E0566612
g4	chr13:80962864-80962887	PLS@EM10E0566612
g4	chr13:81632821-81632845	pELS (CTCF-bound)@EM10E0566701
g4	chr13:83721311-83721329	PLS (CTCF-bound)@EM10E0566946
g4	chr13:83727263-83727291	pELS@EM10E0566960, pELS (CTCF-bound)@EM10E0566961
g4	chr13:83731500-83731527	pELS (CTCF-bound)@EM10E0566973
g4	chr13:88821431-88821460	PLS@EM10E0567259
g4	chr13:91461700-91461775	pELS@EM10E0567560, pELS@EM10E0567561
g4	chr13:91461826-91461864	pELS@EM10E0567561
g4	chr13:91462315-91462330	pELS@EM10E0567562, pELS@EM10E0567563
g4	chr13:91462370-91462395	pELS@EM10E0567562, pELS@EM10E0567563
g4	chr13:91741348-91741375	pELS@EM10E0567592, PLS@EM10E0567593
g4	chr13:91741465-91741489	PLS@EM10E0567593
g4	chr13:92426379-92426418	pELS@EM10E0567706
g4	chr13:92426557-92426580	pELS@EM10E0567706, PLS@EM10E0567707
g4	chr13:92794860-92794889	PLS (CTCF-bound)@EM10E0567817
g4	chr13:92794944-92794981	PLS (CTCF-bound)@EM10E0567817
g4	chr13:94057583-94057620	PLS (CTCF-bound)@EM10E0568147
g4	chr13:94057956-94057990	PLS (CTCF-bound)@EM10E0568147, pELS@EM10E0568148
g4	chr13:94173946-94173984	PLS@EM10E0568239, pELS@EM10E0568240
g4	chr13:94284959-94285015	pELS (CTCF-bound)@EM10E0568290, pELS@EM10E0568291
g4	chr13:94595500-94595530	dELS@EM10E0568355
g4	chr13:94596025-94596048	dELS@EM10E0568356, dELS@EM10E0568357
g4	chr13:94702715-94702754	PLS@EM10E0568375
g4	chr13:94708014-94708062	dELS@EM10E0568381
g4	chr13:94709846-94709881	dELS (CTCF-bound)@EM10E0568383
g4	chr13:94868841-94868859	dELS (CTCF-bound)@EM10E0568409, dELS@EM10E0568410
g4	chr13:94868885-94868914	dELS (CTCF-bound)@EM10E0568409, dELS@EM10E0568410
g4	chr13:94869139-94869181	dELS (CTCF-bound)@EM10E0568409, dELS@EM10E0568410, DNase-H3K4me3@EM10E0568411
g4	chr13:94869190-94869236	dELS (CTCF-bound)@EM10E0568409, dELS@EM10E0568410, DNase-H3K4me3@EM10E0568411
g4	chr13:94875153-94875181	pELS@EM10E0568418, PLS@EM10E0568419
g4	chr13:94875476-94875508	PLS@EM10E0568419
g4	chr13:94882937-94882955	dELS@EM10E0568433, dELS@EM10E0568434
g4	chr13:94883062-94883082	dELS@EM10E0568433, dELS@EM10E0568434
g4	chr13:94883473-94883494	dELS@EM10E0568434, dELS (CTCF-bound)@EM10E0568435
g4	chr13:94883655-94883686	dELS (CTCF-bound)@EM10E0568435, dELS@EM10E0568436
g4	chr13:94883704-94883750	dELS (CTCF-bound)@EM10E0568435, dELS@EM10E0568436
g4	chr13:94883763-94883809	dELS (CTCF-bound)@EM10E0568435, dELS@EM10E0568436, dELS@EM10E0568437
g4	chr13:94883899-94883942	dELS@EM10E0568436, dELS@EM10E0568437
g4	chr13:94885417-94885442	dELS (CTCF-bound)@EM10E0568440, dELS (CTCF-bound)@EM10E0568441
g4	chr13:95049226-95049315	CTCF-only (CTCF-bound)@EM10E0568462
g4	chr13:95049323-95049347	CTCF-only (CTCF-bound)@EM10E0568462
g4	chr13:95222827-95222863	PLS@EM10E0568496, PLS@EM10E0568497
g4	chr13:95336381-95336405	DNase-H3K4me3 (CTCF-bound)@EM10E0568534
g4	chr13:95524219-95524235	pELS@EM10E0568578, pELS@EM10E0568579
g4	chr13:95618368-95618406	PLS@EM10E0568631
g4	chr13:95618501-95618526	PLS@EM10E0568631
g4	chr13:95618612-95618636	PLS@EM10E0568631
g4	chr13:95618859-95618901	PLS@EM10E0568631, pELS (CTCF-bound)@EM10E0568632
g4	chr13:95891951-95891974	PLS (CTCF-bound)@EM10E0568751, pELS (CTCF-bound)@EM10E0568752
g4	chr13:96131300-96131319	pELS (CTCF-bound)@EM10E0568805
g4	chr13:96132144-96132168	pELS@EM10E0568807, pELS@EM10E0568808
g4	chr13:96132807-96132838	PLS (CTCF-bound)@EM10E0568809, pELS@EM10E0568810
g4	chr13:96748194-96748225	pELS@EM10E0568918
g4	chr13:97071162-97071190	pELS@EM10E0568988, pELS@EM10E0568989
g4	chr13:97241561-97241586	pELS (CTCF-bound)@EM10E0569057, pELS (CTCF-bound)@EM10E0569058
g4	chr13:98205767-98205796	pELS (CTCF-bound)@EM10E0569507
g4	chr13:98206235-98206278	PLS (CTCF-bound)@EM10E0569508, pELS (CTCF-bound)@EM10E0569509
g4	chr13:98206291-98206321	PLS (CTCF-bound)@EM10E0569508, pELS (CTCF-bound)@EM10E0569509
g4	chr13:98206477-98206501	pELS (CTCF-bound)@EM10E0569509
g4	chr13:98354966-98354987	pELS@EM10E0569549, pELS@EM10E0569550
g4	chr13:98391170-98391197	dELS@EM10E0569572
g4	chr13:98505066-98505094	dELS@EM10E0569599, dELS (CTCF-bound)@EM10E0569600
g4	chr13:98588745-98588770	dELS (CTCF-bound)@EM10E0569629, dELS (CTCF-bound)@EM10E0569630
g4	chr13:98589242-98589264	dELS (CTCF-bound)@EM10E0569630, dELS (CTCF-bound)@EM10E0569631
g4	chr13:98694940-98694958	PLS@EM10E0569677, pELS@EM10E0569678
g4	chr13:99515306-99515326	pELS (CTCF-bound)@EM10E0570033, pELS (CTCF-bound)@EM10E0570034, pELS@EM10E0570035
g4	chr13:99515352-99515389	pELS (CTCF-bound)@EM10E0570033, pELS (CTCF-bound)@EM10E0570034, pELS@EM10E0570035
g4	chr13:99900386-99900410	DNase-H3K4me3 (CTCF-bound)@EM10E0570098, PLS (CTCF-bound)@EM10E0570099
g4	chr13:99900697-99900720	PLS (CTCF-bound)@EM10E0570099
g4	chr13:101801699-101801733	dELS@EM10E0570555, dELS@EM10E0570556
g4	chr13:101801804-101801839	dELS@EM10E0570555, dELS@EM10E0570556
g4	chr13:102655020-102655042	dELS@EM10E0570686, dELS@EM10E0570687
g4	chr13:103333796-103333820	pELS@EM10E0570901, PLS (CTCF-bound)@EM10E0570902
g4	chr13:104110069-104110102	pELS@EM10E0571038, pELS (CTCF-bound)@EM10E0571039
g4	chr13:104863442-104863520	DNase-H3K4me3@EM10E0571191
g4	chr13:107889038-107889064	pELS@EM10E0571520, pELS@EM10E0571521
g4	chr13:107891072-107891106	pELS@EM10E0571525, pELS (CTCF-bound)@EM10E0571526
g4	chr13:108214699-108214725	PLS (CTCF-bound)@EM10E0571629, pELS (CTCF-bound)@EM10E0571630, pELS@EM10E0571631
g4	chr13:108214727-108214757	pELS (CTCF-bound)@EM10E0571630, pELS@EM10E0571631
g4	chr13:110743969-110744008	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:110744031-110744064	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:110744102-110744153	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:110744170-110744210	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:110744238-110744266	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:110744287-110744315	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:110744493-110744546	CTCF-only (CTCF-bound)@EM10E0572187
g4	chr13:112988147-112988170	pELS (CTCF-bound)@EM10E0572924, pELS (CTCF-bound)@EM10E0572925
g4	chr13:113035070-113035093	pELS@EM10E0572947, pELS (CTCF-bound)@EM10E0572948
g4	chr13:113293341-113293363	PLS (CTCF-bound)@EM10E0572998, pELS@EM10E0572999
g4	chr13:114457129-114457167	pELS@EM10E0573344, pELS (CTCF-bound)@EM10E0573345
g4	chr13:114459403-114459442	pELS@EM10E0573349, pELS@EM10E0573350
g4	chr13:114460495-114460519	pELS@EM10E0573352, pELS (CTCF-bound)@EM10E0573353
g4	chr13:115005130-115005162	dELS@EM10E0573436
g4	chr13:115005180-115005204	dELS@EM10E0573436
g4	chr13:116294283-116294306	DNase-H3K4me3@EM10E0573507, DNase-H3K4me3@EM10E0573508
g4	chr13:117602148-117602170	PLS (CTCF-bound)@EM10E0573685
g4	chr13:117602200-117602245	PLS (CTCF-bound)@EM10E0573685
g4	chr13:118022646-118022692	dELS@EM10E0573706
g4	chr13:118714487-118714530	PLS (CTCF-bound)@EM10E0573736, PLS (CTCF-bound)@EM10E0573737
g4	chr13:118714584-118714608	PLS (CTCF-bound)@EM10E0573736, PLS (CTCF-bound)@EM10E0573737
g4	chr14:4182672-4182696	DNase-H3K4me3@EM10E0573940
g4	chr14:4334453-4334476	DNase-H3K4me3@EM10E0573941
g4	chr14:4334808-4334832	DNase-H3K4me3@EM10E0573941, PLS@EM10E0573942
g4	chr14:4415187-4415210	DNase-H3K4me3 (CTCF-bound)@EM10E0573943, PLS@EM10E0573944
g4	chr14:4415378-4415403	DNase-H3K4me3 (CTCF-bound)@EM10E0573943, PLS@EM10E0573944, PLS@EM10E0573945
g4	chr14:4415544-4415568	PLS@EM10E0573944, PLS@EM10E0573945
g4	chr14:5879901-5879925	DNase-H3K4me3@EM10E0573946
g4	chr14:5880201-5880219	DNase-H3K4me3@EM10E0573946
g4	chr14:5961262-5961286	DNase-H3K4me3@EM10E0573947
g4	chr14:5961562-5961580	DNase-H3K4me3@EM10E0573947, PLS@EM10E0573948
g4	chr14:5961889-5961933	PLS@EM10E0573948
g4	chr14:6108538-6108568	PLS (CTCF-bound)@EM10E0573949
g4	chr14:6287180-6287204	PLS@EM10E0573950
g4	chr14:6287536-6287559	PLS@EM10E0573950
g4	chr14:6604985-6605003	DNase-H3K4me3 (CTCF-bound)@EM10E0573951
g4	chr14:7027328-7027352	DNase-H3K4me3@EM10E0573952, PLS (CTCF-bound)@EM10E0573953
g4	chr14:7027684-7027707	PLS (CTCF-bound)@EM10E0573953
g4	chr14:7315209-7315236	PLS (CTCF-bound)@EM10E0573954
g4	chr14:7315283-7315306	PLS (CTCF-bound)@EM10E0573954
g4	chr14:7791679-7791700	PLS (CTCF-bound)@EM10E0573967, pELS (CTCF-bound)@EM10E0573968
g4	chr14:7808229-7808279	dELS@EM10E0573973, dELS (CTCF-bound)@EM10E0573974
g4	chr14:11554539-11554561	pELS@EM10E0574453, pELS@EM10E0574454
g4	chr14:12345486-12345506	PLS@EM10E0574648
g4	chr14:12345872-12345905	PLS@EM10E0574648, pELS@EM10E0574649
g4	chr14:12346365-12346394	pELS@EM10E0574649, pELS@EM10E0574650
g4	chr14:13284657-13284678	PLS@EM10E0574717
g4	chr14:13284749-13284777	PLS@EM10E0574717
g4	chr14:13933735-13933769	dELS@EM10E0574766, dELS@EM10E0574767
g4	chr14:14350649-14350685	dELS@EM10E0574834, dELS@EM10E0574835
g4	chr14:15438691-15438709	pELS@EM10E0574941, PLS (CTCF-bound)@EM10E0574942
g4	chr14:16575323-16575352	pELS@EM10E0575080, PLS (CTCF-bound)@EM10E0575081
g4	chr14:17172626-17172650	dELS@EM10E0575122, DNase-H3K4me3 (CTCF-bound)@EM10E0575123
g4	chr14:17661035-17661055	PLS (CTCF-bound)@EM10E0575145, pELS@EM10E0575146
g4	chr14:18187354-18187408	DNase-H3K4me3 (CTCF-bound)@EM10E0575214
g4	chr14:18893331-18893350	pELS@EM10E0575293, pELS@EM10E0575294
g4	chr14:18893386-18893409	pELS@EM10E0575293, pELS@EM10E0575294
g4	chr14:18893908-18893937	PLS@EM10E0575295, pELS@EM10E0575296
g4	chr14:18894002-18894027	PLS@EM10E0575295, pELS@EM10E0575296
g4	chr14:18894272-18894307	pELS@EM10E0575296
g4	chr14:20661702-20661729	dELS (CTCF-bound)@EM10E0575649, dELS (CTCF-bound)@EM10E0575650, dELS (CTCF-bound)@EM10E0575651
g4	chr14:20793341-20793364	pELS@EM10E0575730, pELS@EM10E0575731
g4	chr14:21686537-21686560	dELS@EM10E0576120
g4	chr14:21981855-21981878	dELS (CTCF-bound)@EM10E0576236, dELS@EM10E0576237
g4	chr14:21983322-21983360	dELS@EM10E0576240, dELS@EM10E0576241
g4	chr14:21984981-21985005	dELS (CTCF-bound)@EM10E0576245, dELS@EM10E0576246
g4	chr14:21995501-21995525	dELS@EM10E0576270, dELS (CTCF-bound)@EM10E0576271
g4	chr14:21995619-21995652	dELS (CTCF-bound)@EM10E0576271
g4	chr14:21995669-21995695	dELS (CTCF-bound)@EM10E0576271
g4	chr14:22019952-22019980	PLS (CTCF-bound)@EM10E0576277, pELS@EM10E0576278
g4	chr14:24004368-24004393	PLS (CTCF-bound)@EM10E0576622, PLS (CTCF-bound)@EM10E0576623
g4	chr14:24004398-24004430	PLS (CTCF-bound)@EM10E0576622, PLS (CTCF-bound)@EM10E0576623
g4	chr14:24004576-24004605	PLS (CTCF-bound)@EM10E0576622, PLS (CTCF-bound)@EM10E0576623
g4	chr14:24245458-24245481	pELS@EM10E0576687, PLS@EM10E0576688
g4	chr14:25457030-25457056	pELS (CTCF-bound)@EM10E0577062, pELS (CTCF-bound)@EM10E0577063
g4	chr14:25457098-25457141	pELS (CTCF-bound)@EM10E0577062, pELS (CTCF-bound)@EM10E0577063
g4	chr14:25459792-25459822	pELS (CTCF-bound)@EM10E0577070, PLS (CTCF-bound)@EM10E0577071, PLS (CTCF-bound)@EM10E0577072
g4	chr14:25461008-25461041	PLS@EM10E0577075, PLS@EM10E0577076, pELS (CTCF-bound)@EM10E0577074
g4	chr14:25461199-25461229	PLS@EM10E0577075, PLS@EM10E0577076
g4	chr14:25734986-25735019	dELS@EM10E0577330, dELS@EM10E0577331
g4	chr14:25740534-25740552	dELS (CTCF-bound)@EM10E0577336
g4	chr14:27039528-27039557	PLS@EM10E0577591
g4	chr14:27039652-27039676	PLS@EM10E0577591, pELS@EM10E0577592
g4	chr14:27039812-27039842	PLS@EM10E0577591, pELS@EM10E0577592
g4	chr14:27114784-27114818	PLS@EM10E0577636
g4	chr14:27622414-27622442	PLS (CTCF-bound)@EM10E0577825
g4	chr14:27622464-27622499	PLS (CTCF-bound)@EM10E0577825, pELS@EM10E0577826
g4	chr14:29721291-29721318	pELS@EM10E0578133, pELS@EM10E0578134
g4	chr14:29721900-29721954	pELS@EM10E0578134, PLS@EM10E0578135, pELS@EM10E0578136
g4	chr14:29722508-29722544	pELS (CTCF-bound)@EM10E0578137, pELS (CTCF-bound)@EM10E0578138
g4	chr14:29723213-29723236	pELS@EM10E0578139, pELS@EM10E0578140
g4	chr14:30353396-30353423	pELS@EM10E0578320, pELS@EM10E0578321
g4	chr14:30353524-30353543	pELS@EM10E0578320, pELS@EM10E0578321
g4	chr14:30353613-30353645	pELS@EM10E0578321
g4	chr14:30353971-30354005	pELS@EM10E0578321, pELS@EM10E0578322
g4	chr14:30354166-30354196	pELS@EM10E0578322, pELS@EM10E0578323
g4	chr14:31138306-31138329	dELS@EM10E0578625
g4	chr14:31269524-31269554	PLS@EM10E0578702, pELS@EM10E0578703
g4	chr14:31269671-31269699	pELS@EM10E0578703
g4	chr14:32322217-32322250	PLS (CTCF-bound)@EM10E0579147, pELS@EM10E0579148
g4	chr14:32464965-32465010	PLS@EM10E0579165, DNase-H3K4me3@EM10E0579166
g4	chr14:32465370-32465395	DNase-H3K4me3@EM10E0579166, DNase-H3K4me3@EM10E0579167
g4	chr14:32599842-32599866	PLS@EM10E0579208, PLS@EM10E0579209
g4	chr14:32856842-32856864	PLS (CTCF-bound)@EM10E0579252
g4	chr14:32856994-32857040	PLS (CTCF-bound)@EM10E0579252, pELS@EM10E0579253
g4	chr14:33320552-33320578	pELS (CTCF-bound)@EM10E0579353, pELS@EM10E0579354
g4	chr14:33351435-33351492	dELS@EM10E0579367
g4	chr14:33923280-33923315	pELS (CTCF-bound)@EM10E0579454
g4	chr14:33923395-33923417	pELS (CTCF-bound)@EM10E0579454
g4	chr14:33956228-33956258	DNase-H3K4me3 (CTCF-bound)@EM10E0579466
g4	chr14:34201702-34201759	PLS@EM10E0579498
g4	chr14:34374720-34374748	PLS@EM10E0579577
g4	chr14:34502238-34502276	pELS@EM10E0579613
g4	chr14:34502571-34502602	PLS@EM10E0579614
g4	chr14:34502684-34502729	PLS@EM10E0579614
g4	chr14:34503172-34503194	pELS@EM10E0579615
g4	chr14:34819744-34819781	pELS@EM10E0579756, PLS@EM10E0579757
g4	chr14:34819792-34819814	pELS@EM10E0579756, PLS@EM10E0579757
g4	chr14:34820041-34820098	pELS@EM10E0579756, PLS@EM10E0579757, pELS (CTCF-bound)@EM10E0579758
g4	chr14:34820646-34820673	pELS (CTCF-bound)@EM10E0579758, pELS@EM10E0579759
g4	chr14:39472851-39472887	pELS@EM10E0579944, PLS@EM10E0579945
g4	chr14:39472947-39472971	pELS@EM10E0579944, PLS@EM10E0579945
g4	chr14:39473003-39473032	PLS@EM10E0579945
g4	chr14:45529820-45529847	pELS (CTCF-bound)@EM10E0580296, PLS@EM10E0580297
g4	chr14:45530047-45530087	PLS@EM10E0580297
g4	chr14:45530327-45530353	PLS@EM10E0580297, pELS (CTCF-bound)@EM10E0580298
g4	chr14:46380510-46380533	pELS (CTCF-bound)@EM10E0580435
g4	chr14:46388735-46388757	pELS@EM10E0580447, pELS (CTCF-bound)@EM10E0580448
g4	chr14:46390617-46390670	PLS (CTCF-bound)@EM10E0580451, PLS@EM10E0580452
g4	chr14:46882672-46882693	PLS (CTCF-bound)@EM10E0580579, PLS (CTCF-bound)@EM10E0580580
g4	chr14:46882791-46882822	PLS (CTCF-bound)@EM10E0580579, PLS (CTCF-bound)@EM10E0580580
g4	chr14:46882831-46882853	PLS (CTCF-bound)@EM10E0580579, PLS (CTCF-bound)@EM10E0580580
g4	chr14:46884011-46884034	PLS@EM10E0580583
g4	chr14:46885085-46885104	PLS@EM10E0580586
g4	chr14:47373859-47373877	PLS@EM10E0580755, pELS@EM10E0580756
g4	chr14:48120765-48120817	PLS (CTCF-bound)@EM10E0580962, pELS (CTCF-bound)@EM10E0580963
g4	chr14:48120848-48120876	PLS (CTCF-bound)@EM10E0580962, pELS (CTCF-bound)@EM10E0580963
g4	chr14:48121230-48121259	pELS (CTCF-bound)@EM10E0580963, pELS (CTCF-bound)@EM10E0580964
g4	chr14:48673612-48673647	PLS@EM10E0581132
g4	chr14:48675084-48675112	pELS@EM10E0581135
g4	chr14:49525421-49525448	pELS (CTCF-bound)@EM10E0581249
g4	chr14:50062422-50062443	pELS (CTCF-bound)@EM10E0581282, pELS (CTCF-bound)@EM10E0581283
g4	chr14:50062581-50062620	pELS (CTCF-bound)@EM10E0581283
g4	chr14:51358534-51358583	DNase-H3K4me3@EM10E0581499, PLS@EM10E0581500
g4	chr14:51739516-51739544	DNase-H3K4me3 (CTCF-bound)@EM10E0581514
g4	chr14:51913390-51913419	PLS (CTCF-bound)@EM10E0581547
g4	chr14:51913477-51913503	PLS (CTCF-bound)@EM10E0581547, pELS@EM10E0581548
g4	chr14:51914099-51914126	pELS@EM10E0581549
g4	chr14:51984773-51984794	PLS@EM10E0581570
g4	chr14:51984939-51984955	PLS@EM10E0581570, PLS (CTCF-bound)@EM10E0581571
g4	chr14:51986195-51986230	pELS@EM10E0581573, pELS@EM10E0581574
g4	chr14:52316398-52316433	PLS@EM10E0581724, pELS@EM10E0581725
g4	chr14:54575802-54575828	pELS (CTCF-bound)@EM10E0582152
g4	chr14:54577518-54577541	PLS (CTCF-bound)@EM10E0582157
g4	chr14:54782113-54782143	PLS@EM10E0582267
g4	chr14:54912766-54912810	pELS@EM10E0582324, pELS@EM10E0582325, pELS@EM10E0582326
g4	chr14:54926245-54926281	PLS@EM10E0582332
g4	chr14:54926492-54926527	pELS@EM10E0582333
g4	chr14:54926539-54926560	pELS@EM10E0582333
g4	chr14:54926795-54926828	pELS@EM10E0582333
g4	chr14:55053794-55053828	PLS@EM10E0582426, PLS (CTCF-bound)@EM10E0582427
g4	chr14:55053846-55053871	PLS@EM10E0582426, PLS (CTCF-bound)@EM10E0582427
g4	chr14:55062729-55062752	dELS (CTCF-bound)@EM10E0582435
g4	chr14:55063943-55063970	dELS@EM10E0582436
g4	chr14:55115204-55115227	pELS (CTCF-bound)@EM10E0582484, PLS (CTCF-bound)@EM10E0582485
g4	chr14:55115549-55115575	PLS (CTCF-bound)@EM10E0582485, pELS@EM10E0582486
g4	chr14:55115743-55115771	PLS (CTCF-bound)@EM10E0582485, pELS@EM10E0582487, pELS@EM10E0582486
g4	chr14:55491353-55491378	PLS (CTCF-bound)@EM10E0582566, pELS@EM10E0582567, pELS@EM10E0582568
g4	chr14:55510454-55510475	PLS@EM10E0582572, PLS@EM10E0582573
g4	chr14:55575608-55575624	PLS@EM10E0582604
g4	chr14:55575701-55575723	PLS@EM10E0582604
g4	chr14:55576071-55576099	PLS@EM10E0582605
g4	chr14:55768397-55768420	dELS@EM10E0582728
g4	chr14:55783684-55783711	pELS@EM10E0582733, pELS (CTCF-bound)@EM10E0582734
g4	chr14:55823324-55823351	pELS (CTCF-bound)@EM10E0582750, pELS (CTCF-bound)@EM10E0582751
g4	chr14:55823478-55823501	pELS (CTCF-bound)@EM10E0582751
g4	chr14:55824730-55824757	pELS@EM10E0582754, PLS@EM10E0582755
g4	chr14:55825509-55825540	PLS@EM10E0582757
g4	chr14:55825636-55825664	PLS@EM10E0582757
g4	chr14:55825761-55825781	PLS@EM10E0582757, pELS@EM10E0582758
g4	chr14:55825925-55825952	PLS@EM10E0582757, pELS@EM10E0582758
g4	chr14:55853802-55853829	PLS (CTCF-bound)@EM10E0582776
g4	chr14:56865184-56865237	DNase-H3K4me3@EM10E0582953, PLS (CTCF-bound)@EM10E0582954
g4	chr14:57104133-57104155	pELS@EM10E0582993, pELS@EM10E0582994
g4	chr14:57104895-57104925	PLS (CTCF-bound)@EM10E0582996, pELS@EM10E0582997
g4	chr14:57133015-57133042	pELS@EM10E0583004
g4	chr14:57524962-57524986	PLS@EM10E0583066, pELS (CTCF-bound)@EM10E0583067
g4	chr14:57525155-57525197	pELS (CTCF-bound)@EM10E0583067
g4	chr14:57525605-57525627	pELS@EM10E0583068
g4	chr14:57525668-57525689	pELS@EM10E0583068, pELS (CTCF-bound)@EM10E0583069
g4	chr14:57525702-57525731	pELS@EM10E0583068, pELS (CTCF-bound)@EM10E0583069
g4	chr14:57525776-57525801	pELS@EM10E0583068, pELS (CTCF-bound)@EM10E0583069
g4	chr14:58071029-58071052	pELS@EM10E0583248, pELS (CTCF-bound)@EM10E0583249
