"Flipon"	"Coordinates"	"miRNA (+)"	"miRNA (-)"	"miRNA (intersection)"
"g4"	"chr1:69456803-69456866"	""	""	""
"g4"	"chr1:69456887-69456908"	"miR-296 (1)"	""	""
"g4"	"chr1:69456948-69457005"	"miR-296 (1)"	""	""
"g4"	"chr1:69687433-69687450"	""	""	""
"g4"	"chr1:69687479-69687497"	"miR-423 (1)"	""	""
"g4"	"chr1:69687726-69687762"	""	""	""
"g4"	"chr1:69954427-69954442"	""	""	""
"g4"	"chr1:70090155-70090175"	""	""	""
"g4"	"chr1:70243503-70243532"	""	"miR-15/16/195/424/497 (1)"	""
"g4"	"chr1:70675341-70675408"	"miR-184 (3)"	""	""
"g4"	"chr1:70946218-70946238"	""	""	""
"g4"	"chr1:70946375-70946400"	""	""	""
"g4"	"chr1:71191727-71191759"	""	""	""
"g4"	"chr1:71809788-71809842"	""	""	""
"g4"	"chr1:71863265-71863300"	""	"miR-339 (1)"	""
"g4"	"chr1:72086435-72086460"	""	""	""
"g4"	"chr1:72134672-72134690"	""	"miR-532 (1)"	""
"g4"	"chr1:72477980-72478023"	""	"miR-493 (1)"	""
"g4"	"chr1:72535189-72535209"	""	""	""
"g4"	"chr1:72536491-72536521"	"miR-491 (1)"	""	""
"g4"	"chr1:72603549-72603598"	""	""	""
"g4"	"chr1:72824360-72824407"	""	""	""
"g4"	"chr1:72873719-72873744"	""	"miR-491 (1)"	""
"g4"	"chr1:73396505-73396526"	""	"miR-491 (1)"	""
"g4"	"chr1:7348420-7348447"	""	""	""
"g4"	"chr1:73527279-73527310"	""	""	""
"g4"	"chr1:73853546-73853625"	""	""	""
"g4"	"chr1:73952732-73952762"	""	""	""
"g4"	"chr1:73986564-73986588"	""	"miR-134 (1)"	""
"g4"	"chr1:74014947-74014990"	""	""	""
"g4"	"chr1:74068167-74068195"	"miR-1306 (1)"	""	""
"g4"	"chr1:74068563-74068587"	""	""	""
"g4"	"chr1:74068716-74068738"	""	""	""
"g4"	"chr1:74099397-74099437"	"miR-504 (1)"	"miR-423 (1)"	""
"g4"	"chr1:74099632-74099683"	""	"miR-17/20/93/106/519d (1)"	""
"g4"	"chr1:74099697-74099725"	""	""	""
"g4"	"chr1:74124677-74124733"	"miR-423 (1)"	""	""
"g4"	"chr1:74148986-74149018"	""	""	""
"g4"	"chr1:74409048-74409083"	""	"miR-744 (1)"	""
"g4"	"chr1:74647760-74647802"	"miR-138 (1)"	"miR-483 (1)"	""
"g4"	"chr1:74771585-74771602"	""	""	""
"g4"	"chr1:74771716-74771736"	""	""	""
"g4"	"chr1:74771816-74771849"	"miR-339 (1)"	""	""
"g4"	"chr1:74771858-74771885"	"miR-532 (1)"	""	""
"g4"	"chr1:74772049-74772086"	""	""	""
"g4"	"chr1:74782413-74782441"	""	""	""
"g4"	"chr1:74783036-74783063"	""	""	""
"g4"	"chr1:74784104-74784134"	"miR-1249 (1)"	"miR-744 (1)"	""
"g4"	"chr1:74791948-74791979"	""	""	""
"g4"	"chr1:74795497-74795523"	""	""	""
"g4"	"chr1:74856225-74856246"	""	""	""
"g4"	"chr1:74856394-74856416"	""	""	""
"g4"	"chr1:74882711-74882733"	""	""	""
"g4"	"chr1:74885217-74885261"	"miR-183 (1)"	"miR-532 (1)"	""
"g4"	"chr1:74885361-74885393"	""	"miR-504 (1)"	""
"g4"	"chr1:74885494-74885518"	""	""	""
"g4"	"chr1:74885573-74885601"	""	"miR-744 (1)"	""
"g4"	"chr1:74885819-74885847"	""	""	""
"g4"	"chr1:74891909-74891926"	""	""	""
"g4"	"chr1:74898723-74898745"	""	""	""
"g4"	"chr1:74898914-74898936"	""	""	""
"g4"	"chr1:74900884-74900905"	""	""	""
"g4"	"chr1:74948249-74948287"	""	""	""
"g4"	"chr1:74951110-74951138"	""	""	""
"g4"	"chr1:74951511-74951557"	"miR-744 (1)"	""	""
"g4"	"chr1:74951850-74951875"	""	""	""
"g4"	"chr1:7524224-7524272"	""	""	""
"g4"	"chr1:75252907-75252955"	"miR-1306 (1), miR-483 (2), miR-532 (1)"	"miR-491 (1)"	""
"g4"	"chr1:75264074-75264106"	""	""	""
"g4"	"chr1:75361013-75361048"	""	""	""
"g4"	"chr1:75375932-75375963"	"miR-296 (1)"	""	""
"g4"	"chr1:75381893-75381923"	""	"miR-129 (1), miR-204/211 (1)"	""
"g4"	"chr1:75382044-75382071"	""	""	""
"g4"	"chr1:75382084-75382113"	"miR-214 (1)"	"miR-151a (1)"	""
"g4"	"chr1:75382178-75382224"	"miR-873 (1)"	"miR-129 (1)"	""
"g4"	"chr1:75382401-75382430"	""	""	""
"g4"	"chr1:75384962-75384984"	""	""	""
"g4"	"chr1:75385498-75385521"	""	""	""
"g4"	"chr1:75385752-75385792"	""	""	""
"g4"	"chr1:75387961-75387991"	"miR-532 (1)"	""	""
"g4"	"chr1:75388561-75388592"	""	""	""
"g4"	"chr1:75403914-75403941"	""	""	""
"g4"	"chr1:75422693-75422717"	"miR-10 (1), miR-140 (1), miR-339 (1)"	"miR-491 (1)"	""
"g4"	"chr1:75427477-75427500"	""	""	""
"g4"	"chr1:75446973-75447002"	""	"miR-147 (1), miR-423 (1)"	""
"g4"	"chr1:75450326-75450345"	""	""	""
"g4"	"chr1:75476341-75476361"	""	""	""
"g4"	"chr1:75482541-75482563"	"miR-328 (1)"	""	""
"g4"	"chr1:75484460-75484488"	"miR-296 (1)"	"miR-330 (1), miR-423 (1)"	""
"g4"	"chr1:75486471-75486493"	""	""	""
"g4"	"chr1:75505513-75505540"	""	""	""
"g4"	"chr1:75509971-75510014"	""	""	""
"g4"	"chr1:75546187-75546211"	""	"miR-204/211 (1)"	""
"g4"	"chr1:75546270-75546293"	""	"miR-423 (1)"	""
"g4"	"chr1:75546316-75546348"	"miR-193 (1), miR-431 (1)"	""	""
"g4"	"chr1:75546632-75546652"	""	""	""
"g4"	"chr1:75546688-75546711"	""	""	""
"g4"	"chr1:75546934-75546972"	"miR-423 (1)"	""	""
"g4"	"chr1:75548870-75548897"	""	""	""
"g4"	"chr1:75552075-75552099"	""	""	""
"g4"	"chr1:75557224-75557245"	""	"miR-331 (1), miR-874 (1)"	""
"g4"	"chr1:76068108-76068125"	""	""	""
"g4"	"chr1:76241076-76241104"	""	""	""
"g4"	"chr1:76241266-76241288"	""	""	""
"g4"	"chr1:76480897-76480928"	""	""	""
"g4"	"chr1:7653981-7654019"	""	"miR-204/211 (1), miR-329/362 (1)"	""
"g4"	"chr1:76588349-76588385"	"miR-504 (1)"	""	""
"g4"	"chr1:76592799-76592820"	""	""	""
"g4"	"chr1:7668588-7668616"	""	""	""
"g4"	"chr1:7741984-7742014"	""	""	""
"g4"	"chr1:77515221-77515244"	""	""	""
"g4"	"chr1:78196878-78196903"	"miR-744 (1)"	""	""
"g4"	"chr1:78216765-78216789"	""	""	""
"g4"	"chr1:78217114-78217142"	"miR-744 (1)"	""	""
"g4"	"chr1:78217810-78217833"	""	""	""
"g4"	"chr1:78305239-78305256"	""	""	""
"g4"	"chr1:78309976-78310001"	"miR-299 (1)"	""	""
"g4"	"chr1:78510266-78510295"	""	""	""
"g4"	"chr1:7892492-7892511"	"miR-532 (1)"	""	""
"g4"	"chr1:79164742-79164764"	""	""	""
"g4"	"chr1:79503363-79503408"	""	""	""
"g4"	"chr1:79534232-79534256"	""	""	""
"g4"	"chr1:7967705-7967746"	""	""	""
"g4"	"chr1:79786510-79786535"	""	""	""
"g4"	"chr1:7979959-7980025"	""	"miR-328 (1)"	""
"g4"	"chr1:79858694-79858729"	""	"miR-744 (1)"	""
"g4"	"chr1:80198182-80198220"	""	"miR-188 (1)"	""
"g4"	"chr1:80198313-80198333"	""	""	""
"g4"	"chr1:8033908-8033974"	"miR-328 (1)"	""	""
"g4"	"chr1:80442515-80442534"	""	""	""
"g4"	"chr1:80442966-80443031"	"miR-328 (1)"	""	""
"g4"	"chr1:80767388-80767425"	""	""	""
"g4"	"chr1:80833040-80833092"	""	""	""
"g4"	"chr1:80983314-80983350"	"miR-339 (1), miR-874 (1)"	""	""
"g4"	"chr1:81115802-81115824"	""	""	""
"g4"	"chr1:81115844-81115874"	"miR-1306 (1), miR-532 (1)"	""	""
"g4"	"chr1:81239469-81239498"	""	""	""
"g4"	"chr1:8155926-8155961"	""	""	""
"g4"	"chr1:8156147-8156172"	"miR-185 (1)"	""	""
"g4"	"chr1:82290707-82290729"	"miR-34/449 (1)"	""	""
"g4"	"chr1:82291278-82291330"	""	""	""
"g4"	"chr1:82291648-82291678"	""	"miR-423 (1)"	""
"g4"	"chr1:82291770-82291804"	""	"miR-330 (1)"	""
"g4"	"chr1:82291861-82291897"	""	""	""
"g4"	"chr1:82291962-82291994"	""	""	""
"g4"	"chr1:82336808-82336832"	""	""	""
"g4"	"chr1:82587094-82587115"	""	""	""
"g4"	"chr1:82657580-82657602"	"miR-330 (1)"	""	""
"g4"	"chr1:83093261-83093309"	""	""	""
"g4"	"chr1:83192317-83192353"	"miR-150 (1)"	""	""
"g4"	"chr1:83407693-83407717"	""	""	""
"g4"	"chr1:83415272-83415291"	""	""	""
"g4"	"chr1:83477962-83478011"	""	""	""
"g4"	"chr1:83508807-83508826"	""	""	""
"g4"	"chr1:83563663-83563700"	""	""	""
"g4"	"chr1:83607309-83607333"	""	""	""
"g4"	"chr1:83607498-83607531"	""	""	""
"g4"	"chr1:84090298-84090329"	""	""	""
"g4"	"chr1:84226700-84226732"	""	"miR-491 (1)"	""
"g4"	"chr1:84284212-84284241"	""	""	""
"g4"	"chr1:84284709-84284729"	""	""	""
"g4"	"chr1:84405048-84405081"	""	""	""
"g4"	"chr1:84652705-84652731"	""	"miR-133 (2)"	""
"g4"	"chr1:84695664-84695722"	"miR-503 (1), miR-744 (1)"	"miR-328 (1)"	""
"g4"	"chr1:84695881-84695911"	"miR-744 (1)"	""	""
"g4"	"chr1:8471071-8471104"	""	"miR-34/449 (1)"	""
"g4"	"chr1:8515618-8515668"	""	""	""
"g4"	"chr1:85278142-85278171"	""	""	""
"g4"	"chr1:85712903-85712957"	""	""	""
"g4"	"chr1:86635351-86635387"	"miR-328 (1)"	""	""
"g4"	"chr1:86670689-86670725"	""	""	""
"g4"	"chr1:86819014-86819049"	""	""	""
"g4"	"chr1:86842971-86843025"	"miR-874 (1)"	""	""
"g4"	"chr1:86908246-86908270"	""	""	""
"g4"	"chr1:86980393-86980443"	"miR-371 (290) (1)"	""	""
"g4"	"chr1:87155653-87155694"	""	""	""
"g4"	"chr1:87156192-87156219"	""	""	""
"g4"	"chr1:87170499-87170528"	""	""	""
"g4"	"chr1:87170648-87170674"	""	""	""
"g4"	"chr1:87183617-87183648"	"miR-423 (1)"	"miR-1306 (1), miR-532 (1)"	""
"g4"	"chr1:87185093-87185129"	""	""	""
"g4"	"chr1:87186812-87186833"	""	"miR-532 (1)"	""
"g4"	"chr1:87264295-87264316"	""	"miR-744 (1)"	""
"g4"	"chr1:87475750-87475768"	""	""	""
"g4"	"chr1:87510540-87510568"	""	""	""
"g4"	"chr1:87510658-87510680"	"miR-188 (1)"	""	""
"g4"	"chr1:8794675-8794706"	""	""	""
"g4"	"chr1:88239249-88239278"	""	"miR-874 (1)"	""
"g4"	"chr1:88255291-88255315"	""	""	""
"g4"	"chr1:88977637-88977668"	""	""	""
"g4"	"chr1:89070699-89070725"	""	""	""
"g4"	"chr1:89070768-89070798"	""	""	""
"g4"	"chr1:89181606-89181649"	""	"miR-150 (2), miR-483 (2)"	""
"g4"	"chr1:8939157-8939173"	""	""	""
"g4"	"chr1:89454436-89454451"	""	""	""
"g4"	"chr1:89454806-89454834"	""	""	""
"g4"	"chr1:89481275-89481294"	"miR-744 (1)"	""	""
"g4"	"chr1:89580899-89580929"	""	""	""
"g4"	"chr1:8969550-8969598"	""	""	""
"g4"	"chr1:8982988-8983034"	""	""	""
"g4"	"chr1:89922690-89922707"	""	""	""
"g4"	"chr1:89923196-89923224"	""	""	""
"g4"	"chr1:89930177-89930202"	""	""	""
"g4"	"chr1:89931897-89931917"	""	""	""
"g4"	"chr1:89942030-89942056"	""	""	""
"g4"	"chr1:89992439-89992458"	""	""	""
"g4"	"chr1:8999527-8999557"	""	"miR-133 (1)"	""
"g4"	"chr1:90168409-90168430"	""	""	""
"g4"	"chr1:90368289-90368355"	""	""	""
"g4"	"chr1:90631360-90631382"	""	""	""
"g4"	"chr1:90928263-90928287"	""	""	""
"g4"	"chr1:90956147-90956210"	""	"miR-185 (2)"	""
"g4"	"chr1:90998659-90998694"	""	""	""
"g4"	"chr1:90998924-90998959"	"miR-133 (1)"	""	""
"g4"	"chr1:91038405-91038478"	"miR-328 (1)"	""	""
"g4"	"chr1:91180376-91180397"	""	""	""
"g4"	"chr1:91180572-91180596"	""	"miR-532 (1)"	""
"g4"	"chr1:91322537-91322558"	"miR-188 (1)"	""	""
"g4"	"chr1:91338857-91338885"	""	""	""
"g4"	"chr1:91342848-91342884"	""	""	""
"g4"	"chr1:91343820-91343857"	""	"miR-532 (1)"	""
"g4"	"chr1:91405689-91405710"	""	""	""
"g4"	"chr1:91710470-91710505"	"miR-185 (1)"	""	""
"g4"	"chr1:91744257-91744283"	"miR-328 (1)"	""	""
"g4"	"chr1:91800567-91800593"	"miR-874 (1)"	""	""
"g4"	"chr1:91801328-91801351"	""	""	""
"g4"	"chr1:91802184-91802203"	""	""	""
"g4"	"chr1:9200365-9200393"	"miR-330 (1)"	"miR-532 (1)"	""
"g4"	"chr1:92425033-92425109"	""	""	""
"g4"	"chr1:9264336-9264356"	""	""	""
"g4"	"chr1:92701934-92701970"	"miR-296 (1)"	"miR-140 (1)"	""
"g4"	"chr1:92787237-92787273"	"miR-491 (1)"	""	""
"g4"	"chr1:92831332-92831361"	""	""	""
"g4"	"chr1:92831381-92831400"	""	""	""
"g4"	"chr1:92831535-92831629"	""	"miR-423 (1), miR-744 (3)"	""
"g4"	"chr1:92831645-92831667"	""	""	""
"g4"	"chr1:92831864-92831893"	""	""	""
"g4"	"chr1:92832887-92832910"	""	""	""
"g4"	"chr1:92847722-92847737"	""	""	""
"g4"	"chr1:92847760-92847783"	""	""	""
"g4"	"chr1:92848341-92848364"	""	""	""
"g4"	"chr1:92848415-92848441"	""	"miR-488 (1)"	""
"g4"	"chr1:92850418-92850447"	""	""	""
"g4"	"chr1:92855974-92855996"	""	""	""
"g4"	"chr1:92857123-92857158"	""	"miR-532 (1)"	""
"g4"	"chr1:92858415-92858444"	""	""	""
"g4"	"chr1:92858676-92858697"	""	"miR-501/502 (1)"	""
"g4"	"chr1:92977222-92977251"	"miR-185 (1)"	""	""
"g4"	"chr1:92977284-92977331"	"miR-185 (1)"	""	""
"g4"	"chr1:9299267-9299293"	""	"miR-339 (1)"	""
"g4"	"chr1:93022754-93022784"	""	"miR-491 (1)"	""
"g4"	"chr1:93100737-93100765"	""	""	""
"g4"	"chr1:93100808-93100829"	""	""	""
"g4"	"chr1:93101891-93101922"	""	"miR-423 (1)"	""
"g4"	"chr1:93102027-93102047"	""	""	""
"g4"	"chr1:9314107-9314132"	""	"miR-185 (1)"	""
"g4"	"chr1:93176330-93176358"	""	""	""
"g4"	"chr1:93176725-93176751"	""	""	""
"g4"	"chr1:93176930-93176956"	""	""	""
"g4"	"chr1:93190731-93190749"	""	""	""
"g4"	"chr1:93191111-93191181"	"miR-744 (2)"	"miR-874 (2)"	""
"g4"	"chr1:93192940-93192972"	"miR-331 (1)"	""	""
"g4"	"chr1:93193364-93193384"	""	""	""
"g4"	"chr1:93227473-93227507"	"miR-193 (1)"	""	""
"g4"	"chr1:93235765-93235788"	""	"miR-423 (1)"	""
"g4"	"chr1:93235954-93235984"	"miR-615 (1)"	""	""
"g4"	"chr1:93259897-93259935"	"miR-329/362 (1)"	""	""
"g4"	"chr1:94022177-94022231"	""	""	""
"g4"	"chr1:9414116-9414146"	""	""	""
"g4"	"chr1:94458964-94458995"	""	"miR-532 (1)"	""
"g4"	"chr1:95003162-95003191"	"miR-17/20/93/106/519d (1)"	""	""
"g4"	"chr1:95090810-95090853"	""	""	""
"g4"	"chr1:95208648-95208674"	"miR-491 (1)"	""	""
"g4"	"chr1:95474180-95474210"	""	"miR-486 (1), miR-874 (1)"	""
"g4"	"chr1:96139484-96139528"	"miR-532 (2)"	""	""
"g4"	"chr1:96223950-96224016"	"miR-328 (1), miR-329/362 (1)"	""	""
"g4"	"chr1:96347934-96347983"	""	""	""
"g4"	"chr1:96389239-96389270"	"miR-299 (1)"	""	""
"g4"	"chr1:96607727-96607802"	"miR-328 (1)"	""	""
"g4"	"chr1:96898499-96898549"	"miR-532 (1)"	""	""
"g4"	"chr1:96932543-96932563"	""	"miR-532 (1)"	""
"g4"	"chr1:96950900-96950939"	""	""	""
"g4"	"chr1:96960331-96960364"	""	"miR-874 (1)"	""
"g4"	"chr1:97138757-97138777"	""	""	""
"g4"	"chr1:97235334-97235365"	""	"miR-551 (1)"	""
"g4"	"chr1:97324202-97324235"	"miR-34/449 (1)"	"miR-204/211 (1)"	""
"g4"	"chr1:97457475-97457519"	""	"miR-329/362 (1)"	""
"g4"	"chr1:97560384-97560424"	"miR-874 (1)"	""	""
"g4"	"chr1:97581100-97581117"	""	"miR-532 (1)"	""
"g4"	"chr1:97683124-97683149"	""	""	""
"g4"	"chr1:97691186-97691226"	""	""	""
"g4"	"chr1:97739533-97739556"	""	""	""
"g4"	"chr1:97890861-97890897"	""	""	""
"g4"	"chr1:97947767-97947805"	""	""	""
"g4"	"chr1:98022356-98022382"	""	""	""
"g4"	"chr1:98288293-98288320"	""	""	""
"g4"	"chr1:98549407-98549431"	""	""	""
"g4"	"chr1:98637347-98637395"	"miR-483 (1)"	""	""
"g4"	"chr1:98657223-98657241"	""	""	""
"g4"	"chr1:99109018-99109070"	""	""	""
"g4"	"chr1:99200763-99200786"	"miR-204/211 (1)"	""	""
"g4"	"chr1:99233880-99233934"	"miR-140 (1)"	"miR-874 (1)"	""
"g4"	"chr1:99245533-99245570"	""	""	""
"g4"	"chr1:99245747-99245772"	"miR-185 (1)"	""	""
"g4"	"chr1:99318448-99318524"	"miR-328 (1), miR-331 (1), miR-483 (1)"	""	""
"g4"	"chr1:99373567-99373597"	""	""	""
"g4"	"chr1:9967638-9967670"	""	""	""
"g4"	"chr1:99747217-99747239"	""	""	""
"g4"	"chr1:99805228-99805279"	""	""	""
"g4"	"chr2:100003743-100003778"	"miR-1306 (1), miR-532 (1)"	"miR-491 (1)"	""
"g4"	"chr2:100239866-100239890"	""	""	""
"g4"	"chr2:100909832-100909860"	"miR-185 (1)"	""	""
"g4"	"chr2:100923225-100923268"	"miR-204/211 (1), miR-483 (2)"	"miR-185 (1)"	""
"g4"	"chr2:100991478-100991499"	""	""	""
"g4"	"chr2:101091679-101091719"	""	""	""
"g4"	"chr2:101106200-101106221"	"miR-330 (1)"	""	""
"g4"	"chr2:101261289-101261339"	""	""	""
"g4"	"chr2:101455220-101455247"	"miR-532 (1)"	""	""
"g4"	"chr2:101473211-101473255"	""	""	""
"g4"	"chr2:101493629-101493668"	""	"miR-874 (1)"	""
"g4"	"chr2:101595594-101595612"	""	""	""
"g4"	"chr2:102118735-102118763"	""	""	""
"g4"	"chr2:102186181-102186203"	""	""	""
"g4"	"chr2:102451892-102451921"	""	""	""
"g4"	"chr2:104082561-104082586"	"miR-329/362 (1)"	""	""
"g4"	"chr2:104082819-104082846"	"miR-329/362 (1)"	""	""
"g4"	"chr2:104202189-104202230"	""	""	""
"g4"	"chr2:104202239-104202311"	"miR-185 (2)"	""	""
"g4"	"chr2:104202350-104202431"	"miR-185 (3)"	""	""
"g4"	"chr2:104202462-104202493"	"miR-185 (1)"	""	""
"g4"	"chr2:104363906-104363927"	""	""	""
"g4"	"chr2:104364016-104364037"	""	""	""
"g4"	"chr2:104410058-104410087"	"miR-129 (1)"	"miR-744 (1), miR-760 (1)"	""
"g4"	"chr2:104742631-104742656"	""	""	""
"g4"	"chr2:105126228-105126257"	""	"miR-423 (1)"	""
"g4"	"chr2:105126451-105126475"	""	""	""
"g4"	"chr2:105126704-105126723"	"miR-532 (1)"	""	""
"g4"	"chr2:10520574-10520608"	"miR-532 (1)"	""	""
"g4"	"chr2:105674768-105674803"	""	"miR-615 (1)"	""
"g4"	"chr2:105675016-105675043"	"miR-203a (1)"	""	""
"g4"	"chr2:105829253-105829291"	""	"miR-532 (1)"	""
"g4"	"chr2:105841185-105841229"	""	""	""
"g4"	"chr2:10599631-10599678"	""	""	""
"g4"	"chr2:106031598-106031640"	""	""	""
"g4"	"chr2:106693183-106693206"	""	""	""
"g4"	"chr2:106693342-106693369"	""	""	""
"g4"	"chr2:106693383-106693414"	""	""	""
"g4"	"chr2:106693630-106693654"	""	""	""
"g4"	"chr2:106693693-106693724"	""	"miR-423 (1)"	""
"g4"	"chr2:106693832-106693864"	""	""	""
"g4"	"chr2:106694105-106694148"	""	""	""
"g4"	"chr2:106694264-106694292"	""	"miR-188 (1), miR-296 (1)"	""
"g4"	"chr2:106694372-106694400"	"miR-615 (1)"	""	""
"g4"	"chr2:107011021-107011047"	"miR-346 (1)"	""	""
"g4"	"chr2:107144358-107144382"	""	""	""
"g4"	"chr2:107290474-107290497"	""	""	""
"g4"	"chr2:107290567-107290598"	""	"miR-744 (1)"	""
"g4"	"chr2:107892083-107892101"	""	""	""
"g4"	"chr2:108002822-108002849"	""	""	""
"g4"	"chr2:108020868-108020916"	"miR-329/362 (1), miR-875 (1)"	""	""
"g4"	"chr2:108216485-108216530"	""	"miR-490 (1)"	""
"g4"	"chr2:108238151-108238195"	""	""	""
"g4"	"chr2:108427608-108427628"	""	""	""
"g4"	"chr2:108535976-108535993"	"miR-532 (1)"	""	""
"g4"	"chr2:108545182-108545209"	""	""	""
"g4"	"chr2:108571393-108571433"	"miR-491 (1)"	"miR-1306 (1), miR-532 (1)"	""
"g4"	"chr2:108571483-108571507"	""	""	""
"g4"	"chr2:108891672-108891692"	""	"miR-532 (1)"	""
"g4"	"chr2:109034009-109034035"	""	""	""
"g4"	"chr2:10904293-10904316"	""	""	""
"g4"	"chr2:109442165-109442184"	""	""	""
"g4"	"chr2:109609771-109609792"	""	""	""
"g4"	"chr2:109641027-109641060"	""	""	""
"g4"	"chr2:109644340-109644366"	""	""	""
"g4"	"chr2:109677832-109677862"	"miR-423 (1)"	"miR-324 (1)"	""
"g4"	"chr2:109693424-109693457"	""	""	""
"g4"	"chr2:109693821-109693844"	""	"miR-296 (1), miR-874 (1)"	""
"g4"	"chr2:109763772-109763800"	""	""	""
"g4"	"chr2:109797470-109797510"	""	""	""
"g4"	"chr2:109918313-109918357"	""	""	""
"g4"	"chr2:109918373-109918397"	""	""	""
"g4"	"chr2:110128653-110128719"	""	"miR-204/211 (1), miR-328 (1), miR-329/362 (1)"	""
"g4"	"chr2:110354710-110354761"	""	""	""
"g4"	"chr2:110379015-110379040"	""	""	""
"g4"	"chr2:110490090-110490122"	""	""	""
"g4"	"chr2:110492755-110492781"	""	""	""
"g4"	"chr2:110558508-110558556"	""	""	""
"g4"	"chr2:110726453-110726478"	""	""	""
"g4"	"chr2:110823215-110823266"	"miR-154 (1)"	""	""
"g4"	"chr2:110955506-110955537"	""	"miR-532 (1)"	""
"g4"	"chr2:111629145-111629173"	""	""	""
"g4"	"chr2:111744861-111744882"	""	""	""
"g4"	"chr2:111744891-111744925"	""	""	""
"g4"	"chr2:111812309-111812335"	"miR-296 (1)"	""	""
"g4"	"chr2:111933413-111933439"	""	""	""
"g4"	"chr2:112036108-112036135"	""	""	""
"g4"	"chr2:112230299-112230318"	""	""	""
"g4"	"chr2:112427433-112427456"	""	""	""
"g4"	"chr2:11248818-11248859"	""	"miR-34/449 (1)"	""
"g4"	"chr2:112579297-112579322"	"miR-423 (1)"	""	""
"g4"	"chr2:112770369-112770392"	"miR-128 (1), miR-874 (1)"	""	""
"g4"	"chr2:113048274-113048297"	"miR-491 (1)"	""	""
"g4"	"chr2:113102945-113102966"	""	""	""
"g4"	"chr2:113106912-113106960"	""	""	""
"g4"	"chr2:113493283-113493320"	""	""	""
"g4"	"chr2:113662134-113662177"	"miR-122 (1), miR-134 (1)"	"miR-668 (1)"	""
"g4"	"chr2:113749960-113749982"	"miR-331 (1)"	"miR-744 (1)"	""
"g4"	"chr2:113758003-113758025"	"miR-339 (1), miR-486 (1)"	""	""
"g4"	"chr2:113758752-113758789"	""	""	""
"g4"	"chr2:113758841-113758862"	""	""	""
"g4"	"chr2:114059001-114059022"	""	""	""
"g4"	"chr2:114305571-114305625"	""	""	""
"g4"	"chr2:114524376-114524428"	""	""	""
"g4"	"chr2:114714739-114714812"	""	"miR-328 (1)"	""
"g4"	"chr2:114958880-114958903"	""	"miR-329/362 (1)"	""
"g4"	"chr2:114966963-114966994"	"miR-150 (1)"	""	""
"g4"	"chr2:115179976-115180003"	""	""	""
"g4"	"chr2:115336747-115336776"	""	""	""
"g4"	"chr2:115465514-115465531"	""	""	""
"g4"	"chr2:116065862-116065891"	""	""	""
"g4"	"chr2:116065967-116066020"	""	""	""
"g4"	"chr2:116669522-116669548"	""	""	""
"g4"	"chr2:117171073-117171126"	""	"miR-874 (1)"	""
"g4"	"chr2:11737770-11737787"	""	""	""
"g4"	"chr2:117902390-117902417"	"miR-204/211 (1)"	""	""
"g4"	"chr2:118021319-118021340"	""	""	""
"g4"	"chr2:118021349-118021385"	"miR-328 (1)"	""	""
"g4"	"chr2:118111797-118111848"	""	"miR-184 (1)"	""
"g4"	"chr2:118141729-118141755"	""	""	""
"g4"	"chr2:118142024-118142057"	"miR-204/211 (1)"	"miR-34/449 (1)"	""
"g4"	"chr2:118165644-118165700"	""	"miR-150 (1), miR-328 (1)"	""
"g4"	"chr2:118373466-118373485"	""	""	""
"g4"	"chr2:118510413-118510444"	""	""	""
"g4"	"chr2:118584770-118584796"	"miR-296 (1)"	"miR-296 (1)"	"miR-296"
"g4"	"chr2:118677862-118677899"	"miR-34/449 (1), miR-423 (1)"	"miR-150 (1), miR-532 (1)"	""
"g4"	"chr2:118702827-118702859"	""	"miR-331 (1)"	""
"g4"	"chr2:118703786-118703814"	""	""	""
"g4"	"chr2:119005828-119005848"	"miR-532 (1)"	""	""
"g4"	"chr2:119237636-119237659"	""	"miR-744 (1)"	""
"g4"	"chr2:119324391-119324415"	""	""	""
"g4"	"chr2:119326866-119326888"	"miR-324 (1)"	""	""
"g4"	"chr2:119742854-119742892"	"miR-744 (1)"	""	""
"g4"	"chr2:119742960-119742990"	""	"miR-339 (1)"	""
"g4"	"chr2:119744421-119744453"	""	""	""
"g4"	"chr2:119744666-119744691"	""	""	""
"g4"	"chr2:119799417-119799441"	""	""	""
"g4"	"chr2:119799469-119799494"	""	""	""
"g4"	"chr2:119799512-119799532"	""	""	""
"g4"	"chr2:119799886-119799919"	""	""	""
"g4"	"chr2:119800118-119800146"	""	""	""
"g4"	"chr2:120041230-120041251"	""	""	""
"g4"	"chr2:120068452-120068473"	""	""	""
"g4"	"chr2:120068787-120068831"	""	""	""
"g4"	"chr2:120076474-120076497"	""	"miR-744 (1)"	""
"g4"	"chr2:120154122-120154153"	""	""	""
"g4"	"chr2:121093532-121093554"	"miR-485 (1)"	""	""
"g4"	"chr2:121295287-121295310"	""	""	""
"g4"	"chr2:121295433-121295453"	"miR-532 (1)"	""	""
"g4"	"chr2:121296347-121296372"	""	""	""
"g4"	"chr2:121306777-121306805"	""	"miR-331 (1)"	""
"g4"	"chr2:121307022-121307066"	""	""	""
"g4"	"chr2:121358331-121358354"	""	""	""
"g4"	"chr2:121806699-121806714"	""	""	""
"g4"	"chr2:121807042-121807067"	""	"miR-34/449 (1)"	""
"g4"	"chr2:122296323-122296346"	""	"miR-744 (1)"	""
"g4"	"chr2:122301393-122301413"	""	""	""
