Gene ID	Transcript ID	Gene Name	Gene Type	Flipon	Flipons per promoter
ENSMUSG00000066158.7	ENSMUST00000139751.1	AY512931	lincRNA	h-dna	2
ENSMUSG00000033581.17	ENSMUST00000115379.1	Igf2bp2	protein_coding	z-dna	2
ENSMUSG00000033577.18	ENSMUST00000035889.14	Myo6	protein_coding	g4	2
ENSMUSG00000033565.18	ENSMUST00000048145.12	Rbfox2	protein_coding	g4	2
ENSMUSG00000033565.18	ENSMUST00000048145.12	Rbfox2	protein_coding	z-dna	2
ENSMUSG00000033453.8	ENSMUST00000065112.6	Adamts15	protein_coding	z-dna	2
ENSMUSG00000033361.13	ENSMUST00000170096.7	Prrg3	protein_coding	z-dna	2
ENSMUSG00000067438.5	ENSMUST00000087674.5	Hmx1	protein_coding	g4	2
ENSMUSG00000066607.5	ENSMUST00000085658.4	Insyn1	protein_coding	g4	2
ENSMUSG00000066607.5	ENSMUST00000216294.1	Insyn1	protein_coding	g4	2
ENSMUSG00000033342.15	ENSMUST00000106473.4	Plppr5	protein_coding	z-dna	2
ENSMUSG00000033316.14	ENSMUST00000040001.13	Galnt9	protein_coding	g4	2
ENSMUSG00000066687.5	ENSMUST00000216150.1	Zbtb16	protein_coding	z-dna	2
ENSMUSG00000033278.10	ENSMUST00000224091.1	Ptprm	protein_coding	z-dna	2
ENSMUSG00000033227.7	ENSMUST00000006716.7	Wnt6	protein_coding	z-dna	2
ENSMUSG00000033170.14	ENSMUST00000170584.1	Card10	protein_coding	z-dna	2
ENSMUSG00000033170.14	ENSMUST00000164826.7	Card10	protein_coding	g4	2
ENSMUSG00000067235.14	ENSMUST00000068291.6	H2-Q10	protein_coding	g4	2
ENSMUSG00000033066.16	ENSMUST00000108681.8	Gas7	protein_coding	g4	2
ENSMUSG00000067438.5	ENSMUST00000087674.5	Hmx1	protein_coding	z-dna	2
ENSMUSG00000062563.15	ENSMUST00000156453.9	Cys1	protein_coding	g4	2
ENSMUSG00000062542.11	ENSMUST00000073459.11	Syt9	protein_coding	g4	2
ENSMUSG00000035551.6	ENSMUST00000044297.6	Igfbpl1	protein_coding	z-dna	2
ENSMUSG00000035557.9	ENSMUST00000080893.6	Krt17	protein_coding	z-dna	2
ENSMUSG00000038453.17	ENSMUST00000107596.8	Srcin1	protein_coding	g4	2
ENSMUSG00000057706.7	ENSMUST00000082237.6	Mex3b	protein_coding	g4	2
ENSMUSG00000038347.15	ENSMUST00000143162.7	Tcte2	protein_coding	z-dna	2
ENSMUSG00000038331.15	ENSMUST00000114415.9	Satb2	protein_coding	g4	2
ENSMUSG00000038319.14	ENSMUST00000036092.9	Kcnh2	protein_coding	z-dna	2
ENSMUSG00000057766.14	ENSMUST00000118525.8	Ankrd29	protein_coding	z-dna	2
ENSMUSG00000057897.14	ENSMUST00000090443.9	Camk2b	protein_coding	z-dna	2
ENSMUSG00000057967.12	ENSMUST00000020507.7	Fgf18	protein_coding	z-dna	2
ENSMUSG00000057967.12	ENSMUST00000109363.7	Fgf18	protein_coding	z-dna	2
ENSMUSG00000058056.16	ENSMUST00000121493.8	Palld	protein_coding	g4	2
ENSMUSG00000038255.6	ENSMUST00000041685.6	Neurod2	protein_coding	g4	2
ENSMUSG00000058248.12	ENSMUST00000078470.11	Kcnh1	protein_coding	z-dna	2
ENSMUSG00000038167.6	ENSMUST00000042647.6	Plekhg6	protein_coding	g4	2
ENSMUSG00000058297.16	ENSMUST00000165024.2	Spock2	protein_coding	g4	2
ENSMUSG00000058325.6	ENSMUST00000084488.4	Dock1	protein_coding	z-dna	2
ENSMUSG00000038128.7	ENSMUST00000042868.5	Camk4	protein_coding	g4	2
ENSMUSG00000058488.7	ENSMUST00000078856.7	Kl	protein_coding	g4	2
ENSMUSG00000058571.11	ENSMUST00000078849.11	Gpc6	protein_coding	g4	2
ENSMUSG00000058571.11	ENSMUST00000088483.9	Gpc6	protein_coding	z-dna	2
ENSMUSG00000037989.15	ENSMUST00000162403.7	Wnk2	protein_coding	g4	2
ENSMUSG00000037989.15	ENSMUST00000162403.7	Wnk2	protein_coding	z-dna	2
ENSMUSG00000058589.14	ENSMUST00000182966.7	Anks1b	protein_coding	z-dna	2
ENSMUSG00000058665.8	ENSMUST00000079721.8	En1	protein_coding	g4	2
ENSMUSG00000037907.16	ENSMUST00000037593.13	Ankrd13b	protein_coding	g4	2
ENSMUSG00000037902.18	ENSMUST00000099113.9	Sirpa	protein_coding	z-dna	2
ENSMUSG00000037892.13	ENSMUST00000035931.12	Pcdh18	protein_coding	g4	2
ENSMUSG00000037843.6	ENSMUST00000109523.1	Vstm2l	protein_coding	z-dna	2
ENSMUSG00000057614.6	ENSMUST00000074694.6	Gnai1	protein_coding	g4	2
ENSMUSG00000038456.9	ENSMUST00000036877.9	Dennd2a	protein_coding	g4	2
ENSMUSG00000038502.17	ENSMUST00000046575.16	Ptov1	protein_coding	g4	2
ENSMUSG00000038879.8	ENSMUST00000040791.8	Nipal2	protein_coding	z-dna	2
ENSMUSG00000039114.16	ENSMUST00000037623.14	Nrn1	protein_coding	z-dna	2
ENSMUSG00000056214.9	ENSMUST00000070219.8	Pard6g	protein_coding	g4	2
ENSMUSG00000039095.8	ENSMUST00000036177.8	En2	protein_coding	g4	2
ENSMUSG00000039095.8	ENSMUST00000036177.8	En2	protein_coding	z-dna	2
ENSMUSG00000039059.11	ENSMUST00000171736.7	Hrh3	protein_coding	g4	2
ENSMUSG00000039059.11	ENSMUST00000056480.9	Hrh3	protein_coding	z-dna	2
ENSMUSG00000056258.9	ENSMUST00000070256.8	Kcnq3	protein_coding	g4	2
ENSMUSG00000056426.3	ENSMUST00000070514.3	Nat3	protein_coding	g4	2
ENSMUSG00000056427.10	ENSMUST00000069837.3	Slit3	protein_coding	g4	2
ENSMUSG00000056427.10	ENSMUST00000069837.3	Slit3	protein_coding	z-dna	2
ENSMUSG00000038932.13	ENSMUST00000037877.10	Tcfl5	protein_coding	g4	2
ENSMUSG00000056445.8	ENSMUST00000155922.1	Hoxaas2	processed_transcript	h-dna	2
ENSMUSG00000056476.13	ENSMUST00000164225.5	Med12l	protein_coding	g4	2
ENSMUSG00000056900.13	ENSMUST00000108228.7	Usp13	protein_coding	h-dna	2
ENSMUSG00000056476.13	ENSMUST00000199659.4	Med12l	protein_coding	g4	2
ENSMUSG00000038860.15	ENSMUST00000137381.7	Garnl3	protein_coding	g4	2
ENSMUSG00000056486.18	ENSMUST00000166199.8	Chn1	protein_coding	z-dna	2
ENSMUSG00000056596.8	ENSMUST00000125541.1	Trnp1	protein_coding	z-dna	2
ENSMUSG00000038765.14	ENSMUST00000239476.1	Lmx1b	protein_coding	g4	2
ENSMUSG00000038765.14	ENSMUST00000041730.11	Lmx1b	protein_coding	z-dna	2
ENSMUSG00000038740.9	ENSMUST00000041555.9	Mvb12b	protein_coding	z-dna	2
ENSMUSG00000056755.13	ENSMUST00000071076.12	Grm7	protein_coding	g4	2
ENSMUSG00000038677.14	ENSMUST00000233905.1	Scube3	protein_coding	z-dna	2
ENSMUSG00000056829.4	ENSMUST00000072915.3	Foxb2	protein_coding	z-dna	2
ENSMUSG00000038668.14	ENSMUST00000107571.7	Lpar1	protein_coding	z-dna	2
ENSMUSG00000056900.13	ENSMUST00000072312.11	Usp13	protein_coding	z-dna	2
ENSMUSG00000058881.13	ENSMUST00000171238.7	Zfp516	protein_coding	z-dna	2
ENSMUSG00000037762.6	ENSMUST00000046807.6	Slc16a9	protein_coding	z-dna	2
ENSMUSG00000058966.13	ENSMUST00000079423.6	Fam57b	protein_coding	g4	2
ENSMUSG00000061524.8	ENSMUST00000075888.5	Zic2	protein_coding	z-dna	2
ENSMUSG00000060924.15	ENSMUST00000082104.6	Csmd1	protein_coding	g4	2
ENSMUSG00000060924.15	ENSMUST00000082104.6	Csmd1	protein_coding	z-dna	2
ENSMUSG00000036760.7	ENSMUST00000044624.7	Kcnk9	protein_coding	g4	2
ENSMUSG00000036617.17	ENSMUST00000114610.7	Etl4	protein_coding	z-dna	2
ENSMUSG00000060985.15	ENSMUST00000121146.9	Tdrd5	protein_coding	g4	2
ENSMUSG00000060989.8	ENSMUST00000125165.1	Gm11847	processed_pseudogene	z-dna	2
ENSMUSG00000061393.14	ENSMUST00000035093.14	Acvr2b	protein_coding	z-dna	2
ENSMUSG00000061393.14	ENSMUST00000165044.2	Acvr2b	protein_coding	z-dna	2
ENSMUSG00000036480.9	ENSMUST00000044533.8	Prss56	protein_coding	z-dna	2
ENSMUSG00000061410.6	ENSMUST00000046386.4	Zcchc14	protein_coding	z-dna	2
ENSMUSG00000036466.17	ENSMUST00000068967.10	Megf11	protein_coding	z-dna	2
ENSMUSG00000061411.12	ENSMUST00000109784.1	Nol4l	protein_coding	g4	2
ENSMUSG00000061601.15	ENSMUST00000030691.16	Pclo	protein_coding	z-dna	2
ENSMUSG00000036815.17	ENSMUST00000112606.7	Dpp10	protein_coding	g4	2
ENSMUSG00000061911.15	ENSMUST00000021009.9	Myt1l	protein_coding	z-dna	2
ENSMUSG00000036111.8	ENSMUST00000207178.1	Lmo1	protein_coding	z-dna	2
ENSMUSG00000062098.11	ENSMUST00000091556.11	Btbd3	protein_coding	z-dna	2
ENSMUSG00000036030.9	ENSMUST00000055535.8	Prtg	protein_coding	g4	2
ENSMUSG00000062257.13	ENSMUST00000073822.5	Opcml	protein_coding	z-dna	2
ENSMUSG00000035873.8	ENSMUST00000218332.1	Pawr	protein_coding	g4	2
ENSMUSG00000062296.8	ENSMUST00000078626.7	Trank1	protein_coding	g4	2
ENSMUSG00000035829.13	ENSMUST00000189694.1	Ppp1r26	protein_coding	g4	2
ENSMUSG00000035799.6	ENSMUST00000049089.6	Twist1	protein_coding	g4	2
ENSMUSG00000035653.16	ENSMUST00000119481.1	Lrfn5	protein_coding	z-dna	2
ENSMUSG00000035606.8	ENSMUST00000039390.5	Ky	protein_coding	z-dna	2
ENSMUSG00000035594.10	ENSMUST00000213960.1	Chrna5	protein_coding	z-dna	2
ENSMUSG00000036782.13	ENSMUST00000115313.7	Klhl13	protein_coding	g4	2
ENSMUSG00000036825.12	ENSMUST00000106149.7	Ssx2ip	protein_coding	z-dna	2
ENSMUSG00000058975.7	ENSMUST00000025202.7	Kcnc1	protein_coding	g4	2
ENSMUSG00000037211.12	ENSMUST00000108107.1	Spry1	protein_coding	z-dna	2
ENSMUSG00000037692.14	ENSMUST00000105914.1	Ahdc1	protein_coding	g4	2
ENSMUSG00000037692.14	ENSMUST00000044521.13	Ahdc1	protein_coding	g4	2
ENSMUSG00000059003.12	ENSMUST00000115835.7	Grin2a	protein_coding	z-dna	2
ENSMUSG00000059146.12	ENSMUST00000039431.13	Ntrk3	protein_coding	h-dna	2
ENSMUSG00000037606.18	ENSMUST00000119499.7	Osbpl5	protein_coding	g4	2
ENSMUSG00000059493.13	ENSMUST00000087085.9	Nhs	protein_coding	g4	2
ENSMUSG00000037386.16	ENSMUST00000082054.11	Rims2	protein_coding	z-dna	2
ENSMUSG00000037235.13	ENSMUST00000042701.12	Mxd4	protein_coding	z-dna	2
ENSMUSG00000059901.12	ENSMUST00000092486.10	Adamts14	protein_coding	g4	2
ENSMUSG00000059901.12	ENSMUST00000120336.1	Adamts14	protein_coding	g4	2
ENSMUSG00000037224.15	ENSMUST00000094868.9	Zfyve28	protein_coding	z-dna	2
ENSMUSG00000059974.10	ENSMUST00000115236.1	Ntm	protein_coding	z-dna	2
ENSMUSG00000059974.10	ENSMUST00000115237.7	Ntm	protein_coding	z-dna	2
ENSMUSG00000060572.17	ENSMUST00000071977.8	Mfap2	protein_coding	g4	2
ENSMUSG00000060257.2	ENSMUST00000064061.3	Scrt2	protein_coding	g4	2
ENSMUSG00000060402.8	ENSMUST00000078686.7	Chst8	protein_coding	z-dna	2
ENSMUSG00000036959.15	ENSMUST00000136348.7	Bcorl1	protein_coding	g4	2
ENSMUSG00000036923.12	ENSMUST00000133371.7	Stox1	protein_coding	h-dna	2
ENSMUSG00000060445.11	ENSMUST00000081134.9	Sycp2	protein_coding	z-dna	2
ENSMUSG00000036907.9	ENSMUST00000037286.9	C1ql2	protein_coding	g4	2
ENSMUSG00000036867.7	ENSMUST00000179458.1	Smad6	protein_coding	z-dna	2
ENSMUSG00000036867.7	ENSMUST00000041029.5	Smad6	protein_coding	z-dna	2
ENSMUSG00000036863.12	ENSMUST00000212479.1	Syde2	protein_coding	z-dna	2
ENSMUSG00000060568.14	ENSMUST00000126198.2	Fam78b	protein_coding	z-dna	2
ENSMUSG00000036862.15	ENSMUST00000078482.12	Dchs1	protein_coding	g4	2
ENSMUSG00000036856.4	ENSMUST00000045747.4	Wnt4	protein_coding	z-dna	2
ENSMUSG00000024538.8	ENSMUST00000025419.8	Ppic	protein_coding	g4	2
ENSMUSG00000047793.13	ENSMUST00000062202.13	Sned1	protein_coding	z-dna	2
ENSMUSG00000008734.9	ENSMUST00000008878.9	Gprc5b	protein_coding	g4	2
ENSMUSG00000006930.15	ENSMUST00000103124.10	Hap1	protein_coding	g4	2
ENSMUSG00000006586.15	ENSMUST00000105566.8	Runx1t1	protein_coding	g4	2
ENSMUSG00000022893.14	ENSMUST00000023610.14	Adamts1	protein_coding	z-dna	2
ENSMUSG00000022265.7	ENSMUST00000022875.6	Ank	protein_coding	z-dna	2
ENSMUSG00000002012.13	ENSMUST00000114473.7	Pnck	protein_coding	g4	2
ENSMUSG00000017978.18	ENSMUST00000115358.8	Cadps2	protein_coding	z-dna	2
ENSMUSG00000006651.8	ENSMUST00000006828.8	Aplp1	protein_coding	g4	2
ENSMUSG00000104836.1	ENSMUST00000198952.1	Gm44405	miRNA	h-dna	2
ENSMUSG00000020758.15	ENSMUST00000106460.8	Itgb4	protein_coding	g4	2
ENSMUSG00000006800.14	ENSMUST00000088086.3	Sulf2	protein_coding	g4	2
ENSMUSG00000014303.13	ENSMUST00000014447.12	Glis2	protein_coding	g4	2
ENSMUSG00000006546.3	ENSMUST00000006721.2	Cryba2	protein_coding	z-dna	2
ENSMUSG00000001985.9	ENSMUST00000030676.7	Grik3	protein_coding	g4	2
ENSMUSG00000020723.3	ENSMUST00000021066.3	Cacng4	protein_coding	g4	2
ENSMUSG00000022940.17	ENSMUST00000232294.1	Pigp	protein_coding	z-dna	2
ENSMUSG00000097406.1	ENSMUST00000180899.1	Gm26833	antisense	z-dna	2
ENSMUSG00000018166.8	ENSMUST00000082059.6	Erbb3	protein_coding	g4	2
ENSMUSG00000098720.1	ENSMUST00000184638.1	Gm27239	lincRNA	g4	2
ENSMUSG00000022995.16	ENSMUST00000111024.9	Enah	protein_coding	z-dna	2
ENSMUSG00000022240.10	ENSMUST00000226119.1	Ctnnd2	protein_coding	g4	2
ENSMUSG00000098760.1	ENSMUST00000184062.1	Gm2164	antisense	z-dna	2
ENSMUSG00000022893.14	ENSMUST00000023610.14	Adamts1	protein_coding	h-dna	2
ENSMUSG00000022272.17	ENSMUST00000110457.7	Myo10	protein_coding	z-dna	2
ENSMUSG00000105565.1	ENSMUST00000196851.1	Gm43566	sense_intronic	z-dna	2
ENSMUSG00000022844.8	ENSMUST00000023550.8	Pdia5	protein_coding	z-dna	2
ENSMUSG00000017692.8	ENSMUST00000017836.7	Rhbdl3	protein_coding	g4	2
ENSMUSG00000022840.9	ENSMUST00000114913.2	Adcy5	protein_coding	g4	2
ENSMUSG00000097496.1	ENSMUST00000181537.1	Gm26653	antisense	z-dna	2
ENSMUSG00000022306.9	ENSMUST00000053467.5	Zfpm2	protein_coding	z-dna	2
ENSMUSG00000021314.13	ENSMUST00000200466.4	Amph	protein_coding	z-dna	2
ENSMUSG00000116029.1	ENSMUST00000229837.1	Gm41414	lincRNA	g4	2
ENSMUSG00000006435.16	ENSMUST00000111807.4	Neurl1a	protein_coding	z-dna	2
ENSMUSG00000006435.16	ENSMUST00000111807.4	Neurl1a	protein_coding	g4	2
ENSMUSG00000017724.14	ENSMUST00000164750.7	Etv4	protein_coding	g4	2
ENSMUSG00000021359.16	ENSMUST00000021787.6	Tfap2a	protein_coding	h-dna	2
ENSMUSG00000006538.12	ENSMUST00000164097.3	Ihh	protein_coding	g4	2
ENSMUSG00000002249.21	ENSMUST00000154873.8	Tead3	protein_coding	z-dna	2
ENSMUSG00000014361.5	ENSMUST00000014505.4	Mertk	protein_coding	g4	2
ENSMUSG00000002059.18	ENSMUST00000207728.1	Rab34	protein_coding	g4	2
ENSMUSG00000022861.17	ENSMUST00000023578.13	Dgkg	protein_coding	z-dna	2
ENSMUSG00000017740.17	ENSMUST00000202223.3	Slc12a5	protein_coding	g4	2
ENSMUSG00000002059.18	ENSMUST00000207728.1	Rab34	protein_coding	z-dna	2
ENSMUSG00000021359.16	ENSMUST00000223869.1	Tfap2a	protein_coding	g4	2
ENSMUSG00000020848.7	ENSMUST00000021209.7	Doc2b	protein_coding	g4	2
ENSMUSG00000020838.12	ENSMUST00000108402.8	Slc6a4	protein_coding	g4	2
ENSMUSG00000018378.13	ENSMUST00000018522.12	Cuedc1	protein_coding	z-dna	2
ENSMUSG00000116640.1	ENSMUST00000231404.1	Gm8670	processed_pseudogene	z-dna	2
ENSMUSG00000007279.14	ENSMUST00000106729.7	Scube2	protein_coding	g4	2
ENSMUSG00000113710.1	ENSMUST00000221531.1	Gm38577	lincRNA	g4	2
ENSMUSG00000011751.16	ENSMUST00000108364.7	Sptbn4	protein_coding	g4	2
ENSMUSG00000020672.14	ENSMUST00000021004.13	Sntg2	protein_coding	z-dna	2
ENSMUSG00000007805.4	ENSMUST00000186075.1	Twist2	protein_coding	z-dna	2
ENSMUSG00000021559.14	ENSMUST00000226059.1	Dapk1	protein_coding	z-dna	2
ENSMUSG00000001566.9	ENSMUST00000165512.3	Mnx1	protein_coding	z-dna	2
ENSMUSG00000022208.12	ENSMUST00000124493.1	Jph4	protein_coding	g4	2
ENSMUSG00000007888.15	ENSMUST00000008032.13	Crlf1	protein_coding	g4	2
ENSMUSG00000020641.16	ENSMUST00000020970.9	Rsad2	protein_coding	sidd	2
ENSMUSG00000097084.1	ENSMUST00000181609.1	Foxl1	protein_coding	g4	2
ENSMUSG00000022208.12	ENSMUST00000124493.1	Jph4	protein_coding	z-dna	2
ENSMUSG00000113777.1	ENSMUST00000220799.1	Gm48060	processed_pseudogene	sidd	2
ENSMUSG00000117123.1	ENSMUST00000233522.1	Gm49890	lincRNA	z-dna	2
ENSMUSG00000023192.12	ENSMUST00000201681.1	Grm2	protein_coding	g4	2
ENSMUSG00000001504.10	ENSMUST00000074372.5	Irx2	protein_coding	g4	2
ENSMUSG00000113581.1	ENSMUST00000222401.1	Dio3os	bidirectional_promoter_lncRNA	z-dna	2
ENSMUSG00000018634.10	ENSMUST00000093925.4	Crhr1	protein_coding	z-dna	2
ENSMUSG00000021567.15	ENSMUST00000118096.1	Nkd2	protein_coding	g4	2
ENSMUSG00000023353.14	ENSMUST00000199856.1	Agap3	protein_coding	z-dna	2
ENSMUSG00000021596.16	ENSMUST00000125209.7	Mctp1	protein_coding	z-dna	2
ENSMUSG00000108616.1	ENSMUST00000206829.1	Gm35040	lincRNA	g4	2
ENSMUSG00000018604.18	ENSMUST00000018748.8	Tbx3	protein_coding	sidd	2
ENSMUSG00000021552.7	ENSMUST00000091579.5	Gkap1	protein_coding	g4	2
ENSMUSG00000097187.1	ENSMUST00000181711.1	Gm19426	protein_coding	g4	2
ENSMUSG00000108726.1	ENSMUST00000205632.1	Gm30684	lincRNA	g4	2
ENSMUSG00000001823.5	ENSMUST00000001878.5	Hoxd12	protein_coding	g4	2
ENSMUSG00000097248.9	ENSMUST00000181898.1	Gm2694	lincRNA	g4	2
ENSMUSG00000001802.16	ENSMUST00000118444.2	Lrp3	protein_coding	g4	2
ENSMUSG00000108934.1	ENSMUST00000208055.1	Gm44732	antisense	g4	2
ENSMUSG00000018398.18	ENSMUST00000147912.1	Septin8	protein_coding	z-dna	2
ENSMUSG00000108904.1	ENSMUST00000207410.1	Gm45147	processed_pseudogene	h-dna	2
ENSMUSG00000110140.1	ENSMUST00000210268.1	5430421F17Rik	lincRNA	h-dna	2
ENSMUSG00000001761.7	ENSMUST00000001812.4	Smo	protein_coding	z-dna	2
ENSMUSG00000013367.5	ENSMUST00000107974.2	Iglon5	protein_coding	g4	2
ENSMUSG00000116790.1	ENSMUST00000231507.1	Gm49596	processed_pseudogene	h-dna	2
ENSMUSG00000013076.17	ENSMUST00000013220.7	Amotl1	protein_coding	z-dna	2
ENSMUSG00000020681.14	ENSMUST00000001963.13	Ace	protein_coding	g4	2
ENSMUSG00000018417.14	ENSMUST00000046390.13	Myo1b	protein_coding	z-dna	2
ENSMUSG00000018537.16	ENSMUST00000179765.7	Pcgf2	protein_coding	g4	2
ENSMUSG00000108776.1	ENSMUST00000205717.1	Gm45169	lincRNA	g4	2
ENSMUSG00000018554.13	ENSMUST00000108601.2	Ybx2	protein_coding	g4	2
ENSMUSG00000020679.11	ENSMUST00000108113.2	Hnf1b	protein_coding	sidd	2
ENSMUSG00000111387.1	ENSMUST00000217080.1	Gm48803	lincRNA	h-dna	2
ENSMUSG00000111589.1	ENSMUST00000216946.1	Gm4042	processed_pseudogene	z-dna	2
ENSMUSG00000097520.2	ENSMUST00000181864.2	4930488L21Rik	antisense	g4	2
ENSMUSG00000002504.15	ENSMUST00000002572.5	Slc9a3r2	protein_coding	g4	2
ENSMUSG00000022829.14	ENSMUST00000114787.7	Stxbp5l	protein_coding	z-dna	2
ENSMUSG00000005148.8	ENSMUST00000226784.1	Klf5	protein_coding	z-dna	2
ENSMUSG00000016194.14	ENSMUST00000161737.7	Hsd11b1	protein_coding	z-dna	2
ENSMUSG00000097847.1	ENSMUST00000181875.1	4930478K11Rik	antisense	z-dna	2
ENSMUSG00000021209.12	ENSMUST00000021631.11	Ppp4r4	protein_coding	g4	2
ENSMUSG00000005089.15	ENSMUST00000111213.7	Slc1a2	protein_coding	z-dna	2
ENSMUSG00000021062.15	ENSMUST00000021459.13	Rab15	protein_coding	g4	2
ENSMUSG00000016262.14	ENSMUST00000155579.7	Sertad4	protein_coding	z-dna	2
ENSMUSG00000015568.16	ENSMUST00000015712.14	Lpl	protein_coding	z-dna	2
ENSMUSG00000003992.15	ENSMUST00000042122.14	Ssbp2	protein_coding	g4	2
ENSMUSG00000005148.8	ENSMUST00000005279.7	Klf5	protein_coding	z-dna	2
ENSMUSG00000016386.15	ENSMUST00000111063.7	Mpped2	protein_coding	g4	2
ENSMUSG00000097726.7	ENSMUST00000180878.7	9530036O11Rik	antisense	g4	2
ENSMUSG00000003863.18	ENSMUST00000211067.1	Ppfia3	protein_coding	g4	2
ENSMUSG00000115263.1	ENSMUST00000228409.1	Gm5089	antisense	z-dna	2
ENSMUSG00000022577.17	ENSMUST00000163116.7	Ly6h	protein_coding	g4	2
ENSMUSG00000003534.17	ENSMUST00000119825.7	Ddr1	protein_coding	z-dna	2
ENSMUSG00000115311.1	ENSMUST00000228927.1	Gm35823	antisense	g4	2
ENSMUSG00000098129.1	ENSMUST00000181984.1	Gm27040	antisense	z-dna	2
ENSMUSG00000021256.5	ENSMUST00000021681.3	Vash1	protein_coding	g4	2
ENSMUSG00000005338.13	ENSMUST00000005470.4	Cadm3	protein_coding	z-dna	2
ENSMUSG00000115339.1	ENSMUST00000226611.1	Gm48913	lincRNA	h-dna	2
ENSMUSG00000097847.1	ENSMUST00000181875.1	4930478K11Rik	antisense	g4	2
ENSMUSG00000022523.10	ENSMUST00000231717.1	Fgf12	protein_coding	g4	2
ENSMUSG00000005089.15	ENSMUST00000080210.9	Slc1a2	protein_coding	z-dna	2
ENSMUSG00000005045.16	ENSMUST00000005175.4	Chd5	protein_coding	g4	2
ENSMUSG00000022456.18	ENSMUST00000230365.1	Septin3	protein_coding	z-dna	2
ENSMUSG00000021136.13	ENSMUST00000110347.8	Smoc1	protein_coding	g4	2
ENSMUSG00000004558.15	ENSMUST00000111632.4	Ndrg2	protein_coding	g4	2
ENSMUSG00000102900.1	ENSMUST00000192416.1	Gm37811	TEC	z-dna	2
ENSMUSG00000021099.6	ENSMUST00000021519.6	Six6	protein_coding	z-dna	2
ENSMUSG00000022483.17	ENSMUST00000023123.14	Col2a1	protein_coding	g4	2
ENSMUSG00000015846.15	ENSMUST00000166775.7	Rxra	protein_coding	g4	2
ENSMUSG00000022490.7	ENSMUST00000023133.7	Ppp1r1a	protein_coding	g4	2
ENSMUSG00000114742.1	ENSMUST00000225283.1	Gm47936	antisense	z-dna	2
ENSMUSG00000102876.1	ENSMUST00000194368.1	Gm37136	TEC	g4	2
ENSMUSG00000015968.18	ENSMUST00000224785.2	Cacna1d	protein_coding	g4	2
ENSMUSG00000097911.2	ENSMUST00000181952.1	Gm26691	antisense	h-dna	2
ENSMUSG00000004347.17	ENSMUST00000203372.2	Pde1c	protein_coding	g4	2
ENSMUSG00000102836.1	ENSMUST00000194544.1	Gm37013	protein_coding	z-dna	2
ENSMUSG00000004891.16	ENSMUST00000160694.1	Nes	protein_coding	z-dna	2
ENSMUSG00000022449.14	ENSMUST00000035342.10	Adamts20	protein_coding	g4	2
ENSMUSG00000097911.2	ENSMUST00000181952.1	Gm26691	antisense	g4	2
ENSMUSG00000102803.1	ENSMUST00000195215.1	Gm37477	TEC	g4	2
ENSMUSG00000115057.1	ENSMUST00000228373.1	Gm8705	processed_pseudogene	h-dna	2
ENSMUSG00000021010.9	ENSMUST00000223057.1	Npas3	protein_coding	z-dna	2
ENSMUSG00000022623.17	ENSMUST00000109309.8	Shank3	protein_coding	g4	2
ENSMUSG00000020886.17	ENSMUST00000231452.1	Dlg4	protein_coding	g4	2
ENSMUSG00000103845.1	ENSMUST00000194240.1	Gm19026	processed_pseudogene	z-dna	2
ENSMUSG00000020926.16	ENSMUST00000068150.6	Adam11	protein_coding	g4	2
ENSMUSG00000014776.7	ENSMUST00000014920.7	Nol3	protein_coding	g4	2
ENSMUSG00000017417.14	ENSMUST00000107565.2	Plxdc1	protein_coding	z-dna	2
ENSMUSG00000097593.2	ENSMUST00000181877.2	Gm26676	antisense	z-dna	2
ENSMUSG00000098474.1	ENSMUST00000185146.1	Mir6919	miRNA	sidd	2
ENSMUSG00000022766.14	ENSMUST00000231884.1	Serpind1	protein_coding	z-dna	2
ENSMUSG00000006219.12	ENSMUST00000105784.7	Fblim1	protein_coding	g4	2
ENSMUSG00000114224.1	ENSMUST00000224211.1	Gm34440	processed_pseudogene	sidd	2
ENSMUSG00000017631.19	ENSMUST00000072740.12	Abr	protein_coding	z-dna	2
ENSMUSG00000006270.7	ENSMUST00000172821.3	Vax1	protein_coding	z-dna	2
ENSMUSG00000097726.7	ENSMUST00000180878.7	9530036O11Rik	antisense	z-dna	2
ENSMUSG00000017639.13	ENSMUST00000017783.12	Rab11fip4	protein_coding	z-dna	2
ENSMUSG00000020902.12	ENSMUST00000021284.3	Ntn1	protein_coding	g4	2
ENSMUSG00000002578.18	ENSMUST00000133342.9	Ikzf4	protein_coding	h-dna	2
ENSMUSG00000114164.1	ENSMUST00000222935.1	Gm48636	processed_pseudogene	g4	2
ENSMUSG00000017692.8	ENSMUST00000017836.7	Rhbdl3	protein_coding	z-dna	2
ENSMUSG00000097520.2	ENSMUST00000212638.1	4930488L21Rik	antisense	z-dna	2
ENSMUSG00000022816.11	ENSMUST00000114763.2	Fstl1	protein_coding	g4	2
ENSMUSG00000020890.11	ENSMUST00000021259.8	Gucy2e	protein_coding	z-dna	2
ENSMUSG00000022829.14	ENSMUST00000114780.7	Stxbp5l	protein_coding	g4	2
ENSMUSG00000005958.15	ENSMUST00000161063.8	Ephb3	protein_coding	h-dna	2
ENSMUSG00000002688.8	ENSMUST00000002765.8	Prkd1	protein_coding	z-dna	2
